Date,CSQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23448500955844642,-0.31962512239474056,-0.14538163845759314,-0.32190982421783937,-0.3099267962885252,0.0
2018-09-25,1.0,-0.23736443148688047,-0.318204081632653,-0.14931778425655975,-0.3204198250728863,-0.3070320699708455,0.0
2018-09-26,1.0,-0.2372122314743545,-0.318078977445012,-0.14885825577869521,-0.3205980453898724,-0.3077228092272526,0.0
2018-09-27,1.0,-0.2366289249445547,-0.3206490019843586,-0.14824325901715887,-0.32092914672580836,-0.3080891794093615,0.0
2018-09-28,1.0,-0.23769151718983558,-0.320207399103139,-0.14821562032884905,-0.3211883408071749,-0.3082726083707025,0.0
2018-10-01,1.0,-0.2392361273432752,-0.31933990930765277,-0.14781917628909355,-0.32244869337571874,-0.3085877238090786,0.0
2018-10-02,1.0,-0.239908374821775,-0.313161769861861,-0.15001285557347546,-0.32396045158123554,-0.31031016992730753,0.0
2018-10-03,1.0,-0.2399943893772209,-0.3137273237329344,-0.15015429212642603,-0.32382644473536565,-0.31005704133158785,0.0
2018-10-04,1.0,-0.24198938930048847,-0.31037464650477953,-0.1504428915324748,-0.3264309252810433,-0.307920630097927,0.0
2018-10-05,1.0,-0.24344166471826045,-0.3119476268412439,-0.1503857844283376,-0.3258358662613982,-0.30647650222118306,0.0
2018-10-08,1.0,-0.24292755857686826,-0.3109771766299904,-0.14957833999112297,-0.32639521573574415,-0.30618824024108204,0.0
2018-10-09,1.0,-0.25890985324947585,-0.32528111301696205,-0.16926338860301124,-0.3280684200495521,-0.3007909281494187,0.0
2018-10-10,1.0,-0.2655062456544151,-0.3269078616126016,-0.17363159030425088,-0.33496367690426526,-0.29657867606511784,0.0
2018-10-11,1.0,-0.26006855184233074,-0.3242406931352947,-0.16647624488241455,-0.33319051699514424,-0.2962724935732648,0.0
2018-10-12,1.0,-0.2615712257453857,-0.3206341694273545,-0.16599621391386657,-0.3281590156176053,-0.289919545669664,0.0
2018-10-15,1.0,-0.25708277214621583,-0.32718981120483925,-0.1599442357222183,-0.3280168237990596,-0.29065948347156256,0.0
2018-10-16,1.0,-0.25665138698549217,-0.3288596947214215,-0.15868815273380274,-0.32805633004111334,-0.2906053589149851,0.0
2018-10-17,1.0,-0.2546503414174711,-0.32389922298092766,-0.15709912879679774,-0.3275253119849305,-0.29142924417235694,0.0
2018-10-18,1.0,-0.25346837828288776,-0.32212931339064893,-0.15816747144034862,-0.3298080320339183,-0.2918619714992345,0.0
2018-10-19,1.0,-0.24947254911153827,-0.31686905152609124,-0.15514088799287357,-0.33119227343054053,-0.2915514088799287,0.0
2018-10-22,1.0,-0.25126016927297024,-0.312709539774459,-0.15009495228940517,-0.3353339741635992,-0.29510233746747006,0.0
2018-10-23,1.0,-0.25052794593833594,-0.31359988737153316,-0.14770754141442585,-0.33788540053498517,-0.2967290816087099,0.0
2018-10-24,1.0,-0.2510901673934449,-0.3116706522248793,-0.145121207858583,-0.33870211469029865,-0.2978384207811694,0.0
