Date,IWF,IWM,LOGI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.36895155330909524,-0.5166267624368183,1.0,-0.22219266353344566,-0.46191362951139486,-0.38621382755460965,0.0
2018-09-25,-0.3678879246512455,-0.5200071083730712,1.0,-0.219115599917069,-0.46482836240855374,-0.38998311761395615,0.0
2018-09-26,-0.3690698432453255,-0.5216167363024862,1.0,-0.22144190594719532,-0.4645153643286811,-0.38661214330162685,0.0
2018-09-27,-0.37086935923250025,-0.5164633424138338,1.0,-0.2228769394764894,-0.46443799597299534,-0.38638517114769627,0.0
2018-09-28,-0.36777178103315344,-0.5212620840994009,1.0,-0.22338532708617517,-0.465393511654113,-0.3876401162445881,0.0
2018-10-01,-0.3693175074183976,-0.520326409495549,1.0,-0.22305637982195844,-0.46664688427299705,-0.3879821958456973,0.0
2018-10-02,-0.3694845850271506,-0.5186492982404083,1.0,-0.2237915788848996,-0.46690009198540106,-0.38841577401264055,0.0
2018-10-03,-0.37013932210438766,-0.5231262810801177,1.0,-0.22440067730148827,-0.4662388973056472,-0.3867153848438939,0.0
2018-10-04,-0.37243140515500656,-0.5188858534267727,1.0,-0.2248188620976363,-0.46920655659817084,-0.3841311319634161,0.0
2018-10-05,-0.37000592768227625,-0.5175459395376408,1.0,-0.22160640189685835,-0.4703615886188501,-0.3843212803793717,0.0
2018-10-08,-0.36973395745689397,-0.5171535225454761,1.0,-0.22112934763287312,-0.47052201220596074,-0.38407299875570305,0.0
2018-10-09,-0.37626856343561205,-0.5209666378976817,1.0,-0.2314812059164906,-0.4685277223892146,-0.3788577720901164,0.0
2018-10-10,-0.3767702011186481,-0.5202011186481019,1.0,-0.23214923241699395,-0.4687016541711294,-0.37736522670474837,0.0
2018-10-11,-0.3761849573563936,-0.5217081216011411,1.0,-0.22834388279694515,-0.47000089150396723,-0.37544203738373305,0.0
2018-10-12,-0.38507216979745423,-0.515212981744422,1.0,-0.22891495428756212,-0.4545668342299439,-0.3559396772202134,0.0
2018-10-15,-0.37951984033810754,-0.5235677389058464,1.0,-0.2212080300540033,-0.4543026532049777,-0.3563923456210378,0.0
2018-10-16,-0.3775003671611103,-0.533646644147452,1.0,-0.21398149508004113,-0.45530914965486863,-0.3568512263181084,0.0
2018-10-17,-0.37082836276877423,-0.5171520847275161,1.0,-0.20908376734848264,-0.45317000785591666,-0.3593645436294335,0.0
2018-10-18,-0.36942916193636655,-0.5150932960731232,1.0,-0.21034553023025646,-0.45611736966203825,-0.3599976712368643,0.0
2018-10-19,-0.3665129499115404,-0.5117317787638853,1.0,-0.20716958148438178,-0.4567707880158937,-0.3581310362829549,0.0
2018-10-22,-0.3655817194622688,-0.5159548212885805,1.0,-0.21117273017624344,-0.4543422084143899,-0.3564646787259371,0.0
2018-10-23,-0.3732049036777583,-0.5204028021015762,1.0,-0.22183304144775245,-0.4484530064214828,-0.35499124343257443,0.0
2018-10-24,-0.3941557415890065,-0.6233770336439741,1.0,-0.22603064286842522,-0.5101247828147213,-0.4053703996209129,0.0
2018-10-25,-0.3825213116794226,-0.6045672329039885,1.0,-0.22577935411610975,-0.5079957687760563,-0.3902992968701388,0.0
