Date,IMMU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8372053490480508,-1.5541137805983682,-0.3380553037171351,-0.9995466908431551,-0.9374433363553945,0.0
2018-09-25,1.0,-0.8418338433639351,-1.5510597302504816,-0.3448940269749518,-0.9968264762552419,-0.9323926102232801,0.0
2018-09-26,1.0,-0.8421261404204681,-1.5514251714172382,-0.3456111520371735,-0.9965433218110727,-0.9310364367881226,0.0
2018-09-27,1.0,-0.8431006171790952,-1.5462884321386106,-0.34692259781439333,-0.9957533548496688,-0.9301851537285546,0.0
2018-09-28,1.0,-0.8394314743992236,-1.5703521890518866,-0.34910668417147095,-1.007363433985958,-0.9418345795992922,0.0
2018-10-01,1.0,-0.8393743935156115,-1.570123865517438,-0.3495633312403676,-1.0072492722187338,-0.9418916604829042,0.0
2018-10-02,1.0,-0.8395584281873819,-1.5885145569982269,-0.34536406795172453,-1.0060630326602984,-0.9403420465595148,0.0
2018-10-03,1.0,-0.8390620531884473,-1.5743780383185588,-0.34338004003431516,-1.0120674864169288,-0.9503002573634544,0.0
2018-10-04,1.0,-0.840667504857698,-1.5689793119213624,-0.3442107669447937,-1.0138301520173734,-0.9471939650245742,0.0
2018-10-05,1.0,-0.8219287259478538,-1.5612546965729248,-0.32306728908117954,-1.0252761015598315,-0.961345781623591,0.0
2018-10-08,1.0,-0.8190286850326612,-1.5566600397614314,-0.3189434819653507,-1.0264697529111049,-0.9591025276909968,0.0
2018-10-09,1.0,-0.8167509517586227,-1.5582703562702425,-0.31223364963918404,-1.0304562759247684,-0.9644866185578725,0.0
2018-10-10,1.0,-0.8219162494310424,-1.5573509330905781,-0.31679563040509784,-1.0347064178425125,-0.9588074647246245,0.0
2018-10-11,1.0,-0.7420979795184058,-1.5732078605037365,-0.1971768613340714,-1.0236922225297538,-0.9993357320786049,0.0
2018-10-12,1.0,-0.8007622036653029,-1.6144146163761697,-0.19055091632572999,-1.0176539819537072,-0.9811130415288908,0.0
2018-10-15,1.0,-0.7914079543547574,-1.629412093751748,-0.17514124293785308,-1.0163897745706774,-0.9814286513397101,0.0
2018-10-16,1.0,-0.8072881355932203,-1.6183615819209038,-0.19559322033898305,-1.0315254237288136,-0.9968926553672317,0.0
2018-10-17,1.0,-0.7823438192290652,-1.5611431103234383,-0.17778023925564906,-1.0182210899424016,-0.9988369517058042,0.0
2018-10-18,1.0,-0.7840909090909092,-1.5692454097626514,-0.1813703537841469,-1.046462158531124,-1.0166815942678011,0.0
2018-10-19,1.0,-0.7668646346929627,-1.5661698789780367,-0.15161362617660243,-1.078272075302555,-1.0399484536082475,0.0
2018-10-22,1.0,-0.7948308324299651,-1.5650139784332742,-0.10349746106007873,-1.1433787870143206,-1.098761910195698,0.0
2018-10-23,1.0,-0.7947503566333809,-1.5653067047075608,-0.1030527817403709,-1.1439087018544938,-1.0991155492154068,0.0
2018-10-24,1.0,-0.7946316390633924,-1.570474014848658,-0.09988577955454025,-1.1459737292975443,-1.1001142204454597,0.0
2018-10-25,1.0,-0.7453416149068323,-1.4894190073105038,-0.09426702577914581,-1.1284559995602705,-1.0391908975979773,0.0
2018-10-26,1.0,-0.7269322622666088,-1.4675966131133307,-0.07566217976552324,-1.1325987841945289,-1.0249131567520626,0.0
2018-10-29,1.0,-0.696949891067538,-1.5166666666666664,-0.03687363834422658,-1.134313725490196,-1.0618191721132897,0.0
2018-10-30,1.0,-0.7006539509536784,-1.517057220708447,-0.03901907356948229,-1.1343869209809265,-1.0585286103542235,0.0
2018-10-31,1.0,-0.7094835985709647,-1.478618599112266,-0.0408682472664285,-1.1331601169210783,-1.0508281909710946,0.0
2018-11-01,1.0,-0.698410982596476,-1.491244189817317,-0.029023889309263865,-1.1340395632904552,-1.0520484271970598,0.0
2018-11-02,1.0,-0.6991155215187143,-1.4827418832919859,-0.029338798403624206,-1.13310322511056,-1.0488620429295652,0.0
2018-11-05,1.0,-0.6911105106727912,-1.5148338286949474,-0.027452039989192115,-1.1395838962442584,-1.0309646041610376,0.0
2018-11-06,1.0,-0.6978063540090771,-1.5194510481953751,-0.024746055759671492,-1.13599524529933,-1.0250162092068296,0.0
2018-11-07,1.0,-0.6929223744292237,-1.5315285931724287,-0.0383235485975212,-1.1401935203305065,-1.0329963035442487,0.0
2018-11-08,1.0,-0.6617797660755673,-1.541906969223306,-0.0026949819436209777,-1.134264000431197,-1.0492103702905191,0.0
2018-11-09,1.0,-0.6842426597102736,-1.5917189321196648,-0.0,-1.1769995004717766,-1.0974080035522007,0.0
2018-11-12,1.0,-0.6821996466431095,-1.567745141342756,-0.0,-1.1810401943462896,-1.0902164310954063,0.0
2018-11-13,1.0,-0.652233338800503,-1.5607675906183371,-0.0,-1.1757148324312503,-1.0784538844240337,0.0
2018-11-14,1.0,-0.6525139664804469,-1.6041899441340783,-0.0,-1.2135754189944135,-1.1163128491620111,0.0
2018-11-15,1.0,-0.6508644729503625,-1.604127161182376,-0.0,-1.2143335192414948,-1.1078639152258785,0.0
2018-11-16,1.0,-0.6459734341132662,-1.590285110876452,-0.0,-1.2100261212693826,-1.1114322236425276,0.0
2018-11-19,1.0,-0.641683835402862,-1.5952447240937693,-0.0,-1.2160476641238376,-1.1153182248454814,0.0
2018-11-20,1.0,-0.6005529444290848,-1.5847940282001656,-0.0,-1.2149294995852915,-1.129167818634227,0.0
2018-11-21,1.0,-0.6200760288689328,-1.586248691532147,-0.0,-1.2246157236515895,-1.078342791030797,0.0
2018-11-23,1.0,-0.6229697737157958,-1.5626823762594286,-0.0,-1.2371304299950447,-1.082915817871497,0.0
2018-11-26,1.0,-0.6224545954870666,-1.5642817831590532,-0.0,-1.235553109521189,-1.0812878370941112,0.0
2018-11-27,1.0,-0.599745378058231,-1.5992472046939004,-0.0,-1.2472600464961807,-1.088951621831064,0.0
2018-11-28,1.0,-0.5974717232202262,-1.6153803504102906,-0.0,-1.2437347527167886,-1.0878797959636284,0.0
2018-11-29,1.0,-0.5709122768590515,-1.5928704413536303,-0.0,-1.2293286606067244,-1.0827401160880517,0.0
2018-11-30,1.0,-0.5722194814449377,-1.596119059365236,-0.0,-1.2346653510935701,-1.0785506769719893,0.0
2018-12-03,1.0,-0.5778231592891048,-1.6054752180152336,-0.0,-1.2464951981454906,-1.0895242300474666,0.0
2018-12-04,1.0,-0.5672955282987734,-1.6083823772069743,-0.0,-1.2397007865353942,-1.0848688190968594,0.0
2018-12-06,1.0,-0.5572335770318587,-1.5257484390842628,-0.0,-1.2187416617749078,-1.0346870163829447,0.0
