Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,VVV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.4643535519817652,-0.0,-0.1054830948461441,-0.0,-0.6571271790975476,-0.0,1.0,-0.40188257144063144,-0.0,-0.0,-0.000928622683719556,-0.0,-0.0,-0.4794647756532016,-0.0,-1.0513697184584863,-0.060402684563758385,-0.0
2019-01-03,-0.0,-0.5309424238584041,-0.0,-0.028682465255776623,-0.0,-0.5964601022261649,-0.0,1.0,-0.4330249651501711,-0.0004224221687154142,-0.0,-0.057618383812782496,-0.0,-0.0,-0.5310691505090187,-0.0,-1.0460017741731087,-0.0,-0.0
2019-01-04,-0.0,-0.5404586576898801,-0.0,-0.024321481169787506,-0.0,-0.5843046496949296,-0.0,1.0,-0.4215442878182201,-0.0025247212286976643,-0.0,-0.051714706501157164,-0.0,-0.0,-0.5355354512939196,-0.0,-1.0474226804123712,-0.0,-0.0
2019-01-07,-0.0,-0.4585050505050505,-0.0,-0.1283232323232323,-0.0,-0.6359595959595961,-0.0,1.0,-0.3396767676767677,-0.0,-0.0,-0.03002020202020202,-0.0,-0.0,-0.48787878787878786,-0.0,-0.9600000000000001,-0.0,-0.0
2019-01-08,-0.0,-0.44494763656948766,-0.0,-0.1254700578221665,-0.0,-0.6397638591241761,-0.0,1.0,-0.3448303748332053,-0.0,-0.0,-0.03558287169948648,-0.0,-0.0,-0.4889005701346488,-0.0,-0.9640532125672233,-0.0,-0.0
2019-01-09,-0.0,-0.419744175788925,-0.0,-0.10369301094670998,-0.0,-0.6524319339187618,-0.0,1.0,-0.34087172701391394,-0.0,-0.0,-0.062111552187337105,-0.0,-0.0,-0.48698825133325313,-0.0,-0.9439031236216368,-0.0,-0.0
2019-01-10,-0.0,-0.44103659519587296,-0.0,-0.12763985168466868,-0.0,-0.6618168628083185,-0.0,1.0,-0.3222231178462034,-0.0,-0.0,-0.07802676124455908,-0.0,-0.0,-0.4393841689505078,-0.0,-0.9601402547154603,-0.0,-0.0
2019-01-11,-0.0,-0.43512518998480115,-0.0,-0.12131029517638588,-0.0,-0.6451083913286936,-0.0,1.0,-0.3055355571554275,-0.0,-0.0,-0.09575233981281496,-0.0,-0.0,-0.44916406687465,-0.0,-0.9350451963842892,-0.012558995280377568,-0.0
2019-01-14,-0.0,-0.43501039833626626,-0.0,-0.12118061110222365,-0.0,-0.6444168932970725,-0.0,1.0,-0.304431290993441,-0.0,-0.0,-0.09646456566949288,-0.0,-0.0,-0.45044792833146696,-0.0,-0.9338905775075989,-0.013517837146056633,-0.0
2019-01-15,-0.0,-0.3730146124523507,-0.0,-0.18821473951715373,-0.0,-0.6593869123252859,-0.0,1.0,-0.2696553367217281,-0.0,-0.0,-0.15720298602287167,-0.0,-0.0,-0.4804240787801779,-0.0,-0.8428764294790342,-0.0,-0.0
2019-01-16,-0.0,-0.3351238200560843,-0.0,-0.21999289071448316,-0.0,-0.625775109601485,-0.0,1.0,-0.34250957778743235,-0.0,-0.0,-0.12816461945574467,-0.0,-0.0,-0.47237252656108053,-0.0,-0.8256645207156681,-0.0,-0.0
2019-01-17,-0.0,-0.34351940968880335,-0.0,-0.2264196342637151,-0.0,-0.5892284247674046,-0.0,1.0,-0.3282001924927815,-0.0,-0.0,-0.21122072505614373,-0.0,-0.0,-0.4215190888675008,-0.0,-0.8901588065447545,-0.0,-0.0
2019-01-18,-0.0,-0.34463163792068513,-0.0,-0.22569930769538596,-0.0,-0.5891392212573532,-0.0,1.0,-0.31777982312217373,-0.0,-0.0,-0.21513465925007003,-0.0,-0.0,-0.42214574412741607,-0.0,-0.8872703989755493,-0.0,-0.0
2019-01-22,-0.0,-0.37592489458190786,-0.0,-0.17634656695043363,-0.0,-0.5817885273291431,-0.0,1.0,-0.3133105258970483,-0.0,-0.0,-0.2068979234624871,-0.0,-0.0,-0.40977802530034213,-0.0,-0.9139947489855995,-0.0,-0.0
2019-01-23,-0.0,-0.37223987291501187,-0.0,-0.1671167593328038,-0.0,-0.5904686258935663,-0.0,1.0,-0.31179507545671165,-0.0,-0.0,-0.2092930897537728,-0.0,-0.0,-0.3971405877680699,-0.0,-0.9233518665607625,-0.0,-0.0
2019-01-24,-0.0,-0.3723168316831683,-0.0,-0.1744950495049505,-0.0,-0.5811485148514852,-0.0,1.0,-0.3184950495049505,-0.0,-0.0,-0.20744554455445546,-0.0,-0.0,-0.3852673267326733,-0.0,-0.9212673267326732,-0.0,-0.0
2019-01-25,-0.0,-0.3465468569838177,-0.0,-0.18897856944057892,-0.0,-0.5961591984414137,-0.0,1.0,-0.3290127629120114,-0.0,-0.0,-0.19593654327859725,-0.0,-0.0,-0.42300504950101386,-0.0,-0.8963858295892807,-0.0,-0.0
2019-01-28,-0.0,-0.35025906735751294,-0.0,-0.16903148664806697,-0.0,-0.609565563969709,-0.0,1.0,-0.3620167397369469,-0.0,-0.0,-0.1899561578318055,-0.0,-0.0,-0.41921084097249894,-0.0015544041450777201,-0.8840175368672778,-0.0,-0.0
2019-01-29,-0.0,-0.34457197513151605,-0.0,-0.1565439183803603,-0.0,-0.6049736967957915,-0.0,1.0,-0.36788617886178865,-0.0,-0.0,-0.18930336362187153,-0.0,-0.0,-0.4326877092300335,-0.021122270046229876,-0.8682050055794676,-0.0,-0.0
2019-01-30,-0.0,-0.35431941345234297,-0.0,-0.14950589735416,-0.0,-0.6075868664328976,-0.0,1.0,-0.3530443098501753,-0.0,-0.0,-0.19827861013707362,-0.0,-0.0,-0.4364839018170226,-0.013986292636276697,-0.8714934650940388,-0.0,-0.0
2019-01-31,-0.0,-0.33912284875882304,-0.0,-0.20267269410738362,-0.0,-0.5794670473471331,-0.0,1.0,-0.3397573162027124,-0.0,-0.0,-0.20350543262748827,-0.0,-0.0,-0.43084304861606787,-0.010230787532714726,-0.859822349115711,-0.0,-0.0
2019-02-01,-0.0,-0.2245115452930728,-0.0,-0.16072626800868361,-0.0,-0.6328794158279061,-0.0,1.0,-0.47010065127294254,-0.0,-0.0,-0.23730017761989342,-0.0,-0.0,-0.33033353068877047,-0.07641602526149595,-0.8148805999605289,-0.0,-0.0
