Date,IWF,IWM,MODN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.924484518994895,-1.8837764370483325,1.0,-0.35397467347344697,-1.3053106145992177,-1.1625008287475966,0.0
2018-09-25,-0.9255995759904598,-1.8807473168146285,1.0,-0.35676427719623693,-1.3028355638001856,-1.1591360805618127,0.0
2018-09-26,-0.925560121967387,-1.8812143709399445,1.0,-0.35542887445313537,-1.3041893145963146,-1.162269653983826,0.0
2018-09-27,-0.9296688741721855,-1.8686754966887416,1.0,-0.35874172185430464,-1.3040397350993378,-1.1614569536423842,0.0
2018-09-28,-0.9275592636736858,-1.8698185670772085,1.0,-0.3594888094292147,-1.303469739107403,-1.1613031386571318,0.0
2018-10-01,-0.9275592636736858,-1.8695537014964905,1.0,-0.3598861078002914,-1.3033373063170441,-1.161369355052311,0.0
2018-10-02,-0.9337449379273718,-1.8478390758812986,1.0,-0.3702449711212906,-1.3142800238996217,-1.172674765982872,0.0
2018-10-03,-0.9340104892783644,-1.8471088096660693,1.0,-0.37130717652526063,-1.313881696873133,-1.1724756024696277,0.0
2018-10-04,-0.9364058355437667,-1.8387267904509288,1.0,-0.37214854111405843,-1.316445623342175,-1.1675066312997349,0.0
2018-10-05,-0.9210543657331137,-1.8305766062602964,1.0,-0.35538714991762765,-1.3159143327841847,-1.1667874794069193,0.0
2018-10-08,-0.9191985764186384,-1.8283793580702563,1.0,-0.34666842417452054,-1.326962367363079,-1.169379819416068,0.0
2018-10-09,-0.9205459580640909,-1.8294870104180403,1.0,-0.34860873005406834,-1.3267176579190294,-1.1683370697613082,0.0
2018-10-10,-0.9294888771186439,-1.834017478813559,1.0,-0.354541843220339,-1.3362685381355932,-1.1664459745762712,0.0
2018-10-11,-0.8265024693733565,-1.8561349496504393,1.0,-0.19761400808158555,-1.3253800269386184,-1.208325315887371,0.0
2018-10-12,-0.8336063508064517,-1.8407258064516128,1.0,-0.18378276209677422,-1.284274193548387,-1.1580141129032258,0.0
2018-10-15,-0.8067168863779034,-1.8816698053986192,1.0,-0.14425612052730696,-1.2829252981795354,-1.161833019460138,0.0
2018-10-16,-0.8055973895582329,-1.8837851405622492,1.0,-0.1421937751004016,-1.282254016064257,-1.161207329317269,0.0
2018-10-17,-0.7676965432854084,-1.8054450902416639,1.0,-0.10767818904863873,-1.268644845518507,-1.1686142551238912,0.0
2018-10-18,-0.7672967516975593,-1.8050406802471402,1.0,-0.10760384168348933,-1.2688566709487978,-1.1684712791337861,0.0
2018-10-19,-0.7437496216477995,-1.787154186088746,1.0,-0.08208729341969852,-1.2739269931593922,-1.166717113626733,0.0
2018-10-22,-0.7505154639175258,-1.776470588235294,1.0,-0.06694966646452395,-1.289508793208005,-1.1808368708308066,0.0
2018-10-23,-0.7603557504873294,-1.7838084795321636,1.0,-0.07913011695906433,-1.286549707602339,-1.1817738791423003,0.0
2018-10-24,-0.7594204663054727,-1.7845620015827601,1.0,-0.0740244719060084,-1.2874535825165887,-1.1820782857490717,0.0
2018-10-25,-0.6898464412915281,-1.6914812868570095,1.0,-0.047527296082209375,-1.294155427103404,-1.1157237110994336,0.0
2018-10-26,-0.6647180192572215,-1.6588147638697845,1.0,-0.025045850527281064,-1.2900618982118295,-1.0926180651077488,0.0
2018-10-29,-0.6397564999715537,-1.6727541673778232,1.0,-0.0014223132502702396,-1.2773510838026967,-1.098025829208625,0.0
2018-10-30,-0.6244951362421071,-1.673701575743785,1.0,-0.0,-1.278798566471358,-1.1115535582228795,0.0
2018-10-31,-0.6266239244137001,-1.6335414206175132,1.0,-0.0,-1.267870198526517,-1.0958888701422869,0.0
