Date,CHEF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6603001364256481,-1.5737747927379577,-0.04633224892433623,-1.025868401721062,-0.9409696715290167,0.0
2018-09-25,1.0,-0.6678757293802239,-1.5726751826736054,-0.0553014771592283,-1.024601797823687,-0.9363402197340062,0.0
2018-09-26,1.0,-0.667648141332352,-1.5727956254272044,-0.0543141069456859,-1.0251853409748146,-0.9379567800620432,0.0
2018-09-27,1.0,-0.6686623601701591,-1.5665143637414,-0.055931936347880885,-1.0239483220419097,-0.9367155086392521,0.0
2018-09-28,1.0,-0.6653524680649738,-1.5713084161278452,-0.05724649108973348,-1.0248646375440256,-0.9380223939441727,0.0
2018-10-01,1.0,-0.6711664205863742,-1.5723476059902974,-0.057002742037544823,-1.0309533853617379,-0.9416789706812908,0.0
2018-10-02,1.0,-0.6757870272554406,-1.5478554827804778,-0.0669765476442003,-1.0400908514684133,-0.951352207901965,0.0
2018-10-03,1.0,-0.6750409035731251,-1.5406660685068876,-0.06660685068876339,-1.0412202459492268,-0.9542935557080277,0.0
2018-10-04,1.0,-0.6939774420089381,-1.535273462438817,-0.06905724622260057,-1.0683656097041925,-0.9536603532666525,0.0
2018-10-05,1.0,-0.6871849296895728,-1.5366940833112233,-0.05640753515521359,-1.071159458742372,-0.9550543910851684,0.0
2018-10-08,1.0,-0.7692937803522322,-1.6909484524018488,-0.03873383652214616,-1.2544029021122227,-1.0977122462114564,0.0
2018-10-09,1.0,-0.769221767115272,-1.6916325336454068,-0.03785839672322996,-1.254768870684611,-1.0978349912229375,0.0
2018-10-10,1.0,-0.7749304610285849,-1.7171095460732675,-0.03189915369592235,-1.2705213943303544,-1.1238089601704444,0.0
2018-10-11,1.0,-0.7430720277697426,-1.6831356667630895,-0.013190627711888921,-1.2389354932021985,-1.107029216083309,0.0
2018-10-12,1.0,-0.746091307066917,-1.6674057649667406,-0.0,-1.2057535959974985,-1.0661208709989198,0.0
2018-10-15,1.0,-0.6943226467741017,-1.727748989237515,-0.0,-1.2001594442229941,-1.0722054552702012,0.0
2018-10-16,1.0,-0.6855464293862651,-1.7472051106548026,-0.0,-1.1994638375541866,-1.0716404289299566,0.0
2018-10-17,1.0,-0.6536702365015619,-1.6858545292280234,-0.0,-1.176260597947345,-1.0620816599732263,0.0
2018-10-18,1.0,-0.6539813626471737,-1.687629038558116,-0.0,-1.1759388426985102,-1.0624407120138386,0.0
