Date,EIG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2639455345386814,-0.8349979125855038,-0.0,-0.5854073669674684,-0.5270561032788464,0.0
2018-09-25,1.0,-0.26155086248589393,-0.8403998065452201,-0.0,-0.5896179268096083,-0.5326777365790747,0.0
2018-09-26,1.0,-0.26136583478429093,-0.8403624169729798,-0.0,-0.5896691816598955,-0.5329528599987102,0.0
2018-09-27,1.0,-0.2607909604519774,-0.8437126715092816,-0.0,-0.5902502017756255,-0.5336561743341404,0.0
2018-09-28,1.0,-0.25975786924939465,-0.8447134786117836,-0.0,-0.590185633575464,-0.5337853107344632,0.0
2018-10-01,1.0,-0.25960979391433553,-0.8460494864009301,-0.0,-0.590219006395762,-0.5343368434653402,0.0
2018-10-02,1.0,-0.25852864583333335,-0.8766927083333335,-0.0,-0.58828125,-0.5317057291666668,0.0
2018-10-03,1.0,-0.2587565104166667,-0.8764322916666667,-0.0,-0.5882486979166668,-0.5317708333333334,0.0
2018-10-04,1.0,-0.260687097403865,-0.8727308217841109,-0.0,-0.5902466002993039,-0.5296375821458781,0.0
2018-10-05,1.0,-0.23951202102462607,-0.8647350832224782,-0.0,-0.5991369520781286,-0.5411245579312807,0.0
2018-10-08,1.0,-0.23597327625348644,-0.8616138029448013,-0.0,-0.6045274696763313,-0.5410585717065577,0.0
2018-10-09,1.0,-0.23136847572059202,-0.8620488184887041,-0.0,-0.6071150350558296,-0.5453453648403012,0.0
2018-10-10,1.0,-0.23603615319591648,-0.8621496846348917,-0.0,-0.6111255608297028,-0.5418752844788348,0.0
2018-10-11,1.0,-0.1597866565675693,-0.8556144669570158,-0.0,-0.5886511393044247,-0.5519156725367671,0.0
2018-10-12,1.0,-0.15364599661420777,-0.8546617342780111,-0.0,-0.5826070600037621,-0.5441093485484984,0.0
2018-10-15,1.0,-0.11915748501114354,-0.8927080390495024,-0.0,-0.5790877985999937,-0.548074206610792,0.0
2018-10-16,1.0,-0.12015698587127158,-0.891585557299843,-0.0,-0.5794976452119309,-0.5484772370486657,0.0
2018-10-17,1.0,-0.10276679841897232,-0.859869071146245,-0.0,-0.5732151679841897,-0.5520936264822134,0.0
2018-10-18,1.0,-0.10261240118577075,-0.8600543478260869,-0.0,-0.5732151679841897,-0.5520936264822134,0.0
2018-10-19,1.0,-0.08720823378055505,-0.8521105188997121,-0.0,-0.5736690559333456,-0.5501746002573057,0.0
2018-10-22,1.0,-0.08747971462690224,-0.8463210753544199,-0.0,-0.5758902599589699,-0.5522520591567408,0.0
2018-10-23,1.0,-0.08665155599117863,-0.8466062239647145,-0.0,-0.5768500367556971,-0.5528669443763783,0.0
2018-10-24,1.0,-0.08478887050315621,-0.8491450634307778,-0.0,-0.5775265060979347,-0.55285898143041,0.0
2018-10-25,1.0,-0.058068932674563964,-0.814750878028454,-0.0,-0.5762545389606525,-0.5272932912673374,0.0
2018-10-26,1.0,-0.1301367583935048,-0.9257644827471467,-0.0,-0.6495857318736898,-0.6219678567863441,0.0
2018-10-29,1.0,-0.11142743644067797,-0.9329316737288136,-0.0,-0.6409560381355931,-0.6250662076271186,0.0
2018-10-30,1.0,-0.07391727984410174,-0.9513489903571549,-0.0,-0.659980512717132,-0.6746631723952559,0.0
2018-10-31,1.0,-0.07659971975712285,-0.9344431840928805,-0.0,-0.6561686795222526,-0.6690131447254287,0.0
2018-11-01,1.0,-0.04078752855798951,-0.974902566859293,-0.0,-0.6650651794113693,-0.6790417954575998,0.0
