Date,IWF,IWM,LPG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6106270840055932,-1.5613638808217707,1.0,-0.0,-1.1382166290201141,-1.0679251371410132,0.0
2018-09-25,-0.6240625842999731,-1.5640679794982466,1.0,-0.0,-1.1409765308875102,-1.066091178850823,0.0
2018-09-26,-0.6241907639188606,-1.5642533448424687,1.0,-0.0,-1.1409149762624082,-1.0656020716443677,0.0
2018-09-27,-0.6251954072556736,-1.5602932456471348,1.0,-0.0,-1.140208075036386,-1.0649021616085386,0.0
2018-09-28,-0.6411636759108211,-1.5679717237629145,1.0,-0.0,-1.1527460576400217,-1.0758564437194127,0.0
2018-10-01,-0.6417813060736229,-1.5670164754499485,1.0,-0.0,-1.1529008754281986,-1.0757435702245663,0.0
2018-10-02,-0.6503137789904502,-1.5388813096862208,1.0,-0.009440654843110505,-1.1675852660300137,-1.0907503410641202,0.0
2018-10-03,-0.6514994264488992,-1.5430709564647402,1.0,-0.011034030698639865,-1.1672038018244386,-1.089528595619162,0.0
2018-10-04,-0.6614492119089317,-1.5334938704028023,1.0,-0.012915936952714537,-1.1804947460595447,-1.0845008756567427,0.0
2018-10-05,-0.632144816236972,-1.5280307185957214,1.0,-0.0,-1.2085024684585848,-1.116785518376303,0.0
2018-10-08,-0.6264380409773199,-1.5220773529089513,1.0,-0.0,-1.214309192505752,-1.1154815382929768,0.0
2018-10-09,-0.6593932646813248,-1.5524631227386583,1.0,-0.0,-1.2315613693292513,-1.1229613136654606,0.0
2018-10-10,-0.6638809961557747,-1.5517856147974816,1.0,-0.002061396178060059,-1.2353334447601538,-1.118279569892473,0.0
2018-10-11,-0.5365422712427049,-1.5200514001177918,1.0,-0.0,-1.1831129196337742,-1.1144188038764256,0.0
2018-10-12,-0.5557679035939905,-1.5210489993098688,1.0,-0.0,-1.1546955459998938,-1.077135424961512,0.0
2018-10-15,-0.545989503260351,-1.5268515082436516,1.0,-0.0,-1.1528919047871495,-1.0756507448444044,0.0
2018-10-16,-0.5428238287046852,-1.5313228747085015,1.0,-0.0,-1.1514733941064237,-1.0743587025651897,0.0
2018-10-17,-0.5038856077090457,-1.4614547715262667,1.0,-0.0,-1.136099886022174,-1.0793700134701067,0.0
2018-10-18,-0.5035486711910065,-1.4613272548308553,1.0,-0.0,-1.1363000569859607,-1.079365901673315,0.0
