Date,CNR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5087696617108382,-1.1639732816203405,-0.06037491919844861,-0.7914673561732385,-0.7848308554190907,0.0
2018-09-25,1.0,-0.5081323611890073,-1.1664006212519953,-0.058414944561887915,-0.7936494240476294,-0.7876526165926054,0.0
2018-09-26,1.0,-0.5101899827288429,-1.169257340241796,-0.062003454231433504,-0.7934801381692573,-0.7829015544041451,0.0
2018-09-27,1.0,-0.5098954282257367,-1.1719384668567974,-0.06174920058767609,-0.7940541007691644,-0.7835105003889034,0.0
2018-09-28,1.0,-0.5086415485655029,-1.1725285171102662,-0.062435188385758726,-0.7937694434842724,-0.7833995852056689,0.0
2018-10-01,1.0,-0.5108314956544299,-1.1713149133047953,-0.06226488519911791,-0.7955203874259523,-0.7839322004583387,0.0
2018-10-02,1.0,-0.5226439790575916,-1.1366492146596858,-0.0787085514834206,-0.818237347294939,-0.8067190226876092,0.0
2018-10-03,1.0,-0.5220860768325121,-1.1279379060742163,-0.07774822308463784,-0.8210003052369947,-0.8117995901103213,0.0
2018-10-04,1.0,-0.5236414346101886,-1.1237634549178541,-0.07852878371900467,-0.8226347670719484,-0.8092561119100536,0.0
2018-10-05,1.0,-0.5071028280985272,-1.1170337547243583,-0.05955949433077023,-0.8355706155784353,-0.8249706763977585,0.0
2018-10-08,1.0,-0.5066006600660066,-1.1168143130102484,-0.05845058190029529,-0.835852006253257,-0.8248219558797985,0.0
2018-10-09,1.0,-0.5047995482778092,-1.117795248230031,-0.05342483603353169,-0.838726490900404,-0.8287799157364375,0.0
2018-10-10,1.0,-0.5058833745820851,-1.1164083192219185,-0.0546654509139855,-0.8392601276540316,-0.8258000086839478,0.0
2018-10-11,1.0,-0.43352747531020513,-1.1156410905714527,-0.0,-0.822697729382966,-0.8486114628175909,0.0
2018-10-12,1.0,-0.44778738874263513,-1.113075090886298,-0.0,-0.7980861643892858,-0.8197317287200703,0.0
2018-10-15,1.0,-0.40702487978256324,-1.1576834622621786,-0.0,-0.7928078611749947,-0.8240016725904244,0.0
2018-10-16,1.0,-0.40622125595785596,-1.1587507316665273,-0.0,-0.7923739443097249,-0.8236056526465423,0.0
2018-10-17,1.0,-0.3802481308027278,-1.1124804864021034,-0.0,-0.7844466354449101,-0.8309506203270068,0.0
2018-10-18,1.0,-0.3839805224280939,-1.1230966038047292,-0.0,-0.7845499938100937,-0.8350183633887674,0.0
2018-10-19,1.0,-0.36529250419617637,-1.1113521922462848,-0.0,-0.7840913742989316,-0.8331354648544643,0.0
2018-10-22,1.0,-0.3653177298580138,-1.1036458120217685,-0.0,-0.7871025819387045,-0.835795245304636,0.0
2018-10-23,1.0,-0.3714636642784033,-1.10489252814739,-0.0,-0.7835414534288638,-0.8342681678607984,0.0
2018-10-24,1.0,-0.36895705521472394,-1.1027402862985687,-0.0,-0.7833128834355828,-0.8350102249488753,0.0
2018-10-25,1.0,-0.35162715950180795,-1.0758135797509039,-0.0,-0.7754921655283246,-0.8147047006830052,0.0
2018-10-26,1.0,-0.33239257463131533,-1.0596653019040425,-0.0,-0.7794252096831895,-0.8035536828715665,0.0
2018-10-29,1.0,-0.3321781389420013,-1.0626991714467815,-0.0,-0.7838989802421925,-0.8046526449968133,0.0
2018-10-30,1.0,-0.3376390383925368,-1.0634692819838136,-0.0,-0.7845154088426425,-0.8011003468484631,0.0
2018-10-31,1.0,-0.33934660217270635,-1.0492030766790896,-0.0,-0.7805090793751487,-0.7957338831179129,0.0
