Date,DVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34209768736205737,-0.6852509356107859,-0.022230752007165018,-0.5825736493618654,-0.5665163292070498,0.0
2018-09-25,1.0,-0.3447514872385339,-0.6833621185952792,-0.026258555619522807,-0.5807266679460117,-0.5632955926565598,0.0
2018-09-26,1.0,-0.34471950361414955,-0.6833941022196636,-0.026162604746369857,-0.580758651570396,-0.5633595599053285,0.0
2018-09-27,1.0,-0.34808184143222504,-0.6756074168797953,-0.028516624040920716,-0.5812659846547314,-0.5634590792838874,0.0
2018-09-28,1.0,-0.35278846153846155,-0.6753205128205129,-0.02830128205128205,-0.5834935897435897,-0.565224358974359,0.0
2018-10-01,1.0,-0.352431947160858,-0.6762640674596813,-0.02872807720670749,-0.5833466927442367,-0.5654878322485491,0.0
2018-10-02,1.0,-0.3641412009222875,-0.6441723768388921,-0.04387360763809957,-0.6065989023479363,-0.5886727503003929,0.0
2018-10-03,1.0,-0.3654766166563609,-0.6518371464835487,-0.044976730562697305,-0.605916620561721,-0.5862270966902073,0.0
2018-10-04,1.0,-0.3692157500813537,-0.6459160429547673,-0.045688252521965504,-0.6108037748128864,-0.5825252196550602,0.0
2018-10-05,1.0,-0.3553311032444545,-0.6389204637718813,-0.030008768796076776,-0.6247280049365074,-0.5987139099087396,0.0
2018-10-08,1.0,-0.3541409948764512,-0.636811725792853,-0.028147091251053896,-0.6256566573707764,-0.598028406511447,0.0
2018-10-09,1.0,-0.3512633498306851,-0.64232221932795,-0.015466267257098203,-0.6361031518624642,-0.6109338369367022,0.0
2018-10-10,1.0,-0.3586326577387774,-0.644608886414983,-0.02026783667856324,-0.643921286139943,-0.606889099898497,0.0
2018-10-11,1.0,-0.309096702246296,-0.6326270511390791,-0.0,-0.6288991556476023,-0.6155806914130955,0.0
2018-10-12,1.0,-0.30534593189168624,-0.6294311624072547,-0.0,-0.6251823197412646,-0.6108504026888198,0.0
2018-10-15,1.0,-0.26628895184135976,-0.676035267530318,-0.0,-0.6229429926472928,-0.6176910589808066,0.0
2018-10-16,1.0,-0.2578636436212678,-0.6952259300654638,-0.0,-0.6228963755388792,-0.6174038000958008,0.0
2018-10-17,1.0,-0.2371260498914719,-0.6586240523451509,-0.0,-0.6209380603353362,-0.6290226178866903,0.0
2018-10-18,1.0,-0.2417882054533925,-0.6724476854787571,-0.0,-0.6217501585288522,-0.6346227013316423,0.0
2018-10-19,1.0,-0.2223731168872185,-0.6614976470959795,-0.0,-0.6325363989514575,-0.6418532672204149,0.0
2018-10-22,1.0,-0.22416030896831174,-0.6698217734021337,-0.0,-0.6310424514862768,-0.640634398049954,0.0
