Date,GBT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.184273363524084,-2.245944833264718,-0.4098806093042404,-1.721860848085632,-1.6717990942774803,0.0
2018-09-25,1.0,-1.1943573667711598,-2.2455040422372545,-0.4217125886817357,-1.721085629434087,-1.6668041577297477,0.0
2018-09-26,1.0,-1.1961544809374485,-2.24781317049018,-0.42490509985146063,-1.7208285195576827,-1.6624855586730485,0.0
2018-09-27,1.0,-1.1962855963681387,-2.248947585637639,-0.42492777548493604,-1.72125464300454,-1.662897234832852,0.0
2018-09-28,1.0,-1.1926673839278323,-2.261938260365803,-0.4272117851526938,-1.726144169494331,-1.6682115368699826,0.0
2018-10-01,1.0,-1.1936605147728212,-2.2602830422908218,-0.4276255896714392,-1.726475213109327,-1.6679632541587353,0.0
2018-10-02,1.0,-1.1942004971002484,-2.272410936205468,-0.4258492129246065,-1.7256006628003313,-1.6669428334714167,0.0
2018-10-03,1.0,-1.1972438983895068,-2.283247551054292,-0.42777685538768057,-1.726880292213183,-1.6662792628258345,0.0
2018-10-04,1.0,-1.2029201924672308,-2.270864443338311,-0.42956694873071183,-1.7336153973784636,-1.6590343454454952,0.0
2018-10-05,1.0,-1.1724907063197025,-2.2573316811235027,-0.39471292854192486,-1.753159851301115,-1.683271375464684,0.0
2018-10-08,1.0,-1.1718517292735398,-2.257322521926196,-0.38259142809862656,-1.7723812675823267,-1.6899718682773457,0.0
2018-10-09,1.0,-1.1687386043427814,-2.2630532073595226,-0.3695508039118183,-1.7829438090502236,-1.7034642797944637,0.0
2018-10-10,1.0,-1.1715380131567992,-2.2792072612207512,-0.3646431842784578,-1.7924056957282037,-1.7192938629361312,0.0
2018-10-11,1.0,-1.0385482053758248,-2.2889103492676646,-0.17173668115242235,-1.7724126830838565,-1.7760341220022533,0.0
2018-10-12,1.0,-1.044525144075156,-2.2628088734506986,-0.153311754953817,-1.7188758190573932,-1.7150074998026366,0.0
2018-10-15,1.0,-1.0277734067663258,-2.2804091266719118,-0.12918961447678995,-1.715814319433517,-1.7146341463414636,0.0
2018-10-16,1.0,-1.0258769859996852,-2.285433380525405,-0.12490168318389176,-1.7151958470976876,-1.7139373918515022,0.0
2018-10-17,1.0,-0.9837833703052091,-2.1910808536678648,-0.1059435477702134,-1.6760498737856648,-1.6925724776256403,0.0
2018-10-18,1.0,-0.9820047476835897,-2.1886055593843325,-0.10843096714909257,-1.6832069836894095,-1.6953824948311509,0.0
2018-10-19,1.0,-0.985862096200932,-2.2532975278414025,-0.05591975357396731,-1.8026222257325644,-1.8005686754600743,0.0
2018-10-22,1.0,-0.989186202541637,-2.2410608572105137,-0.04688609992896046,-1.8095350856421186,-1.806614571000079,0.0
2018-10-23,1.0,-0.9969955724225172,-2.2438330170777987,-0.059614168247944334,-1.8024193548387095,-1.803447185325743,0.0
2018-10-24,1.0,-0.9988147914032869,-2.2390170670037928,-0.04298356510745891,-1.8087863463969658,-1.8118678887484196,0.0
2018-10-25,1.0,-0.9074323313892627,-2.086585912965455,-0.029759234335277406,-1.755869597726933,-1.6975474801854344,0.0
2018-10-26,1.0,-0.8759279676589489,-2.0482910694597574,-0.0,-1.7553840499816245,-1.6706357956633588,0.0
2018-10-29,1.0,-0.8238611395927934,-2.0767540647429326,-0.0,-1.7355353742493043,-1.6877105610077634,0.0
2018-10-30,1.0,-0.8304861060195028,-2.0791113718014516,-0.0,-1.7375174133000952,-1.684800938485226,0.0
2018-10-31,1.0,-0.8371822803195352,-2.0270878721859114,-0.0,-1.7288307915758898,-1.6690631808278868,0.0
2018-11-01,1.0,-0.8015803972741772,-2.0536465129766563,-0.0,-1.7256778309409888,-1.6686965347252427,0.0
2018-11-02,1.0,-0.8098060739114527,-2.0858397365532384,-0.0,-1.7357482619831688,-1.686498353457739,0.0
2018-11-05,1.0,-0.8072253912534738,-2.0902442591780024,-0.0,-1.734752084247477,-1.6809273072985227,0.0
2018-11-06,1.0,-0.8135097594853425,-2.0944513487828056,-0.0,-1.729439286497551,-1.6730755172161709,0.0
2018-11-07,1.0,-0.8123036457952802,-2.0938116460875285,-0.0,-1.7280631255936292,-1.6720976108716301,0.0
2018-11-08,1.0,-0.7606973058637084,-2.0805359458291313,-0.0,-1.6971617922489555,-1.6651779282524133,0.0
2018-11-09,1.0,-0.7617263491606023,-2.080697456589091,-0.0,-1.6971683838893292,-1.6656099142589522,0.0
2018-11-12,1.0,-0.7578969987823221,-2.0438364014039108,-0.0,-1.704892199699162,-1.6561134589212805,0.0
2018-11-13,1.0,-0.7014301897479468,-2.0322854715378083,-0.0,-1.7025630133106768,-1.6438685924667233,0.0
2018-11-14,1.0,-0.7008783113755489,-2.033786655333617,-0.0,-1.7034282476271427,-1.6450630400906645,0.0
2018-11-15,1.0,-0.6979395312610636,-2.0348367910500604,-0.0,-1.7040996955321108,-1.6437725695673724,0.0
