Date,IWF,IWM,KBAL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.26963454340747955,-0.8445668380853849,1.0,-0.0,-0.47363296108085085,-0.4550710525515017,0.0
2018-09-25,-0.26812389488445826,-0.847021523077861,1.0,-0.0,-0.4756112432168771,-0.45786842265715505,0.0
2018-09-26,-0.2675407836560451,-0.846775423082787,1.0,-0.0,-0.4758042384509834,-0.45909437414239973,0.0
2018-09-27,-0.2670350470142875,-0.8497374526804249,1.0,-0.0,-0.47640126999633653,-0.45973256807913054,0.0
2018-09-28,-0.2641942794144668,-0.8568934893121823,1.0,-0.0,-0.47893060574508484,-0.462393581184541,0.0
2018-10-01,-0.26525548339664257,-0.8559306457541968,1.0,-0.0,-0.47965935547114324,-0.4625045950251195,0.0
2018-10-02,-0.2644856371225141,-0.8656088877976922,1.0,-0.0,-0.4781180947704395,-0.4607782960962435,0.0
2018-10-03,-0.2637972819584624,-0.857809000828297,1.0,-0.0,-0.4806577292388871,-0.46550296039512845,0.0
2018-10-04,-0.26314818232146153,-0.8631666359106847,1.0,-0.0,-0.4798548317647782,-0.46942855385372456,0.0
2018-10-05,-0.2516915163946974,-0.8592597128249091,1.0,-0.0,-0.47983957382971565,-0.47080794783087904,0.0
2018-10-08,-0.24859447567831824,-0.8557504277682717,1.0,-0.0,-0.4817281838181373,-0.46941456856514296,0.0
2018-10-09,-0.24707463872170113,-0.8557636491399592,1.0,-0.0,-0.4820812074180441,-0.4702575540007944,0.0
2018-10-10,-0.24810652333251895,-0.8550268751526997,1.0,-0.0,-0.4826227705839238,-0.46823845590031765,0.0
2018-10-11,-0.1836094674556213,-0.8468934911242603,1.0,-0.0,-0.45659763313609464,-0.4714792899408284,0.0
2018-10-12,-0.18414217760527624,-0.841888697580763,1.0,-0.0,-0.439343975253159,-0.45288469956517935,0.0
2018-10-15,-0.14659470874640698,-0.8888660761424296,1.0,-0.0,-0.4376429870358421,-0.4599636299642165,0.0
2018-10-16,-0.13727401630627437,-0.9148647051872858,1.0,-0.0,-0.44003308519437556,-0.4618634054117925,0.0
2018-10-17,-0.12000232281292646,-0.8832786504456897,1.0,-0.0,-0.4339885601463372,-0.46624662466246625,0.0
2018-10-18,-0.11966903759616782,-0.8829438234867181,1.0,-0.0,-0.43431557555523304,-0.46622151255624916,0.0
2018-10-19,-0.10733112487397378,-0.8775745355033846,1.0,-0.0,-0.4323203226271064,-0.46334437563013103,0.0
2018-10-22,-0.10746681256659082,-0.8713393037118092,1.0,-0.0,-0.4350217410084372,-0.465747113197224,0.0
2018-10-23,-0.11608690627528026,-0.8751877961400671,1.0,-0.0,-0.4323067144343003,-0.46561886051080553,0.0
