Date,IDYA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-21,1.0,-6.546965317919075,-6.166907514450867,-8.359104046242775,-7.898843930635838,-6.154985549132948,0.0
2020-01-22,1.0,-6.531891891891892,-6.138018018018018,-8.353513513513512,-7.8781981981981986,-6.134414414414414,0.0
2020-01-23,1.0,-6.54384698664742,-6.151208949837604,-8.363767592926742,-7.8924575965355475,-6.136773727896067,0.0
2020-01-24,1.0,-6.544207867195959,-6.1526524720317575,-8.362324070732589,-7.891735835438471,-6.137134608444605,0.0
2020-01-27,1.0,-6.437010676156584,-6.024555160142349,-8.285409252669039,-7.7686832740213525,-6.071886120996441,0.0
2020-01-28,1.0,-6.191842378154165,-5.931904597303837,-8.14967162115451,-7.508123055651572,-5.784652609747667,0.0
2020-01-29,1.0,-6.084300341296929,-5.8692832764505125,-8.062116040955631,-7.407508532423209,-5.706825938566553,0.0
2020-01-30,1.0,-6.0617367706919945,-5.825983717774763,-8.014586160108548,-7.373134328358209,-5.645861601085482,0.0
2020-01-31,1.0,-6.057946458827516,-5.823788546255507,-7.9976279227380545,-7.364283293798712,-5.642832937987123,0.0
2020-02-03,1.0,-5.945273631840796,-5.6560530679933665,-7.841791044776119,-7.203316749585407,-5.52106135986733,0.0
2020-02-04,1.0,-5.822991508817766,-5.5388634879163945,-7.727302416721097,-7.109732201175702,-5.459503592423253,0.0
2020-02-05,1.0,-5.839084273390843,-5.649966821499668,-7.929993364299934,-7.245852687458527,-5.513271400132714,0.0
2020-02-06,1.0,-5.914314181335104,-5.611092660245765,-8.045167718365992,-7.232813018930588,-5.407837927598805,0.0
2020-02-07,1.0,-5.941156803744567,-5.668004012036108,-8.094617184887998,-7.281511200267469,-5.4486793714476764,0.0
2020-02-10,1.0,-5.84106614017769,-5.541296479104968,-7.999670944389601,-7.183283974991773,-5.340243501151694,0.0
2020-02-11,1.0,-5.930154466084621,-5.669576897246474,-8.14842175957018,-7.341168569509738,-5.490261920752182,0.0
2020-02-12,1.0,-5.937227257468949,-5.658945955018463,-8.150721718697548,-7.343739509902652,-5.477677072843235,0.0
2020-02-13,1.0,-5.901672240802676,-5.635785953177257,-8.14448160535117,-7.317056856187291,-5.446153846153846,0.0
2020-02-14,1.0,-5.907202680067001,-5.646901172529312,-8.169179229480736,-7.32931323283082,-5.447906197654941,0.0
2020-02-18,1.0,-5.910798122065728,-5.65627095908786,-8.17102615694165,-7.335345405767941,-5.461099932930919,0.0
2020-02-19,1.0,-5.9079343823234005,-5.650150652828925,-8.1606963508537,-7.32105791764312,-5.438901908269166,0.0
2020-02-20,1.0,-5.88280467445743,-5.632387312186978,-8.15025041736227,-7.302170283806344,-5.4213689482470775,0.0
2020-02-21,1.0,-5.881702412868633,-5.684986595174263,-8.177949061662199,-7.322721179624666,-5.4450402144772125,0.0
2020-02-24,1.0,-5.749501661129568,-5.65249169435216,-8.138538205980067,-7.269767441860465,-5.412292358803987,0.0
2020-02-25,1.0,-5.390338164251207,-5.598067632850241,-8.12367149758454,-6.962962962962963,-5.130756843800322,0.0
2020-02-26,1.0,-5.148520890515401,-5.191216834400732,-7.797499237572431,-6.635559621835926,-4.724611161939616,0.0
2020-02-27,1.0,-5.279307145066502,-5.219919579338076,-7.915248994741727,-6.763686978038974,-4.753170429941232,0.0
2020-02-28,1.0,-4.545004128819158,-4.940269749518304,-6.949628406275805,-5.868703550784476,-4.221855216074869,0.0
2020-03-02,1.0,-4.608360836083608,-4.852860286028602,-6.929317931793179,-5.891914191419142,-4.22029702970297,0.0
2020-03-03,1.0,-4.260334903192047,-4.962061747776034,-6.350863422291995,-5.541077969649399,-4.049973835688122,0.0
2020-03-04,1.0,-4.099585062240664,-5.0803941908713695,-6.463692946058091,-5.424014522821577,-3.8659232365145235,0.0
2020-03-05,1.0,-3.7919842635849523,-5.166953528399311,-5.935824932382593,-5.057290386033932,-3.6358495205311043,0.0
2020-03-06,1.0,-3.576155831964327,-4.948368927481812,-5.75756864585778,-4.781976061957287,-3.404834545881248,0.0
2020-03-09,1.0,-3.572463768115942,-4.895745675549322,-5.773024777933614,-4.764843384759233,-3.3693314633006075,0.0
2020-03-10,1.0,-3.502631066068992,-3.3484700838043264,-5.254726174235042,-4.083219645293315,-2.30033131943091,0.0
2020-03-11,1.0,-3.5559574468085104,-4.206170212765958,-5.934893617021277,-4.296170212765957,-2.2831914893617022,0.0
2020-03-12,1.0,-2.9479202475077346,-3.163630113441045,-4.780508765898934,-3.5104847026469574,-1.7853214162942592,0.0
2020-03-13,1.0,-2.352755706898726,-2.0541051835035944,-3.6121831252364736,-2.616218943120192,-0.9767940471686216,0.0
2020-03-16,1.0,-2.046945034206181,-2.398207124321774,-3.461783439490446,-2.40068412361406,-0.4874970511913187,0.0
2020-03-17,1.0,-1.5835348920541075,-1.5745767266863748,-2.288811251455702,-1.9661381349099707,-0.5449251993191795,0.0
2020-03-18,1.0,-1.6018871348212664,-1.7124841226637635,-2.149791326438033,-2.0339321357285427,-0.5746688441299219,0.0
2020-03-19,1.0,-1.6836633215803274,-1.466865563692252,-2.151794593617214,-2.0818190037067175,-0.6567218153873972,0.0
2020-03-20,1.0,-1.6857349746560464,-1.4781860970311371,-2.1536024619840695,-2.086712527154236,-0.6469949312092687,0.0
2020-03-23,1.0,-1.750232212520899,-1.7143785992940739,-2.0431915288872373,-2.151309678617871,-0.6293888166449935,0.0
2020-03-24,1.0,-1.7651892890120038,-1.7377654662973223,-1.9660203139427517,-2.1180055401662052,-0.6466297322253001,0.0
2020-03-25,1.0,-1.607767784137367,-1.595421095666394,-1.5600981193785772,-1.915944399018806,-0.4973017170891251,0.0
2020-03-26,1.0,-1.6198010112542813,-1.5934594682759746,-1.5369434023813406,-1.9080084814875222,-0.497064100473006,0.0
2020-03-27,1.0,-1.5546055188495922,-1.5213369607462108,-1.423940924990284,-1.8405752040419745,-0.432568985619899,0.0
2020-03-30,1.0,-1.5265221402214022,-1.500461254612546,-1.4363468634686347,-1.8304120541205413,-0.39391143911439114,0.0
2020-03-31,1.0,-1.499616858237548,-1.5301149425287355,-1.4254406130268198,-1.809808429118774,-0.39777777777777773,0.0
2020-04-01,1.0,-1.5031730254606623,-1.553788515941586,-1.3890205673216607,-1.8093890970257667,-0.3904732777735301,0.0
