Date,IWF,IWM,MCK,MTUM,SPY,VLUE,VXX
2018-09-24,-0.26936910663944785,-0.6980655195878294,1.0,-0.0,-0.6173487573312595,-0.6555847185768445,0.0
2018-09-25,-0.267696601862971,-0.7004965758982181,1.0,-0.0,-0.6191619876018305,-0.6582389406380837,0.0
2018-09-26,-0.2671232876712329,-0.7001882750113614,1.0,-0.0,-0.6193598649613712,-0.6594169966889567,0.0
2018-09-27,-0.27156207411253164,-0.6926471542604972,1.0,-0.0,-0.620578882471283,-0.6600687909663183,0.0
2018-09-28,-0.27065351418002465,-0.6936855084690765,1.0,-0.0,-0.6204815367642287,-0.6600363423973002,0.0
2018-10-01,-0.27040982009482367,-0.6956874715853738,1.0,-0.0,-0.6205754367733974,-0.6607131259336234,0.0
2018-10-02,-0.2718033638547958,-0.6910838366127671,1.0,-0.0,-0.6219235015260731,-0.662088447301773,0.0
2018-10-03,-0.27113087509737727,-0.6828096598286159,1.0,-0.0,-0.6247403271877434,-0.6672292910932225,0.0
2018-10-04,-0.27950270129531996,-0.6757794701555686,1.0,-0.0,-0.6361387749788453,-0.6631517281780902,0.0
2018-10-05,-0.2560336123505846,-0.6668403739048301,1.0,-0.0,-0.6513695730058952,-0.6827997264110998,0.0
2018-10-08,-0.25302070406897,-0.6657305205407877,1.0,-0.0,-0.661485206714127,-0.6853895891842466,0.0
2018-10-09,-0.2461926440244981,-0.6678675531392264,1.0,-0.0,-0.6671797727049422,-0.6939049552942718,0.0
2018-10-10,-0.24963130468980435,-0.6671254874971323,1.0,-0.0,-0.6699439583128503,-0.6906236686002687,0.0
2018-10-11,-0.1756928958266964,-0.6546670914303918,1.0,-0.0,-0.6498566422427524,-0.7055113093341828,0.0
2018-10-12,-0.16825699745547074,-0.6548346055979644,1.0,-0.0,-0.6507315521628498,-0.7068384223918575,0.0
2018-10-15,-0.15792146779671778,-0.6609211821096405,1.0,-0.0,-0.6487001237977337,-0.7067898295400439,0.0
2018-10-16,-0.15290306187269725,-0.6700863930885529,1.0,-0.0,-0.6475987803328674,-0.7056282556219031,0.0
