Date,IWF,IWM,MTUM,RGR,SPY,VLUE,VXX
2018-09-24,-0.38221163716995854,-1.3037408122202603,-0.0,1.0,-0.7277132180840142,-0.6926456699379954,0.0
2018-09-25,-0.3805444586302047,-1.3084716444956963,-0.0,1.0,-0.7316008401630905,-0.6977883942177011,0.0
2018-09-26,-0.38518671343098826,-1.3139261398803384,-0.0,1.0,-0.7335258923045183,-0.6936249226325562,0.0
2018-09-27,-0.3932760614571287,-1.3035684784404429,-0.0,1.0,-0.7371551296877581,-0.6961837105567487,0.0
2018-09-28,-0.399204573701218,-1.3038362747535006,-0.0,1.0,-0.7406578838346175,-0.6991465738669318,0.0
2018-10-01,-0.4008206233421751,-1.3025944960212203,-0.0,1.0,-0.7417523209549072,-0.6993948938992043,0.0
2018-10-02,-0.4006675010429704,-1.3326241134751773,-0.0,1.0,-0.7408010012515645,-0.6977889027951606,0.0
2018-10-03,-0.4010429703796412,-1.3321234876929495,-0.0,1.0,-0.7408427200667501,-0.6979140592407176,0.0
2018-10-04,-0.43312129103872266,-1.3395380608803313,-0.0,1.0,-0.7887119497929386,-0.7079366434700934,0.0
2018-10-05,-0.40783880292467267,-1.3304710083319162,-0.0,1.0,-0.7953154225471859,-0.7173524910729469,0.0
2018-10-08,-0.4032401713389033,-1.3252894524789007,-0.0,1.0,-0.7974892913185462,-0.7150430467789134,0.0
2018-10-09,-0.39732427266935655,-1.3266935655128478,-0.0,1.0,-0.8016139307708643,-0.7215119983011256,0.0
2018-10-10,-0.4077475014948322,-1.3314256427778253,-0.0,1.0,-0.8125053386862561,-0.719313231400017,0.0
2018-10-11,-0.30123813454395376,-1.323565827486587,-0.0,1.0,-0.7754849360297154,-0.7267849773008668,0.0
2018-10-12,-0.3073452298687045,-1.3179952034470142,-0.0,1.0,-0.7467582618592741,-0.6928173651477583,0.0
2018-10-15,-0.28529185401223317,-1.334953619313809,-0.0,1.0,-0.7403086644792806,-0.6901608133835622,0.0
2018-10-16,-0.287347004944476,-1.3328199724406258,-0.0,1.0,-0.7413876955499717,-0.6912539515279241,0.0
2018-10-17,-0.26267555343965726,-1.2854875823216694,-0.0,1.0,-0.7280409426327065,-0.6911052923907006,0.0
2018-10-18,-0.2692292292292292,-1.3033833833833832,-0.0,1.0,-0.7315715715715716,-0.6998198198198198,0.0
2018-10-19,-0.2503767748076466,-1.293487744903625,-0.0,1.0,-0.7283255334338067,-0.6939002141667329,0.0
2018-10-22,-0.25058464465496055,-1.2861389670617145,-0.0,1.0,-0.7307463633120614,-0.6962226009750684,0.0
2018-10-23,-0.24955387238767499,-1.2866320339453543,-0.0,1.0,-0.732204465241702,-0.6971884046476583,0.0
