Date,BBDC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29987456787101907,-0.7274451616850736,-0.0,-0.5184018111175697,-0.5135986783736654,0.0
2018-09-25,1.0,-0.30135771512445725,-0.7264999082624917,-0.0,-0.5177359182924591,-0.5123234052963122,0.0
2018-09-26,1.0,-0.3007891356212149,-0.7262188780816051,-0.0,-0.5179849513672233,-0.5136722334373279,0.0
2018-09-27,1.0,-0.30259418828490237,-0.7216976808140068,-0.0,-0.5178904268646684,-0.5133987227671342,0.0
2018-09-28,1.0,-0.3006573918361107,-0.7245375324873873,-0.0,-0.5183916832288641,-0.5140498394740864,0.0
2018-10-01,1.0,-0.3009020027518728,-0.7242929215716252,-0.0,-0.5184528359578046,-0.5140192631096163,0.0
2018-10-02,1.0,-0.30450345713761245,-0.7121703481612923,-0.0,-0.5235574863856085,-0.5191825246282812,0.0
2018-10-03,1.0,-0.3038706126941421,-0.706493824140883,-0.0,-0.524948024948025,-0.5220741103094044,0.0
2018-10-04,1.0,-0.30373588715846156,-0.7081051311079154,-0.0,-0.5245540495058594,-0.52326897775602,0.0
2018-10-05,1.0,-0.2886927408309238,-0.6997108507076548,-0.0,-0.5270430680261756,-0.5282301019631715,0.0
2018-10-08,1.0,-0.2858704564088549,-0.6960614618444627,-0.0,-0.5280131183383439,-0.5266769912848077,0.0
2018-10-09,1.0,-0.2828028186125623,-0.6960575871704533,-0.0,-0.5293402988701251,-0.5291276880087474,0.0
2018-10-10,1.0,-0.2837452182889064,-0.6951848928289514,-0.0,-0.5298439492379623,-0.5272633432509563,0.0
2018-10-11,1.0,-0.2258443120800446,-0.6779437223086178,-0.0,-0.5034183269270268,-0.5269798421407823,0.0
2018-10-12,1.0,-0.23371248299615063,-0.6715579867442332,-0.0,-0.48386443228850107,-0.5051373332175625,0.0
2018-10-15,1.0,-0.21298273971021184,-0.6894302372568262,-0.0,-0.47901633666224097,-0.5049067713444554,0.0
