Date,CVLT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4417670682730923,-0.8474908035503358,-0.06857682832169013,-0.5593128817792177,-0.4576625831055314,0.0
2018-09-25,1.0,-0.44542354569701875,-0.8456058611026707,-0.07366892872818123,-0.5574799959485465,-0.4540328842972416,0.0
2018-09-26,1.0,-0.446403242147923,-0.8469436001350896,-0.07558257345491388,-0.5571428571428572,-0.4511313745356299,0.0
2018-09-27,1.0,-0.4491462509279881,-0.8394411824255923,-0.07774853209151651,-0.5571978133225349,-0.45093473712627385,0.0
2018-09-28,1.0,-0.44771385186434953,-0.840357685169563,-0.0782858106968112,-0.5570102918845959,-0.45102075248861145,0.0
2018-10-01,1.0,-0.44781508351611266,-0.8400202463303525,-0.07848827400033744,-0.557044035768517,-0.45102075248861145,0.0
2018-10-02,1.0,-0.45034626275031553,-0.8815542592024016,-0.06863848804284788,-0.5591716985637771,-0.45174495957425037,0.0
2018-10-03,1.0,-0.4546704240841295,-0.9013334249776617,-0.07076087703622241,-0.5606227232112172,-0.44927486425183866,0.0
2018-10-04,1.0,-0.45670913899096743,-0.8965552769859533,-0.07143593089947453,-0.5632104955867706,-0.44650891231926365,0.0
2018-10-05,1.0,-0.4441364678506656,-0.890976285802279,-0.056838791362967524,-0.5729049036717655,-0.45710570441090925,0.0
2018-10-08,1.0,-0.4426571038251366,-0.8884221311475409,-0.05461065573770492,-0.5737704918032788,-0.4558401639344262,0.0
2018-10-09,1.0,-0.4510585647511685,-0.8948309045916963,-0.06619466593346164,-0.5733090459169646,-0.45150536156172666,0.0
2018-10-10,1.0,-0.45075757575757575,-0.8985192837465564,-0.06398071625344352,-0.5745867768595042,-0.4556473829201102,0.0
2018-10-11,1.0,-0.4262261992868196,-0.8931238646302899,-0.031218461952499492,-0.5613604252169817,-0.452129448967234,0.0
2018-10-12,1.0,-0.4359961501443695,-0.8876240416846437,-0.027712322856858384,-0.5409710928943613,-0.42657064153197705,0.0
2018-10-15,1.0,-0.4284153005464481,-0.9000827951647624,-0.015962907766186453,-0.5403874813710879,-0.4269581056466303,0.0
2018-10-16,1.0,-0.426754124428543,-0.9073080235870934,-0.010700324653813025,-0.5408798780891804,-0.4271185317696945,0.0
2018-10-17,1.0,-0.4153017944535073,-0.8794453507340947,-0.0026101141924959217,-0.5356933115823818,-0.4296247960848287,0.0
2018-10-18,1.0,-0.4138122448979592,-0.8774530612244897,-0.003951020408163265,-0.5394285714285715,-0.43062857142857136,0.0
2018-10-19,1.0,-0.4126704508383898,-0.8809617015723887,-0.0,-0.5399295361127422,-0.42868793632152413,0.0
2018-10-22,1.0,-0.41264863452240946,-0.8855350842806742,-0.002580687312165164,-0.5382529726904481,-0.4276754214033712,0.0
2018-10-23,1.0,-0.4178781925343812,-0.8873608382449247,-0.011198428290766208,-0.5325802226588081,-0.4253765553372626,0.0
2018-10-24,1.0,-0.4180604195987301,-0.888161555330082,-0.008771642719209242,-0.5329427552122541,-0.4250973717801852,0.0
