Date,GOOGL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.497130242825607,-0.35667402501839585,-0.3107579102281089,-0.47746872700515086,-0.3013392200147167,0.0
2018-09-25,1.0,-0.49954380904729667,-0.3550048562262707,-0.31441857727286104,-0.47576301615798916,-0.29846660976542955,0.0
2018-09-26,1.0,-0.5014584131286645,-0.3578562800153207,-0.3179045991573613,-0.47553106861907424,-0.29353878789664417,0.0
2018-09-27,1.0,-0.5030476134389447,-0.3534642678366361,-0.319160213185713,-0.4754865875563146,-0.29342481081240246,0.0
2018-09-28,1.0,-0.5049061496301971,-0.35277131154786806,-0.31891445914488614,-0.47605857913192096,-0.29398591507793853,0.0
2018-10-01,1.0,-0.505068363979255,-0.35254596888260253,-0.31892385667138146,-0.4761610089580387,-0.29405351249410655,0.0
2018-10-02,1.0,-0.5049948430823633,-0.35161337851775454,-0.31937527626344486,-0.4762929129217622,-0.29450419920436127,0.0
2018-10-03,1.0,-0.5046101275517719,-0.346864229534274,-0.318643768226942,-0.4779803811824314,-0.2976404395086458,0.0
2018-10-04,1.0,-0.5052420779832725,-0.3452997997408411,-0.31882436093768407,-0.47888443868535757,-0.29673695370479447,0.0
2018-10-05,1.0,-0.5091514633499367,-0.3466061481328657,-0.319254914674762,-0.47888237201214306,-0.29343629343629346,0.0
2018-10-08,1.0,-0.5084191934059464,-0.3445687371209891,-0.3175743302914336,-0.48039446570503386,-0.29281719163968206,0.0
2018-10-09,1.0,-0.5095539525982629,-0.3445311349919034,-0.3197409097600471,-0.47937582805829526,-0.2910054467834535,0.0
2018-10-10,1.0,-0.509148227807077,-0.3459238089626116,-0.3185233198786129,-0.47962641053592997,-0.29306738163283347,0.0
2018-10-11,1.0,-0.49645740170741626,-0.33875370230559265,-0.29821708577733896,-0.4758987165340612,-0.29444218595737265,0.0
2018-10-12,1.0,-0.5111245430734248,-0.33229715338341537,-0.2998589643957056,-0.46112886048988283,-0.27386811731859656,0.0
2018-10-15,1.0,-0.5114071175810582,-0.3323743490894444,-0.29880031071089497,-0.46137690957737565,-0.2730228142351621,0.0
2018-10-16,1.0,-0.5126360025329573,-0.3286224166714639,-0.3019400149674745,-0.4616026711185309,-0.27353059697196475,0.0
2018-10-17,1.0,-0.5064486674656167,-0.3114192775209724,-0.2960109570279062,-0.46130799520630034,-0.27820578668036294,0.0
2018-10-18,1.0,-0.5067773877807265,-0.3118454470222298,-0.2957223981965014,-0.4610621236766258,-0.27820106726022314,0.0
2018-10-19,1.0,-0.5066146974309369,-0.3069504111070016,-0.2936072149990042,-0.46220376113118433,-0.27565506842299925,0.0
2018-10-22,1.0,-0.5101947830048981,-0.2995500626495045,-0.28303337509966964,-0.47129513612028706,-0.2836313930971636,0.0
2018-10-23,1.0,-0.5117735827567552,-0.29913726830101645,-0.2867230431935309,-0.4679251729734347,-0.28174026935451724,0.0
2018-10-24,1.0,-0.5144743958327403,-0.2952662890324784,-0.2804645469812986,-0.47100851100167945,-0.285275113147932,0.0
2018-10-25,1.0,-0.5091288177617491,-0.28133100416995377,-0.28003493745069313,-0.47196551335512227,-0.2750760734813479,0.0
2018-10-26,1.0,-0.5096650393656348,-0.28303750317464793,-0.281429014871462,-0.47134351101955585,-0.2764624544967125,0.0
2018-10-29,1.0,-0.5041494359580274,-0.28649393760373587,-0.275831997074296,-0.46797198075786983,-0.2787014375334065,0.0
2018-10-30,1.0,-0.5281706139603566,-0.29258249559834154,-0.2867893451468166,-0.47140341909467826,-0.2608337593002783,0.0
2018-10-31,1.0,-0.5302884615384615,-0.2819004524886878,-0.28803733031674206,-0.46990950226244343,-0.25791855203619907,0.0
2018-11-01,1.0,-0.5404515121397131,-0.2727246911827346,-0.2972312934828908,-0.4707085048984807,-0.2585545932131194,0.0
