Date,IWF,IWM,MTUM,SPY,USNA,VLUE,VXX
2018-09-24,-0.8752984389348025,-1.665258647076829,-0.190633608815427,-1.2624426078971533,1.0,-1.1281910009182738,0.0
2018-09-25,-0.8869688211057131,-1.669024045261669,-0.20201709611954982,-1.2651128466883954,1.0,-1.1266219789680831,0.0
2018-09-26,-0.886939931068439,-1.6696824224519937,-0.2001477104874446,-1.2669867060561297,1.0,-1.1308468734613488,0.0
2018-09-27,-0.889312273369799,-1.6588408825517793,-0.20275336488230594,-1.2656874193350134,1.0,-1.1292483559707454,0.0
2018-09-28,-0.8871750752780678,-1.660111841700977,-0.20358876666871503,-1.2651631536901615,1.0,-1.129109567996067,0.0
2018-10-01,-0.8891416625676339,-1.6590629611411707,-0.20388588293162813,-1.2666625676340384,1.0,-1.129734382685686,0.0
2018-10-02,-0.8892850556341059,-1.656359500829901,-0.2056310321509805,-1.2663674924694164,1.0,-1.129833405053175,0.0
2018-10-03,-0.8887387110646926,-1.6523315107206489,-0.206057627326903,-1.2660809731523008,1.0,-1.1304908766971802,0.0
2018-10-04,-0.8932146146760823,-1.643229966226589,-0.20730733804114215,-1.2715382253607614,1.0,-1.1252686521338655,0.0
2018-10-05,-0.8748932536293766,-1.6319995120165915,-0.18592167866292547,-1.276259607173356,1.0,-1.130779553495181,0.0
2018-10-08,-0.8705853747492553,-1.6245213056957024,-0.1813871497173424,-1.27548477296213,1.0,-1.126679229226187,0.0
2018-10-09,-0.8710481517509728,-1.6251215953307394,-0.18178501945525294,-1.2754742217898833,1.0,-1.1262767509727627,0.0
2018-10-10,-0.8716948946021689,-1.630437431460948,-0.18002924332886558,-1.278177165834044,1.0,-1.1319605215060313,0.0
2018-10-11,-0.7779536792729405,-1.629610085019056,-0.041278217531515685,-1.257343887423043,1.0,-1.1571973028437408,0.0
2018-10-12,-0.7825461657941667,-1.6105965598573317,-0.02721049301041247,-1.2200425703273312,1.0,-1.1124086751423803,0.0
