Date,IWF,IWM,MTUM,OFC,SPY,VLUE,VXX
2018-09-24,-0.2591911764705882,-0.5819746376811594,-0.0,1.0,-0.4812979539641943,-0.34167199488491046,0.0
2018-09-25,-0.2564343163538874,-0.589088471849866,-0.0,1.0,-0.48670241286863275,-0.3487667560321716,0.0
2018-09-26,-0.2553733866423377,-0.588778275686264,-0.0,1.0,-0.4874285560952049,-0.3517320954195401,0.0
2018-09-27,-0.2542728716388986,-0.5952951309450112,-0.0,1.0,-0.4887895997631416,-0.35324199930019107,0.0
2018-09-28,-0.25669775214274165,-0.594765780820441,-0.0,1.0,-0.48970405908037296,-0.3541049000053905,0.0
2018-10-01,-0.2598004276550249,-0.6158780634903229,-0.0,1.0,-0.49961620702889414,-0.3660562530840507,0.0
2018-10-02,-0.259654415798135,-0.6186231486560615,-0.0,1.0,-0.49890290729566655,-0.3655238617663193,0.0
2018-10-03,-0.2602025413727804,-0.6207152070697368,-0.0,1.0,-0.4986689354227845,-0.3649038065702445,0.0
2018-10-04,-0.2662982210124007,-0.6147268277929006,-0.0,1.0,-0.5069702218922708,-0.3615991641232918,0.0
2018-10-05,-0.25895082865360913,-0.6114504862347624,-0.0,1.0,-0.5077934529516505,-0.3611560060265718,0.0
2018-10-08,-0.2560278059060182,-0.6084184022551247,-0.0,1.0,-0.5116998275814882,-0.36065573770491804,0.0
2018-10-09,-0.25197217048318177,-0.6087432891421058,-0.0,1.0,-0.5139969321792484,-0.3643858880245426,0.0
2018-10-10,-0.25137001315212626,-0.6094366505918457,-0.0,1.0,-0.5140563349408154,-0.36513590530469087,0.0
2018-10-11,-0.1984481292517007,-0.597842261904762,-0.0,1.0,-0.4954559948979592,-0.36556653911564624,0.0
2018-10-12,-0.19290749839777827,-0.6047051911984619,-0.0,1.0,-0.5028038880581073,-0.369953001495407,0.0
2018-10-15,-0.17535822724125072,-0.619666542374687,-0.0,1.0,-0.49920098013103925,-0.3691738134554946,0.0
2018-10-16,-0.17215844010548467,-0.6249966703071308,-0.0,1.0,-0.49828187847952904,-0.36831730641165655,0.0
2018-10-17,-0.16250065779087514,-0.6061937588801768,-0.0,1.0,-0.4937115192338052,-0.3687312529600589,0.0
2018-10-18,-0.1625440766275459,-0.6066785958633756,-0.0,1.0,-0.49350034208725857,-0.368717435924425,0.0
2018-10-19,-0.14768748366867,-0.5972302064280115,-0.0,1.0,-0.49877188398223155,-0.3692970995557879,0.0
2018-10-22,-0.14762925401223276,-0.5893669297924617,-0.0,1.0,-0.5032150138533118,-0.3735950650844268,0.0
2018-10-23,-0.14510173619294525,-0.590776965983188,-0.0,1.0,-0.5067955063241417,-0.37604420352475976,0.0
2018-10-24,-0.14361256544502618,-0.5868062827225131,-0.0,1.0,-0.508586387434555,-0.3787696335078534,0.0
2018-10-25,-0.111213329244608,-0.553051211284882,-0.0,1.0,-0.5331697843197383,-0.3580445671062047,0.0
2018-10-26,-0.09722397955310373,-0.5431839461497583,-0.0,1.0,-0.5384518055520409,-0.35169673811271096,0.0
2018-10-29,-0.12827308385455316,-0.5651701473550302,-0.0,1.0,-0.5865578288985477,-0.3702692674652815,0.0
2018-10-30,-0.1364179659486308,-0.5667082791043587,-0.0,1.0,-0.5877181332837526,-0.3652686658344179,0.0
2018-10-31,-0.1436545940368793,-0.54694568639382,-0.0,1.0,-0.5909151035741687,-0.36405725019180407,0.0
2018-11-01,-0.12884894938548963,-0.5588211973040835,-0.0,1.0,-0.5906700145368046,-0.3647152107836659,0.0
2018-11-02,-0.1339079251629178,-0.5348433886903511,-0.0,1.0,-0.5982236703804918,-0.3607315535001051,0.0
2018-11-05,-0.12856428214107055,-0.5529606908717517,-0.0,1.0,-0.6016955846344225,-0.3496748374187094,0.0
2018-11-06,-0.12860754160522436,-0.5527175057931325,-0.0,1.0,-0.6017484727196124,-0.35016852749104693,0.0
2018-11-07,-0.1280917798126513,-0.5527576044626882,-0.0,1.0,-0.6006736133038628,-0.3498052836543522,0.0
