Date,IWF,IWM,MTUM,REX,SPY,VLUE,VXX
2018-09-24,-0.34229157636179747,-0.9699826614651063,-0.0,1.0,-0.6778644704522468,-0.6220921832105188,0.0
2018-09-25,-0.34429840398642303,-0.9681880551744059,-0.002672058929732072,1.0,-0.6762836715534051,-0.6194843648443705,0.0
2018-09-26,-0.34388094206039593,-0.9680681982372491,-0.001083658430862592,1.0,-0.6771059095506431,-0.6220199393151279,0.0
2018-09-27,-0.3472924187725631,-0.959783393501805,-0.0035740072202166064,1.0,-0.6774368231046931,-0.6220216606498195,0.0
2018-09-28,-0.34868183459732754,-0.958974358974359,-0.0038642109064644277,1.0,-0.6776814734561214,-0.6222462983026364,0.0
2018-10-01,-0.34812002892263194,-0.9616052060737527,-0.00455531453362256,1.0,-0.6778018799710773,-0.6232465654374547,0.0
2018-10-02,-0.3484328115397129,-0.9599436029066193,-0.005639709338057192,1.0,-0.6777412241061421,-0.6234047937529373,0.0
2018-10-03,-0.34915057775201946,-0.9463179628355127,-0.0030427065599304528,1.0,-0.6867823378128736,-0.6369399065454414,0.0
2018-10-04,-0.3481373265157049,-0.9650474799123449,-0.0028853177501826153,1.0,-0.6862308254200147,-0.65,0.0
2018-10-05,-0.33476457317516917,-0.9603012881158576,-0.0,1.0,-0.6893603085656066,-0.6542828032894258,0.0
2018-10-08,-0.3332848625854297,-0.9590664533953759,-0.0,1.0,-0.6894721535553293,-0.6534826232368766,0.0
2018-10-09,-0.326448839835355,-0.9605143335883145,-0.0,1.0,-0.6943867701161985,-0.6612027829381124,0.0
2018-10-10,-0.32888937456744255,-0.9595308345171748,-0.0,1.0,-0.6960987870178122,-0.6580701562670745,0.0
2018-10-11,-0.2847098293953887,-0.9510314797630095,-0.0,1.0,-0.6783496323791849,-0.6550788778642302,0.0
2018-10-12,-0.30052419069207337,-0.9523623999433308,-0.0,1.0,-0.6587093575122194,-0.6302330523482327,0.0
2018-10-15,-0.27554518785565335,-0.975117520234687,-0.0,1.0,-0.6535185381543138,-0.6302619022373025,0.0
2018-10-16,-0.2659476335769531,-0.9978358050095792,-0.0,1.0,-0.6537997587454765,-0.6303129213084511,0.0
