Date,IWF,IWM,MTUM,PML,SPY,VLUE,VXX
2018-09-24,-0.13209967020886773,-0.2844631733235618,-0.0,1.0,-0.23493953829241485,-0.18065225357273726,0.0
2018-09-25,-0.13131016778215823,-0.2852480058677913,-0.0,1.0,-0.23551847437425505,-0.18160814156046576,0.0
2018-09-26,-0.13575969777941585,-0.29120058969870083,-0.0,1.0,-0.23783285727448636,-0.17801529531005253,0.0
2018-09-27,-0.13605880835697703,-0.2904675927631821,-0.0,1.0,-0.23779431813994617,-0.17799108294336563,0.0
2018-09-28,-0.13792276325257857,-0.290071406166393,-0.0,1.0,-0.2385371884052623,-0.17860767201136596,0.0
2018-10-01,-0.13778909869501818,-0.2906214814404637,-0.0,1.0,-0.23851449877254186,-0.17882127101906714,0.0
2018-10-02,-0.13809462278256696,-0.2880401676111716,-0.0010891034279068908,1.0,-0.23910435087589757,-0.17959130932383288,0.0
2018-10-03,-0.13794185509921553,-0.28300876788186435,-0.0002768804799261652,1.0,-0.2413290263036456,-0.18333179510844488,0.0
2018-10-04,-0.14200658259679746,-0.27866942790577276,-0.0005362227728264487,1.0,-0.24708775563033913,-0.18074405532339782,0.0
2018-10-05,-0.1454875855291216,-0.2831129818835877,-0.0009456878488382874,1.0,-0.24654638506184054,-0.17819725935952827,0.0
2018-10-08,-0.14533288849347567,-0.282936684460261,-0.0006857947805456702,1.0,-0.24653395610913403,-0.17801008303677343,0.0
2018-10-09,-0.147418049522961,-0.2836247540557597,-0.004584771875116011,1.0,-0.2451275197683484,-0.17542785016891263,0.0
2018-10-10,-0.14727718178106092,-0.2837707413044285,-0.004287464271131074,1.0,-0.24510932105868816,-0.17561899105386242,0.0
2018-10-11,-0.12389524480832838,-0.2750094886948978,-0.0,1.0,-0.23423521119123789,-0.17421243832348318,0.0
2018-10-12,-0.12690826080753317,-0.269403623912113,-0.0,1.0,-0.22463974889427876,-0.16246968183763733,0.0
2018-10-15,-0.12201110162254483,-0.2725412752633077,-0.0,1.0,-0.2230465414175918,-0.16150725875320238,0.0
2018-10-16,-0.11999359464797252,-0.27582157536074586,-0.0,1.0,-0.22247922708752202,-0.1609522623347508,0.0
2018-10-17,-0.11210273888371604,-0.26039598742116266,-0.0,1.0,-0.22041074471636127,-0.16392895416454384,0.0
2018-10-18,-0.11182153521868961,-0.25979272791147023,-0.0,1.0,-0.22097312489021603,-0.16393816968206568,0.0
2018-10-19,-0.10479938701588186,-0.25264697687378096,-0.0,1.0,-0.22154499860685428,-0.1624407913067707,0.0
2018-10-22,-0.10553325187641822,-0.257584220631873,-0.0,1.0,-0.2205969628207366,-0.16179088846220982,0.0
2018-10-23,-0.10853241128806929,-0.25812028499580886,-0.0,1.0,-0.21868887957530037,-0.16095627270187202,0.0
2018-10-24,-0.10788193657490541,-0.2561062780034519,-0.0,1.0,-0.21846615178088877,-0.16095120207813943,0.0
2018-10-25,-0.09829125484372064,-0.24074358580427097,-0.0,1.0,-0.21836431607517795,-0.1496389614380089,0.0
2018-10-26,-0.0933104864021173,-0.23663539351576945,-0.0,1.0,-0.21965288499058414,-0.14695553331184366,0.0
2018-10-29,-0.08732356317957722,-0.23797865874248664,-0.0,1.0,-0.21594516107246572,-0.14714324306071452,0.0
