Date,IWF,IWM,LULU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6156331065537664,-1.31442415936567,1.0,-0.22700797807253684,-0.8681904948362783,-0.8693162351328863,0.0
2018-09-25,-0.6174053419430584,-1.3119557773212014,1.0,-0.23031014577829959,-0.866060072399961,-0.8661089912924372,0.0
2018-09-26,-0.6178945308678212,-1.3126406418158694,1.0,-0.23148419919773017,-0.865717640152627,-0.8642011544858625,0.0
2018-09-27,-0.6213468869123253,-1.3023653601798457,1.0,-0.23433681947023752,-0.8655067930798553,-0.8636008210341121,0.0
2018-09-28,-0.6222808818497335,-1.3017549005230482,1.0,-0.23468739306838735,-0.8657672190448257,-0.8638118981277803,0.0
2018-10-01,-0.6223971062664971,-1.301300224850914,1.0,-0.2349692052008994,-0.8656760191612083,-0.8637207938214878,0.0
2018-10-02,-0.6225926288004693,-1.3004203734480397,1.0,-0.2358490566037736,-0.8655293772607293,-0.8636230325545019,0.0
2018-10-03,-0.6221299462628236,-1.2963849535906204,1.0,-0.2358085002442599,-0.8659501709819248,-0.8649242794333172,0.0
2018-10-04,-0.6248840728266706,-1.2895982818372627,1.0,-0.23663786791623959,-0.8691853370430029,-0.860838580563284,0.0
2018-10-05,-0.6159906623869273,-1.287131601984243,1.0,-0.22590214959634275,-0.870878319229647,-0.8634860422137925,0.0
2018-10-08,-0.6144022530834223,-1.2845974555695834,1.0,-0.22419151209090027,-0.8706419345440418,-0.8619986403806934,0.0
2018-10-09,-0.6198636806231742,-1.2882667964946446,1.0,-0.23237585199610516,-0.8696202531645569,-0.8584225900681597,0.0
2018-10-10,-0.6200905241641115,-1.287633231128632,1.0,-0.232637367985594,-0.8696160023361075,-0.8569134180172288,0.0
2018-10-11,-0.5688323917137477,-1.2690677966101696,1.0,-0.17711864406779662,-0.8402071563088512,-0.8528719397363466,0.0
2018-10-12,-0.5838913690476191,-1.2640438988095237,1.0,-0.1719215029761905,-0.8112444196428571,-0.819149925595238,0.0
2018-10-15,-0.5708455080933166,-1.2833820323732665,1.0,-0.15328602569454108,-0.8097954640322805,-0.8206947729697138,0.0
2018-10-16,-0.5686783875307325,-1.2925267894419445,1.0,-0.14658811522939186,-0.8103168344389293,-0.8208006679964743,0.0
2018-10-17,-0.5454213790587377,-1.2403319956220358,1.0,-0.12075884713608172,-0.8121579715432323,-0.8417092302079533,0.0
2018-10-18,-0.5497597803706246,-1.249416609471517,1.0,-0.11759322809425761,-0.8132235186456188,-0.845664607641272,0.0
2018-10-19,-0.5337147527584798,-1.2374335921536574,1.0,-0.10048585569631749,-0.82023339236253,-0.8488398492485129,0.0
2018-10-22,-0.534120554716463,-1.2611103482996935,1.0,-0.11552016110577143,-0.8180694768639298,-0.848047965581949,0.0
2018-10-23,-0.5407662307868777,-1.2637760954347328,1.0,-0.1259463179628355,-0.8120211057582014,-0.845698554714384,0.0
