Date,CNQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3404467786078852,-0.8459945262223537,-0.0,-0.7799763296101783,-0.7320807752052667,0.0
2018-09-25,1.0,-0.3520023753850722,-0.847938239988123,-0.0,-0.7817614964925955,-0.7297999480384515,0.0
2018-09-26,1.0,-0.3513623877051006,-0.8476501596258074,-0.0,-0.7820179671839037,-0.7311975647783799,0.0
2018-09-27,1.0,-0.3574637116234176,-0.8383264654564354,-0.0,-0.7840887997921075,-0.732486913910235,0.0
2018-09-28,1.0,-0.35730195263196973,-0.8385552008315391,-0.0,-0.7839112035043433,-0.7324226000445467,0.0
2018-10-01,1.0,-0.3599464763603925,-0.8376449598572703,-0.0,-0.7860912875408862,-0.7331995242343146,0.0
2018-10-02,1.0,-0.3712669089819013,-0.8072095027541499,-0.009517742721175105,-0.806010417056994,-0.7531382320980253,0.0
2018-10-03,1.0,-0.37463759930720286,-0.8232990699951053,-0.011521518129447645,-0.8059791407809029,-0.7497270228547761,0.0
2018-10-04,1.0,-0.3762417218543046,-0.8194611679711018,-0.012266706803130644,-0.8075331125827815,-0.7472531607465382,0.0
2018-10-05,1.0,-0.3632991081465937,-0.8122236378625497,-0.0,-0.8155587199280522,-0.7562017537285469,0.0
2018-10-08,1.0,-0.3625159211807897,-0.8119052970705027,-0.0,-0.8157263804600284,-0.7560125870982243,0.0
2018-10-09,1.0,-0.36453921972791664,-0.8127646816325,-0.0,-0.8154630288948019,-0.7547502154930106,0.0
2018-10-10,1.0,-0.36331232177697736,-0.8150607834308871,-0.0,-0.8159612787032868,-0.7576917304517485,0.0
2018-10-11,1.0,-0.29970824215900804,-0.7952954048140044,-0.0,-0.7930342815463166,-0.7589350838803793,0.0
2018-10-12,1.0,-0.29638589016861033,-0.7870888543885619,-0.0,-0.7818175253637578,-0.7452431671300142,0.0
2018-10-15,1.0,-0.27340176481181344,-0.8058707005222402,-0.0,-0.7772375292634611,-0.7451827840806771,0.0
2018-10-16,1.0,-0.27397161587781865,-0.8052733952885239,-0.0,-0.7774295800014409,-0.7453713709386932,0.0
2018-10-17,1.0,-0.2533139576096973,-0.7673140993832849,-0.0,-0.7717799673920749,-0.7519316651307861,0.0
2018-10-18,1.0,-0.25625422582826235,-0.776128963382086,-0.0,-0.7712181061172201,-0.7549909255898367,0.0
2018-10-19,1.0,-0.23812383004273655,-0.7629710733585279,-0.0,-0.7750150107724366,-0.7558012220534738,0.0
2018-10-22,1.0,-0.23818939340442058,-0.7550314243344396,-0.0,-0.7785467128027681,-0.7590565638019914,0.0
2018-10-23,1.0,-0.24516630730621047,-0.7569191615708176,-0.0,-0.7749107490014493,-0.7577321409635573,0.0
2018-10-24,1.0,-0.2431954754330152,-0.7576528808766348,-0.0,-0.7757864969954048,-0.7581831035701662,0.0
2018-10-25,1.0,-0.2047473673378383,-0.7089493362604191,-0.0,-0.7884951805989091,-0.7280211299008679,0.0
2018-10-26,1.0,-0.18841465485042952,-0.6958337577671386,-0.0,-0.792502801263115,-0.7186852738446912,0.0
2018-10-29,1.0,-0.1587457627118644,-0.714135593220339,-0.0,-0.784135593220339,-0.7327796610169492,0.0
2018-10-30,1.0,-0.18052143052143052,-0.7206865956865955,-0.0,-0.7895509145509144,-0.7217444717444716,0.0
2018-10-31,1.0,-0.18364856619890177,-0.7033421462951663,-0.0,-0.7862178835333197,-0.7163921090095587,0.0
2018-11-01,1.0,-0.15540012901911518,-0.7302821444335043,-0.0,-0.7890197942484637,-0.7205378059959936,0.0
2018-11-02,1.0,-0.15431419731866622,-0.759436232382262,-0.0,-0.7919216225507048,-0.7319353729804057,0.0
2018-11-05,1.0,-0.15337296814323517,-0.7616756589573525,-0.0,-0.7918485171311729,-0.7296470669095158,0.0
2018-11-06,1.0,-0.14900217144038877,-0.7599352014614139,-0.0,-0.7989521938441388,-0.7388756764209148,0.0
2018-11-07,1.0,-0.14938246049817153,-0.7606085696543159,-0.0,-0.8002828951907818,-0.7396674256537639,0.0
2018-11-08,1.0,-0.10487990060739923,-0.7799558255107675,-0.0,-0.8005590833793484,-0.7657371617890667,0.0
2018-11-09,1.0,-0.105297670405522,-0.779913718723037,-0.0,-0.8004141501294219,-0.7656600517687662,0.0
2018-11-12,1.0,-0.10415518191841235,-0.7758062293274531,-0.0,-0.8010611907386991,-0.7644363285556781,0.0
2018-11-13,1.0,-0.07207854406130267,-0.7737411056376573,-0.0,-0.8099343185550081,-0.7651546250684181,0.0
2018-11-14,1.0,-0.07007947156569305,-0.7822960745863007,-0.0,-0.8159768809990712,-0.7719750920287612,0.0
2018-11-15,1.0,-0.06944492239925668,-0.7866409718159606,-0.0,-0.8241164527340926,-0.7610723011803572,0.0
2018-11-16,1.0,-0.06360569973153438,-0.7758312108487643,-0.0,-0.8273559578715495,-0.7750740001376746,0.0
2018-11-19,1.0,-0.06518222803455277,-0.7752692982758027,-0.0,-0.826410159341983,-0.7746842413187872,0.0
2018-11-20,1.0,-0.011924750711030396,-0.7681869581605729,-0.0,-0.8386046671007094,-0.807936127197341,0.0
2018-11-21,1.0,-0.010556066332958764,-0.763101440392277,-0.0,-0.8365171791466612,-0.7950420540061974,0.0
2018-11-23,1.0,-0.010575512571214137,-0.7698973151843892,-0.0,-0.8354313785692354,-0.7955855763654351,0.0
2018-11-26,1.0,-0.016692275457466127,-0.7766447827908926,-0.0,-0.8712809051543512,-0.8274898728872747,0.0
