Date,IWF,IWM,MTUM,RAMP,SPY,VLUE,VXX
2018-09-24,-0.9055052886453421,-1.8697591436217662,-0.1999490251051357,1.0,-1.3110105772906844,-1.0857015419905698,0.0
2018-09-25,-0.908037192714304,-1.8664501337409247,-0.20455992867150685,1.0,-1.30817730225449,-1.081390905617119,0.0
2018-09-26,-0.907862877532815,-1.8669555244042308,-0.20268892570409072,1.0,-1.309672486300497,-1.084809481330445,0.0
2018-09-27,-0.9081450274479766,-1.8734201455381079,-0.2024128686327078,1.0,-1.3119494446572195,-1.0873228648027575,0.0
2018-09-28,-0.9051085568326949,-1.8768199233716476,-0.20357598978288635,1.0,-1.31213282247765,-1.0880587484035762,0.0
2018-10-01,-0.9050446998722861,-1.8764367816091956,-0.2042145593869732,1.0,-1.3118773946360154,-1.0881226053639848,0.0
2018-10-02,-0.9052275051124744,-1.8839468302658486,-0.20328476482617586,1.0,-1.3107745398773005,-1.087359406952965,0.0
2018-10-03,-0.9088461538461537,-1.8968589743589743,-0.20615384615384616,1.0,-1.312051282051282,-1.0864102564102565,0.0
2018-10-04,-0.9090909090909091,-1.906197762633406,-0.20766362350520767,1.0,-1.3123312331233121,-1.0938665295100938,0.0
2018-10-05,-0.8878444913357632,-1.8977556109725686,-0.18223671590255133,1.0,-1.322335187671846,-1.104098727540124,0.0
2018-10-08,-0.8834629606018106,-1.8909218411322197,-0.17601683029453014,1.0,-1.3240469208211145,-1.1007267627183477,0.0
2018-10-09,-0.8843823735731139,-1.8921624896371403,-0.17696575473502965,1.0,-1.323895159747465,-1.099738537083094,0.0
2018-10-10,-0.8847526772055074,-1.8911907190209079,-0.17720550739418664,1.0,-1.3239418663946967,-1.0971443141254462,0.0
2018-10-11,-0.7911334272242974,-1.8845141142612207,-0.049476455820219215,1.0,-1.293062274202437,-1.1051374686179658,0.0
2018-10-12,-0.8001446044465867,-1.8741941314695427,-0.03506657829728264,1.0,-1.257154907513406,-1.058625052720371,0.0
2018-10-15,-0.7795124294463792,-1.9051278972018735,-0.003963011889035667,1.0,-1.2557944037468476,-1.060105680317041,0.0
2018-10-16,-0.7762968299711814,-1.913064361191162,-0.0,1.0,-1.2551633045148893,-1.0593780019212296,0.0
2018-10-17,-0.7316915481368285,-1.8381920771129654,-0.0,1.0,-1.2405078170918067,-1.0671211943105676,0.0
2018-10-18,-0.7317618011874668,-1.8392804655810944,-0.0,1.0,-1.2403150902357298,-1.0671918170595496,0.0
2018-10-19,-0.7001459854014599,-1.8232992700729926,-0.0,1.0,-1.2482919708029196,-1.0676204379562042,0.0
2018-10-22,-0.7007013442431327,-1.807948568088837,-0.0,1.0,-1.2585037989479835,-1.0774400935125659,0.0
2018-10-23,-0.7079775412328928,-1.8097438296876827,-0.0,1.0,-1.2548836121183764,-1.0759737981050415,0.0
2018-10-24,-0.704521556256572,-1.804299567706508,-0.0,1.0,-1.25540366865288,-1.0775791564435098,0.0
2018-10-25,-0.6331221617985088,-1.713292594046084,-0.0,1.0,-1.2519481975668554,-1.0079049167460896,0.0
2018-10-26,-0.5975941016686069,-1.6895060701812739,-0.0,1.0,-1.2636509784356118,-0.9927933920949055,0.0
