Date,CREE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.535077288941736,-1.121079175037927,-0.22670056172864816,-0.6178195087949486,-0.5995325761613842,0.0
2018-09-25,1.0,-0.5377741340438614,-1.1187538430006148,-0.23090797294527565,-0.615740930518549,-0.596023775363804,0.0
2018-09-26,1.0,-0.5380025513353359,-1.1215587835891527,-0.22505246697666764,-0.6218262622937327,-0.6086169293444714,0.0
2018-09-27,1.0,-0.5382219823111739,-1.1451231158908775,-0.22144251131503553,-0.6304862351036001,-0.6170327616991239,0.0
2018-09-28,1.0,-0.5343184183142561,-1.1528824141519252,-0.22239334027055152,-0.6329656607700312,-0.6197710718002082,0.0
2018-10-01,1.0,-0.5337970097038858,-1.1544708675190538,-0.2229394860688851,-0.6330431885385865,-0.6204656199242015,0.0
2018-10-02,1.0,-0.533883127160648,-1.1545253863134657,-0.22329126577533423,-0.6329293181723521,-0.6203923528676746,0.0
2018-10-03,1.0,-0.5334693197901923,-1.1499458829406377,-0.22296228457247524,-0.6339605361751728,-0.6225126966946966,0.0
2018-10-04,1.0,-0.5399325084364455,-1.1415656376286296,-0.22388868058159397,-0.642877973586635,-0.6178810981960589,0.0
2018-10-05,1.0,-0.5244444444444445,-1.1362409138110074,-0.20726895119418484,-0.6539979231568017,-0.6317757009345795,0.0
2018-10-08,1.0,-0.5244900502679573,-1.1370528852145736,-0.20688795646213284,-0.6540650575381164,-0.6318806863030203,0.0
2018-10-09,1.0,-0.523595879029578,-1.1375456962445996,-0.20455300764373546,-0.6551179793951479,-0.6333914921900964,0.0
2018-10-10,1.0,-0.5240448504983389,-1.136918604651163,-0.20506644518272427,-0.6551910299003323,-0.6316029900332226,0.0
2018-10-11,1.0,-0.4697992000323219,-1.1451254494767888,-0.1295301199951517,-0.6422366773059673,-0.6536301563573189,0.0
2018-10-12,1.0,-0.4743794396998962,-1.1403144704286055,-0.12491020831670524,-0.6209194668369382,-0.6302178944847953,0.0
2018-10-15,1.0,-0.47057650905031495,-1.1472370624352126,-0.11837174069053505,-0.6204050713659198,-0.6303325093692688,0.0
2018-10-16,1.0,-0.46760147011824865,-1.165987535953979,-0.1057446468520294,-0.6233221476510068,-0.6322307446468521,0.0
2018-10-17,1.0,-0.4657659811892237,-1.1607683723896065,-0.10545193687230991,-0.6216722461342261,-0.6317152877411129,0.0
2018-10-18,1.0,-0.46900641806808024,-1.1738971484279797,-0.10727922658217563,-0.6569583231781624,-0.6549272889755464,0.0
2018-10-19,1.0,-0.4652077001013171,-1.1768186423505573,-0.09993920972644378,-0.6569807497467072,-0.6536980749746707,0.0
2018-10-22,1.0,-0.4652059740686033,-1.2104464139176103,-0.11972755621204662,-0.6544805514524865,-0.6532086000328247,0.0
2018-10-23,1.0,-0.4850127152207446,-1.2299995831075168,-0.13811647975986993,-0.6549380914662108,-0.6608996539792388,0.0
2018-10-24,1.0,-0.4883410503483085,-1.227631084970592,-0.12664247278187962,-0.6604930546865224,-0.6682517832561632,0.0
2018-10-25,1.0,-0.47086762477992056,-1.1997297629283872,-0.12639724849527087,-0.6519674077713631,-0.6455799860786964,0.0
