Date,IWF,IWM,MTUM,SFL,SPY,VLUE,VXX
2018-09-24,-0.21447008212749316,-0.5885542953982531,-0.0,1.0,-0.3831312736279494,-0.4210663538000261,0.0
2018-09-25,-0.21784475790681304,-0.5874638229082472,-0.0008343545485359686,1.0,-0.38231689828696586,-0.4188720569446979,0.0
2018-09-26,-0.21859434085278395,-0.5884730734124396,-0.0024253488068848614,1.0,-0.38197939757465116,-0.4164037032207589,0.0
2018-09-27,-0.21752463828894944,-0.5993919060599706,-0.0,1.0,-0.3848291046340952,-0.41913923254351015,0.0
2018-09-28,-0.22080138640899064,-0.5986503518537969,-0.0,1.0,-0.3861726709379267,-0.4201501943073207,0.0
2018-10-01,-0.22019096719888473,-0.6018360207275693,-0.00047347239392903177,1.0,-0.3865639056211695,-0.4213641265749533,0.0
2018-10-02,-0.22187425984894338,-0.5891470828179689,-0.005105397510460802,1.0,-0.39022079528408643,-0.42530066580699494,0.0
2018-10-03,-0.22184506894011155,-0.5880696768761183,-0.005183664877381328,1.0,-0.3904325860435744,-0.42574465845700454,0.0
2018-10-04,-0.22136781397308614,-0.5899454875832828,-0.005372238169225502,1.0,-0.3896979432754852,-0.4270665999525979,0.0
2018-10-05,-0.21811110527145636,-0.5900299574289168,-0.0006306827140379461,1.0,-0.39055027066799813,-0.4285489041887844,0.0
2018-10-08,-0.21577580099189167,-0.5872628512949697,-0.0,1.0,-0.39305675824608366,-0.4279304101393372,0.0
2018-10-09,-0.21808873720136518,-0.5881333683381464,-0.0,1.0,-0.39254397479653447,-0.4264898923601995,0.0
2018-10-10,-0.2182357418440461,-0.5878060943282328,-0.0002887063331671085,1.0,-0.39258812104669166,-0.42568436523975745,0.0
2018-10-11,-0.1870014923069006,-0.5813307260844954,-0.0,1.0,-0.3785056347450213,-0.426105078989348,0.0
2018-10-12,-0.18947609592179623,-0.5772109363067054,-0.0,1.0,-0.36586731836464537,-0.41314087877399314,0.0
2018-10-15,-0.17706825167009577,-0.5875434986918642,-0.0,1.0,-0.36264573649317994,-0.41281211105184284,0.0
2018-10-16,-0.1695247802267805,-0.6038221429481462,-0.0,1.0,-0.36244107529621605,-0.4123327812460186,0.0
2018-10-17,-0.15345911949685534,-0.5762012578616352,-0.0,1.0,-0.36238993710691825,-0.4236729559748428,0.0
2018-10-18,-0.15510935095729386,-0.58118709482128,-0.0,1.0,-0.3612239235173927,-0.4249930630880609,0.0
2018-10-19,-0.1447005762966675,-0.5745427211225257,-0.0,1.0,-0.3615134051616136,-0.42488098220997245,0.0
2018-10-22,-0.1460394796323271,-0.5816213772665628,-0.0,1.0,-0.3601386307700035,-0.42362750514842534,0.0
2018-10-23,-0.15079544597753147,-0.5826233381085224,-0.0,1.0,-0.35736007439242,-0.422478574480384,0.0
2018-10-24,-0.15709883735984878,-0.6205753644579094,-0.0,1.0,-0.37621378078148066,-0.43551101789274715,0.0
2018-10-25,-0.14075933957239598,-0.5993050800172463,-0.0,1.0,-0.37601765198204373,-0.4201476070912273,0.0
2018-10-26,-0.1414441147378833,-0.598645666894925,-0.0,1.0,-0.37611910015470845,-0.4199954348322301,0.0
2018-10-29,-0.12806202333451183,-0.6046517500883883,-0.0,1.0,-0.36921056619021164,-0.42345573008737813,0.0
2018-10-30,-0.10547013751458874,-0.6098848125031715,-0.0,1.0,-0.37504440046683923,-0.44679555487897704,0.0
2018-10-31,-0.10897807825231454,-0.5960747710703564,-0.0,1.0,-0.37390580459625133,-0.44365681995913325,0.0
2018-11-01,-0.09837470076855236,-0.6041829406576793,-0.0,1.0,-0.3734912435429003,-0.44379488471714756,0.0
2018-11-02,-0.10049708776862824,-0.5929152440249046,-0.0,1.0,-0.3758284796143804,-0.44127836915043184,0.0
2018-11-05,-0.10088886656957766,-0.5920253100989303,-0.0,1.0,-0.3758599909606789,-0.442148345302064,0.0
2018-11-06,-0.1009266467441802,-0.5917731850028879,-0.0,1.0,-0.37608297129655205,-0.4424298736847392,0.0
2018-11-07,-0.10095175912207127,-0.5917731850028879,-0.0,1.0,-0.37608297129655205,-0.4424298736847392,0.0
