Date,IWF,IWM,MTUM,SPY,VLUE,VRSK,VXX
2018-09-24,-0.29658965896589656,-0.388998899889989,-0.16824349101576824,-0.3487593203764821,-0.2420975430876421,1.0,0.0
2018-09-25,-0.2971698113207547,-0.38830775246847193,-0.16927363378629387,-0.3481278717372177,-0.24115260533776514,1.0,0.0
2018-09-26,-0.2978879436784981,-0.38923926860271835,-0.17082233303999217,-0.34778038525471794,-0.23877970079202113,1.0,0.0
2018-09-27,-0.298771102587281,-0.38650411668417584,-0.17158144193887273,-0.3476582541350077,-0.23862109403630502,1.0,0.0
2018-09-28,-0.29780839991204283,-0.38730484497544526,-0.17180971926995528,-0.34757751227735834,-0.23873048449754455,1.0,0.0
2018-10-01,-0.298526428972899,-0.38662300530290067,-0.17167224652378976,-0.34808533515798734,-0.23882603064441238,1.0,0.0
2018-10-02,-0.29848703346124705,-0.38735854129494296,-0.17158360423337327,-0.34793341969545133,-0.238848287830274,1.0,0.0
2018-10-03,-0.2982066067240032,-0.38306293979671624,-0.17095875684128228,-0.34946735731039874,-0.24161942924159502,1.0,0.0
2018-10-04,-0.2988177243636719,-0.38169915481948313,-0.17116126825931893,-0.3502125164883482,-0.24085202012799842,1.0,0.0
2018-10-05,-0.30175618823989825,-0.3849916837882791,-0.17153409646805595,-0.34969670286664717,-0.23799041189707465,1.0,0.0
2018-10-08,-0.30088322364397035,-0.38348053727399506,-0.16705404545788172,-0.3560051867981308,-0.2392043647395591,1.0,0.0
2018-10-09,-0.3007877483119679,-0.38350132106859774,-0.16674821411096977,-0.3561258440160485,-0.2392602015852823,1.0,0.0
2018-10-10,-0.3036226026893967,-0.38254096553751193,-0.16934871531094617,-0.35836578734660884,-0.23548142160824945,1.0,0.0
2018-10-11,-0.30189001341299837,-0.38190464577490546,-0.16476039507377147,-0.35817583221558347,-0.23197171076697962,1.0,0.0
2018-10-12,-0.3050568594241471,-0.3776191628357125,-0.16455359303169612,-0.3510041132349383,-0.22131623518025645,1.0,0.0
2018-10-15,-0.3006160164271047,-0.38446672303418294,-0.15827998550549582,-0.35088778838023915,-0.22150018118130207,1.0,0.0
2018-10-16,-0.3027722676472011,-0.37887657845082007,-0.16316706178334703,-0.35163771832212487,-0.2226280903768929,1.0,0.0
2018-10-17,-0.29893067403580437,-0.3690255917337499,-0.16018262645680642,-0.35061876727141655,-0.2242220353238015,1.0,0.0
2018-10-18,-0.2977066205106015,-0.3672532333285254,-0.16125775277657578,-0.35306985912784267,-0.22469830280301936,1.0,0.0
2018-10-19,-0.2941500047833158,-0.3620730890653401,-0.15816033674543192,-0.35444370037309864,-0.22283076628719029,1.0,0.0
2018-10-22,-0.2965497439823898,-0.3567019189357324,-0.15128965880269896,-0.36021917021582045,-0.22792745370148826,1.0,0.0
2018-10-23,-0.297736950385149,-0.356322663987369,-0.15410745897325487,-0.3576383905076312,-0.2264245729869384,1.0,0.0
2018-10-24,-0.29761221169489904,-0.35723514211886304,-0.15439276485788114,-0.35776150827830416,-0.2255718250550292,1.0,0.0
2018-10-25,-0.2831833520809899,-0.33450506186726664,-0.15323865766779154,-0.3630952380952381,-0.2094347581552306,1.0,0.0
2018-10-26,-0.2778153022010015,-0.330080354023524,-0.14582508442995223,-0.3681145918248515,-0.20726679864912076,1.0,0.0
2018-10-29,-0.27210268551400785,-0.33368149850288975,-0.14112294872687603,-0.3652484738760068,-0.20894552375647008,1.0,0.0
2018-10-30,-0.26241052338012455,-0.3365715348145394,-0.13372687552291532,-0.369131728177001,-0.22222738681788604,1.0,0.0
2018-10-31,-0.26261289498734647,-0.33486568688909013,-0.13396484873813008,-0.3687167699844443,-0.22158761115367648,1.0,0.0
2018-11-01,-0.268953152649716,-0.32890937878364535,-0.13975039582751234,-0.36898109341529295,-0.22177982676725344,1.0,0.0
2018-11-02,-0.2929715176420575,-0.30019838458268383,-0.11777903736242973,-0.41450569174814605,-0.23626659109158754,1.0,0.0
2018-11-05,-0.2912288985952072,-0.30489906740644557,-0.11776649746192894,-0.4148270570180616,-0.23227481997402905,1.0,0.0
2018-11-06,-0.28805105779458695,-0.3032265689634795,-0.11930031911121618,-0.41718472993735967,-0.2360004727573573,1.0,0.0
2018-11-07,-0.2901987727735791,-0.30486389158710225,-0.11589945272335284,-0.4202658200857637,-0.23793503755123316,1.0,0.0
