Date,GNTY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39450824499411075,-0.9710320965842167,-0.0,-0.7193389281507656,-0.5959216725559482,0.0
2018-09-25,1.0,-0.39481819520094213,-0.9706683350507874,-0.0,-0.7191226262328867,-0.5956499337553364,0.0
2018-09-26,1.0,-0.3935683729163593,-0.9712715739784629,-0.0,-0.721308452574126,-0.6017111668387668,0.0
2018-09-27,1.0,-0.39593385142352033,-0.9649000036831057,-0.0,-0.7210415822621635,-0.601230157268609,0.0
2018-09-28,1.0,-0.39483666629838327,-0.9657864692667476,-0.0,-0.7208779876993334,-0.601333186019961,0.0
2018-10-01,1.0,-0.3974623782826792,-0.9652552375331955,-0.0,-0.7232959575095897,-0.6024638536441428,0.0
2018-10-02,1.0,-0.39682011462377514,-0.9781845073026437,-0.0,-0.7217230541689775,-0.6008504344610833,0.0
2018-10-03,1.0,-0.39654086885670903,-0.9655197955631274,-0.0,-0.7290841079960002,-0.6123847264916115,0.0
2018-10-04,1.0,-0.4020080023710729,-0.9583950800237107,-0.0,-0.7360699466508596,-0.6083283935981032,0.0
2018-10-05,1.0,-0.3764915141184318,-0.9501222856295858,-0.0,-0.7520566219521233,-0.626954717260802,0.0
2018-10-08,1.0,-0.37300025982702945,-0.9483686574366208,-0.0,-0.7615901414201404,-0.6288556475260755,0.0
2018-10-09,1.0,-0.3651494565217392,-0.9666364734299518,-0.0,-0.7851751207729469,-0.6571935386473431,0.0
2018-10-10,1.0,-0.3645686937364682,-0.9764500322862462,-0.0,-0.7897215786075132,-0.6676415846849243,0.0
2018-10-11,1.0,-0.26342485389789394,-0.9663689491674937,-0.0,-0.7617157349211601,-0.6840151431616863,0.0
2018-10-12,1.0,-0.26051785778772885,-0.9522588566682315,-0.0,-0.7398432703766566,-0.6586255462063486,0.0
2018-10-15,1.0,-0.2151562556845054,-1.012551387928839,-0.0,-0.7407865536435405,-0.669589260377633,0.0
2018-10-16,1.0,-0.20429988158673773,-1.0634991119005328,-0.0,-0.7524052693901718,-0.6802101835405566,0.0
2018-10-17,1.0,-0.17739721078112577,-1.011597658790375,-0.0,-0.7404798034540067,-0.6835031432907,0.0
2018-10-18,1.0,-0.17858435260910474,-1.0153796048346242,-0.0,-0.7400665846421076,-0.684663819931968,0.0
2018-10-19,1.0,-0.15755949185900878,-1.0005009840758634,-0.0,-0.7397387725890141,-0.6806584362139918,0.0
2018-10-22,1.0,-0.16031740332483574,-1.0104484578650679,-0.0,-0.7391835122616782,-0.6806218807224158,0.0
2018-10-23,1.0,-0.17551611734878667,-1.0219485693589279,-0.0,-0.7395508873596524,-0.6848243390076059,0.0
2018-10-24,1.0,-0.17630964541076902,-1.0363709324383483,-0.0,-0.7463154822705386,-0.6890412957828689,0.0
2018-10-25,1.0,-0.12527480320544643,-0.9843628111481456,-0.0,-0.7794128076022977,-0.6567973902560102,0.0
2018-10-26,1.0,-0.10882548108825482,-0.9644116928020118,-0.0,-0.7766912303984913,-0.6425453148465059,0.0
2018-10-29,1.0,-0.09505782655506545,-0.9664154481992151,-0.0,-0.7700830062862501,-0.6415448199215087,0.0
2018-10-30,1.0,-0.0723202454843434,-0.9723830113675989,-0.0,-0.7764139758700049,-0.6658762814701165,0.0
2018-10-31,1.0,-0.07916032646285795,-0.9447710610042883,-0.0,-0.7746230460644626,-0.6597385530502144,0.0
2018-11-01,1.0,-0.06367778007869125,-0.955546351901705,-0.0,-0.7730033823427901,-0.6591771933457582,0.0
2018-11-02,1.0,-0.0735930735930736,-0.9157218442932729,-0.0,-0.7909365766508624,-0.6554662268947984,0.0
2018-11-05,1.0,-0.07009169270922766,-0.9252034753940725,-0.0,-0.7915106974827432,-0.6474123424568151,0.0
2018-11-06,1.0,-0.07906144636344871,-0.9341498658226106,-0.0,-0.7874148489644258,-0.6397853161769765,0.0
2018-11-07,1.0,-0.07884602159411319,-0.9337390825940444,-0.0,-0.7866377828209888,-0.639330169864521,0.0
2018-11-08,1.0,-0.05152153240048907,-0.9305800842276866,-0.0,-0.7736380926504551,-0.640504007607662,0.0
