Date,FATE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4808235769075493,-3.3491118288251918,-0.43742430359305606,-1.9750706499798143,-1.8505248284214777,0.0
2018-09-25,1.0,-1.56096797746949,-3.440075101700219,-0.4809638051528111,-2.046938562636904,-1.901950558047356,0.0
2018-09-26,1.0,-1.564110622250157,-3.453278860255604,-0.4703540750052378,-2.0615964802011315,-1.926147077309868,0.0
2018-09-27,1.0,-1.5664225941422594,-3.4387029288702924,-0.4728033472803347,-2.0589958158995816,-1.9231171548117156,0.0
2018-09-28,1.0,-1.56673640167364,-3.43765690376569,-0.47374476987447695,-2.0588912133891215,-1.9231171548117156,0.0
2018-10-01,1.0,-1.567222047574138,-3.4468196583883475,-0.47490307031331863,-2.062034999476056,-1.9279052708791784,0.0
2018-10-02,1.0,-1.5695128339444737,-3.4244106862231534,-0.48349921424829756,-2.0663174436877947,-1.9328444211629126,0.0
2018-10-03,1.0,-1.5706795302013423,-3.3999580536912752,-0.48028523489932884,-2.080851510067114,-1.9549077181208054,0.0
2018-10-04,1.0,-1.592,-3.388631578947368,-0.48431578947368426,-2.1101052631578945,-1.9512631578947368,0.0
2018-10-05,1.0,-1.5548921014037294,-3.372931070605489,-0.44322229205950137,-2.12895453593128,-1.9754871150219986,0.0
2018-10-08,1.0,-1.5479051300804514,-3.362449064883502,-0.43109392957893633,-2.13509560129558,-1.9716852993417613,0.0
2018-10-09,1.0,-1.5569408067050812,-3.3742273441592463,-0.44002095337873237,-2.1368255631220534,-1.9685699319015193,0.0
2018-10-10,1.0,-1.5585576114381834,-3.3936080740117744,-0.4311396131202691,-2.146026072329689,-1.9837047939444912,0.0
2018-10-11,1.0,-1.4079325935059597,-3.441019317714755,-0.19708179202630496,-2.1436498150431564,-2.0856966707768185,0.0
2018-10-12,1.0,-1.410111793735522,-3.4127303857387448,-0.17202135159633397,-2.0723134253197704,-2.004330748313022,0.0
2018-10-15,1.0,-1.3675968680987753,-3.4774141738606708,-0.11282874924713913,-2.0686609114635615,-2.011644248142943,0.0
2018-10-16,1.0,-1.3643753135975916,-3.486803813346713,-0.10516808830908178,-2.0679377822378324,-2.010837932764676,0.0
2018-10-17,1.0,-1.303702256520465,-3.3671974211194686,-0.053531308000390736,-2.035557292175442,-2.008400898700791,0.0
2018-10-18,1.0,-1.3021779470651431,-3.3649770485398967,-0.054204512159390573,-2.037015333528665,-2.0082039261646645,0.0
2018-10-19,1.0,-1.2657335907335907,-3.340057915057915,-0.014189189189189188,-2.03445945945946,-1.998069498069498,0.0
2018-10-22,1.0,-1.2744794188861988,-3.3201937046004844,-0.0,-2.064600484261501,-2.0259564164648913,0.0
2018-10-23,1.0,-1.2970377110504498,-3.448488524921646,-0.0,-2.208876756647457,-2.1556970983722574,0.0
2018-10-24,1.0,-1.3144673433815237,-3.469394032605352,-0.0,-2.257049113093407,-2.2123449195119447,0.0
2018-10-25,1.0,-1.1774900204459158,-3.2872164346217505,-0.0,-2.205140687372213,-2.066303183721157,0.0
2018-10-26,1.0,-1.178741150227912,-3.2659295897585103,-0.0,-2.1962952186984777,-2.057317427989526,0.0
2018-10-29,1.0,-1.1162162162162164,-3.2974903474903474,-0.0,-2.1665057915057915,-2.0722972972972973,0.0
2018-10-30,1.0,-1.139228233469071,-3.313845258871437,-0.0,-2.1779135156098506,-2.0645724258289704,0.0
2018-10-31,1.0,-1.1750608865075498,-3.266926449098879,-0.0,-2.215197272284462,-2.0846566000974183,0.0
2018-11-01,1.0,-1.1406644647367399,-3.2864775597435396,-0.0,-2.207499514280163,-2.0797551972022537,0.0
2018-11-02,1.0,-1.1360485268630849,-3.2334873868669365,-0.0,-2.2023878297708457,-2.056422106682072,0.0
2018-11-05,1.0,-1.1225007314932216,-3.348190773432166,-0.0,-2.246171852140837,-2.036379596215742,0.0
2018-11-06,1.0,-1.1338144933190286,-3.356481029942456,-0.0,-2.238564322637277,-2.024383107383205,0.0
2018-11-07,1.0,-1.133320320124927,-3.361214132344329,-0.0,-2.2379465157134493,-2.0274253367167674,0.0
