Date,IWF,IWM,MTUM,SPY,URGN,VLUE,VXX
2018-09-24,-1.0474779541446209,-1.8765432098765435,-0.38342151675485014,-1.3885714285714288,1.0,-1.3588007054673723,0.0
2018-09-25,-1.048441686645043,-1.8742067409392185,-0.38577069524749685,-1.3866873501621775,1.0,-1.3561556903116627,0.0
2018-09-26,-1.0485121985615569,-1.8743477647722464,-0.3860527429135524,-1.3865463263291498,1.0,-1.3556621068960653,0.0
2018-09-27,-1.05284295075037,-1.8618332981046994,-0.3895582329317269,-1.386528570422039,1.0,-1.3549637145071514,0.0
2018-09-28,-1.049618320610687,-1.8744698897370653,-0.39214023183488833,-1.3915040995193666,1.0,-1.3604042974271982,0.0
2018-10-01,-1.051329185520362,-1.8730910633484161,-0.3923925339366516,-1.3926753393665157,1.0,-1.360647624434389,0.0
2018-10-02,-1.0551231248230966,-1.8516841211435042,-0.40107557316727993,-1.3999433908859324,1.0,-1.3682422870082083,0.0
2018-10-03,-1.0556578388330262,-1.8356465089930605,-0.3988103668035689,-1.4089364112731908,1.0,-1.3820988528537033,0.0
2018-10-04,-1.0590108257270217,-1.8270006368074716,-0.3999150923370834,-1.4128635109318615,1.0,-1.3769192669638433,0.0
2018-10-05,-1.0392791778121921,-1.8165563846262145,-0.3763902576376179,-1.4200337885400536,1.0,-1.3870195691961142,0.0
2018-10-08,-1.0367507553931559,-1.8128030356264493,-0.3731993535239969,-1.419366172440447,1.0,-1.384723490970417,0.0
2018-10-09,-1.03513209668353,-1.8134485666104552,-0.369168071950534,-1.4212338392355255,1.0,-1.3874367622259696,0.0
2018-10-10,-1.0350692248225455,-1.814533698784173,-0.3681917211328976,-1.4217443249701314,1.0,-1.3882915173237753,0.0
2018-10-11,-0.9365057690994743,-1.8291117635010583,-0.2154024714958695,-1.409981566191029,1.0,-1.4362668123165154,0.0
2018-10-12,-0.9441866720462645,-1.8140004034698405,-0.20025553089906528,-1.3726043978212628,1.0,-1.3934503395871156,0.0
2018-10-15,-0.9522877581320016,-1.8163719800242948,-0.19975705223376974,-1.3809555945471723,1.0,-1.3991766770144418,0.0
2018-10-16,-0.9540850776502363,-1.8130992572586089,-0.20330857528696827,-1.3817690749493583,1.0,-1.400067521944632,0.0
2018-10-17,-0.9266921068487647,-1.7545022427528956,-0.1557876414273281,-1.4053692173796613,1.0,-1.4524335542612306,0.0
2018-10-18,-0.9268997982515131,-1.756422326832549,-0.15951580363147277,-1.420780094149294,1.0,-1.4613987895090788,0.0
2018-10-19,-0.9092363054778089,-1.7401705984272955,-0.13821138211382114,-1.4191656670665067,1.0,-1.4572171131547382,0.0
2018-10-22,-0.9115551115551115,-1.730935730935731,-0.13126873126873126,-1.4244422244422243,1.0,-1.4618048618048616,0.0
2018-10-23,-0.9114767201758475,-1.7311663225204823,-0.13088656497701992,-1.4250316392459865,1.0,-1.4622660361020448,0.0
2018-10-24,-0.9119760479041916,-1.7272122421823022,-0.12035928143712575,-1.4276779773785762,1.0,-1.4662009314703928,0.0
2018-10-25,-0.8450677229746998,-1.6293125479171993,-0.0966010733452594,-1.419882443138257,1.0,-1.398096089956555,0.0
2018-10-26,-0.8208701134930644,-1.6058007566204289,-0.0664564943253468,-1.4290668348045397,1.0,-1.3829760403530897,0.0
2018-10-29,-0.7933546887758307,-1.630488034671189,-0.03611582187048552,-1.420576596947428,1.0,-1.4004145468249483,0.0
2018-10-30,-0.7874450721908349,-1.6304456999372254,-0.0322661644695543,-1.4210922787193974,1.0,-1.4062774639045825,0.0
2018-10-31,-0.7873134328358209,-1.5965796019900498,-0.03277363184079602,-1.4102611940298508,1.0,-1.392039800995025,0.0
2018-11-01,-0.7659309916070874,-1.628473733291887,-0.006092632887783649,-1.4169101647497668,1.0,-1.3995026422132422,0.0
2018-11-02,-0.7658436469929722,-1.6301386902170534,-0.005597363020088314,-1.4174388954536974,1.0,-1.40027364885876,0.0
2018-11-05,-0.7583354224116319,-1.6888317874153922,-0.0010027575833542243,-1.4361995487590875,1.0,-1.382802707445475,0.0
2018-11-06,-0.7718681318681319,-1.7027943485086343,-0.0,-1.4317111459968603,1.0,-1.3729984301412874,0.0
2018-11-07,-0.7695881466599698,-1.7043571069814163,-0.0020090406830738324,-1.4294952285283777,1.0,-1.372802611752888,0.0
2018-11-08,-0.7366459627329193,-1.6963354037267082,-0.0,-1.4104347826086956,1.0,-1.3677639751552795,0.0
2018-11-09,-0.7360729452910317,-1.7073444916312766,-0.0,-1.4253060204846364,1.0,-1.3765301024231824,0.0
2018-11-12,-0.7328571428571429,-1.6818633540372672,-0.0,-1.4279503105590061,1.0,-1.3685093167701863,0.0
2018-11-13,-0.6869115746723279,-1.6752199864623716,-0.0,-1.429942772752446,1.0,-1.3613316103624393,0.0
2018-11-14,-0.6925308641975308,-1.678395061728395,-0.0,-1.4366666666666665,1.0,-1.365246913580247,0.0
2018-11-15,-0.6927353595255745,-1.685754880158142,-0.0,-1.4479861625895725,1.0,-1.3508771929824563,0.0
2018-11-16,-0.6848007931098581,-1.6731519920689013,-0.0,-1.4595080240411427,1.0,-1.3787099572464216,0.0
2018-11-19,-0.6835027268220129,-1.6740827962320277,-0.0,-1.4605230540406544,1.0,-1.3792761527020327,0.0
2018-11-20,-0.602072283212039,-1.6627605772788947,-0.0,-1.475206611570248,1.0,-1.427531762674232,0.0
2018-11-21,-0.613948077394073,-1.6556453588048003,-0.0,-1.475202057310801,1.0,-1.3780920891501347,0.0
2018-11-23,-0.6148627813752698,-1.6852913968547643,-0.0,-1.480049337033611,1.0,-1.3868640148011102,0.0
2018-11-26,-0.6133867982726713,-1.6957433682911784,-0.0,-1.4767427513880322,1.0,-1.383158544108575,0.0
2018-11-27,-0.5926860801576064,-1.7116296250692606,-0.0,-1.4736194052822755,1.0,-1.378501508342055,0.0
