Date,IWF,IWM,MTUM,SE,SPY,VLUE,VXX
2018-09-24,-1.2534897166928225,-2.562154125712398,-0.1402494424712976,1.0,-1.7225571983150245,-1.5811514000165192,0.0
2018-09-25,-1.2534489880214787,-2.562577447335811,-0.14019000413052457,1.0,-1.7230070218917801,-1.581743081371334,0.0
2018-09-26,-1.25665619315363,-2.567058045311725,-0.1451959649412932,1.0,-1.7234992558293367,-1.5760707788986275,0.0
2018-09-27,-1.2583574081716882,-2.55394139496492,-0.14799834915394142,1.0,-1.720676846884028,-1.5731737515476683,0.0
2018-09-28,-1.2546024931891355,-2.5570874267316106,-0.1497564600016511,1.0,-1.7205481713861142,-1.5735986130603483,0.0
2018-10-01,-1.2621077903799984,-2.5593178243232058,-0.1500124182465436,1.0,-1.728619918867456,-1.5787730772414936,0.0
2018-10-02,-1.2858698383449199,-2.5222380433872185,-0.17539157383365442,1.0,-1.7714213920763884,-1.6209900326660525,0.0
2018-10-03,-1.2878228782287824,-2.529017108352902,-0.1773733646427373,1.0,-1.7718886279771888,-1.6202616571620263,0.0
2018-10-04,-1.295271629778672,-2.5151743796109995,-0.1795774647887324,1.0,-1.7812709590878604,-1.6124245472837022,0.0
2018-10-05,-1.2898283800753454,-2.5228128924236084,-0.1598995395562997,1.0,-1.7855169526998744,-1.6135621598995395,0.0
2018-10-08,-1.2873649836724441,-2.519467470484803,-0.1473666582935611,1.0,-1.801641128694633,-1.6172653437159843,0.0
2018-10-09,-1.289544235924933,-2.5216990616621984,-0.1496313672922252,1.0,-1.801441018766756,-1.6156166219839143,0.0
2018-10-10,-1.2923192897227576,-2.518971438143898,-0.15244157802160987,1.0,-1.8028310578775442,-1.6092637574336208,0.0
2018-10-11,-1.1539320465784018,-2.477428617004307,-0.0,1.0,-1.7362418248524487,-1.6080714627532302,0.0
2018-10-12,-1.180563224737714,-2.4729825668533567,-0.0,1.0,-1.6876232547132604,-1.5472114853672005,0.0
2018-10-15,-1.183197660633842,-2.4781474749071366,-0.0,1.0,-1.6927210938117443,-1.5492768513396034,0.0
2018-10-16,-1.171000475661963,-2.5113366101157446,-0.0,1.0,-1.6943871888377993,-1.5509751070239417,0.0
2018-10-17,-1.1070739797886293,-2.39574172645221,-0.0,1.0,-1.6618066805523413,-1.5495641441024455,0.0
2018-10-18,-1.105839697600864,-2.393118876803209,-0.0,1.0,-1.6651238139319602,-1.550181285196328,0.0
2018-10-19,-1.0655850091407677,-2.360222425350396,-0.0,1.0,-1.6563833028641073,-1.535039609993906,0.0
2018-10-22,-1.0656823198112488,-2.3509399497678665,-0.0,1.0,-1.6577365096278256,-1.5364944059669685,0.0
2018-10-23,-1.0750894829030537,-2.3531338054984383,-0.0,1.0,-1.6528824918132663,-1.5345365927956742,0.0
2018-10-24,-1.0712057816660325,-2.3449980981361733,-0.0,1.0,-1.6535564853556484,-1.5376949410422214,0.0
2018-10-25,-0.9717736068674524,-2.212134439109559,-0.0,1.0,-1.650953004510403,-1.4400552888112905,0.0
2018-10-26,-0.9230217375708445,-2.175120166439487,-0.0,1.0,-1.661094770069589,-1.414879116148935,0.0
2018-10-29,-0.8738231098430813,-2.1974322396576325,-0.0,1.0,-1.6372325249643367,-1.4241797432239658,0.0
2018-10-30,-0.8825714285714286,-2.2003571428571425,-0.0,1.0,-1.6397142857142855,-1.4202142857142857,0.0
2018-10-31,-0.8892736009044657,-2.146693046919163,-0.0,1.0,-1.6281797625777275,-1.4019219898247597,0.0
2018-11-01,-0.8888417779662215,-2.147339410642357,-0.0,1.0,-1.6285774856900572,-1.4018797258144302,0.0
