Date,IWF,IWM,MTUM,SLGN,SPY,VLUE,VXX
2018-09-24,-0.2073351706593174,-0.47554059783760866,-0.0,1.0,-0.4776075895696418,-0.48947954208183175,0.0
2018-09-25,-0.20840287159924767,-0.47492648811889054,-0.0,1.0,-0.4771517126281491,-0.48859572439005006,0.0
2018-09-26,-0.20684034736138945,-0.4787174348697395,-0.0,1.0,-0.48360721442885773,-0.5028456913827655,0.0
2018-09-27,-0.2096606232143334,-0.4733384956342955,-0.0,1.0,-0.48412592454140074,-0.503003925128835,0.0
2018-09-28,-0.20810962416860324,-0.4754387370782916,-0.0,1.0,-0.48430696904132275,-0.5032988754440795,0.0
2018-10-01,-0.2082331570230272,-0.47555698028530213,-0.0,1.0,-0.4842656408612491,-0.5033124966607896,0.0
2018-10-02,-0.2080136858143327,-0.47932426291732383,-0.0,1.0,-0.48336050894122046,-0.5023121541792521,0.0
2018-10-03,-0.20740800128277076,-0.4721665464069056,-0.0,1.0,-0.4859296079531788,-0.5069082551644886,0.0
2018-10-04,-0.21138732959101844,-0.4670141673349372,-0.0,1.0,-0.49099171344560283,-0.5036888532477947,0.0
2018-10-05,-0.201868561846203,-0.46107162820410447,-0.0,1.0,-0.492374031781522,-0.5064547898533365,0.0
2018-10-08,-0.1992028696691909,-0.4578185199946858,-0.0,1.0,-0.49445994420087686,-0.5055931978211771,0.0
2018-10-09,-0.19666772959183676,-0.45761585884353745,-0.0,1.0,-0.4955091411564626,-0.507546768707483,0.0
2018-10-10,-0.19545430350774473,-0.4597061798051844,-0.0,1.0,-0.49582157875126415,-0.5104061318997178,0.0
2018-10-11,-0.15154732616858735,-0.4448789330571022,-0.0,1.0,-0.4795545772368251,-0.5136863912987182,0.0
2018-10-12,-0.14931499820411515,-0.43847811586022883,-0.0,1.0,-0.4719072297193288,-0.5058494535378932,0.0
2018-10-15,-0.12966234032204388,-0.45549496966438835,-0.0,1.0,-0.46821800680951287,-0.50659191562348,0.0
2018-10-16,-0.12207658699563094,-0.4730660498586482,-0.0,1.0,-0.468414289385762,-0.5064764841942945,0.0
2018-10-17,-0.11348671666454811,-0.45648913181644846,-0.0,1.0,-0.46464980297445024,-0.5076395068005594,0.0
2018-10-18,-0.11369936169671693,-0.45741677898430944,-0.0,1.0,-0.4641558375505429,-0.5077944205681153,0.0
2018-10-19,-0.10856765810577607,-0.4561719622373363,-0.0,1.0,-0.4646228809257943,-0.508450918688458,0.0
2018-10-22,-0.1085820138043037,-0.4501370280146163,-0.0,1.0,-0.46767153877385303,-0.5111398700771417,0.0
2018-10-23,-0.10863000837372175,-0.4501002309117207,-0.0,1.0,-0.46763429673424856,-0.5111268999467127,0.0
2018-10-24,-0.10797249108507385,-0.4464340295466123,-0.0,1.0,-0.47320427916454405,-0.5195109526235354,0.0
2018-10-25,-0.13874095316127272,-0.5177659429195686,-0.0,1.0,-0.5031817561108836,-0.5714051618189266,0.0
