Date,IWF,IWM,LDL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.32444623439387843,-1.0566653242045911,1.0,-0.0,-0.7931937172774869,-0.8530809504631495,0.0
2018-09-25,-0.3381091144568561,-1.06050671847175,1.0,-0.0,-0.7967055204791971,-0.8519103124494092,0.0
2018-09-26,-0.3376162506118453,-1.0662424539076523,1.0,-0.0,-0.8055555555555556,-0.8695545766030348,0.0
2018-09-27,-0.34521185402890037,-1.056208670095518,1.0,-0.0,-0.8087598987672463,-0.8717446322148746,0.0
2018-09-28,-0.3481796265271932,-1.0556123074408532,1.0,-0.0,-0.8098721039512932,-0.8725125648674049,0.0
2018-10-01,-0.3482870124022758,-1.0597601408047153,1.0,-0.0,-0.810814129589456,-0.8743399778969342,0.0
2018-10-02,-0.34979475059086956,-1.1108346809304641,1.0,-0.0,-0.8121242277231828,-0.8737405149894265,0.0
2018-10-03,-0.34927278001077366,-1.1056230058426222,1.0,-0.0,-0.8129532175858784,-0.8758132018398044,0.0
2018-10-04,-0.3520765185706596,-1.1002028901494763,1.0,-0.0,-0.8158668378120988,-0.8725104550536209,0.0
2018-10-05,-0.33854531952638306,-1.0962085894632618,1.0,-0.0,-0.8160815215149141,-0.8747473080572631,0.0
2018-10-08,-0.33965538614106855,-1.0991281352010247,1.0,-0.0,-0.8169083922151976,-0.876368745093178,0.0
2018-10-09,-0.34299656755303753,-1.100947024523386,1.0,-0.0,-0.8167156031595054,-0.8748190728257723,0.0
2018-10-10,-0.3420508151949019,-1.1024579988413472,1.0,-0.0,-0.8169742613589339,-0.8765621120582636,0.0
2018-10-11,-0.2510098788145423,-1.0844298684157903,1.0,-0.0,-0.7820661520617527,-0.8820141583010039,0.0
2018-10-12,-0.2534694843084687,-1.0758949692477529,1.0,-0.0,-0.757214950323293,-0.8559769752404984,0.0
2018-10-15,-0.2056326854422848,-1.1376834589448632,1.0,-0.0,-0.7564458548195161,-0.8668782229274098,0.0
2018-10-16,-0.2064984527493454,-1.1367928271046577,1.0,-0.0,-0.7568039355708959,-0.8672141553598349,0.0
2018-10-17,-0.1770508421709295,-1.0874142233312538,1.0,-0.0,-0.752768247036806,-0.8817451653150343,0.0
2018-10-18,-0.17611509669369932,-1.0858156581409857,1.0,-0.0,-0.754873674360574,-0.8821740486587648,0.0
2018-10-19,-0.16948954105526068,-1.0917889478613798,1.0,-0.0,-0.7563221979394317,-0.884951607867624,0.0
2018-10-22,-0.1724853228962818,-1.1020352250489236,1.0,-0.0,-0.7553816046966731,-0.8840313111545988,0.0
