Date,HNI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4338634099546176,-0.9857949304505036,-0.03040253846437664,-0.6829871231966941,-0.5565804523484486,0.0
2018-09-25,1.0,-0.43609604957397363,-0.9837335398915569,-0.034045221496809414,-0.681125742318616,-0.5535391538489912,0.0
2018-09-26,1.0,-0.43650178894175795,-0.9842499354505552,-0.035004241820663196,-0.6808306591420455,-0.5519530817749253,0.0
2018-09-27,1.0,-0.4363146631244927,-0.9853516345657148,-0.034905173049959416,-0.6809829532875803,-0.5522101689912183,0.0
2018-09-28,1.0,-0.43875327744746856,-0.9843790391077959,-0.03508253628272832,-0.6817460024373131,-0.5529377008013591,0.0
2018-10-01,1.0,-0.43943422704778784,-0.9834182731368639,-0.03519462294113302,-0.6820666223502474,-0.5529211906344633,0.0
2018-10-02,1.0,-0.44652759440190126,-1.0602814138594439,-0.018710626579652195,-0.6891998943754951,-0.5575842166811271,0.0
2018-10-03,1.0,-0.4468784227820372,-1.0472863239793027,-0.016429353778751366,-0.6968689806246932,-0.5693998564792084,0.0
2018-10-04,1.0,-0.447402205104969,-1.0455369279565019,-0.017066908322005737,-0.6972511705180485,-0.5686074611085938,0.0
2018-10-05,1.0,-0.4364607629222782,-1.0420209164096006,-0.0035362275223835677,-0.7043864269054246,-0.5755022195470619,0.0
2018-10-08,1.0,-0.43582706766917295,-1.0415037593984962,-0.0022556390977443606,-0.7047744360902255,-0.575,0.0
2018-10-09,1.0,-0.4304431309062159,-1.0429577199653626,-0.0,-0.7094235909792552,-0.5820563984789728,0.0
2018-10-10,1.0,-0.4302815840987803,-1.043103448275862,-0.0,-0.7094940521005872,-0.5816142147266978,0.0
2018-10-11,1.0,-0.3634864201150899,-1.0352233991863065,-0.0,-0.6847120917787634,-0.581864164498039,0.0
2018-10-12,1.0,-0.35988061005350713,-1.0346886033560225,-0.0,-0.6758999745204383,-0.5694318057729407,0.0
2018-10-15,1.0,-0.3214871514488792,-1.0782212502278112,-0.0,-0.6715873883725169,-0.5736832513213049,0.0
2018-10-16,1.0,-0.31389872585885875,-1.0935343726041402,-0.0,-0.670658245409076,-0.5727793800883503,0.0
2018-10-17,1.0,-0.2958070901565593,-1.0616159798452403,-0.0,-0.6647831563793415,-0.576858016915602,0.0
2018-10-18,1.0,-0.29519936663307905,-1.060565711818051,-0.0,-0.6659709227004462,-0.57693968619548,0.0
2018-10-19,1.0,-0.28307086614173227,-1.056871868289191,-0.0,-0.6656406585540444,-0.5735146743020759,0.0
2018-10-22,1.0,-0.28328145683517586,-1.051590282995242,-0.0,-0.6674179814675683,-0.5753640299094844,0.0
2018-10-23,1.0,-0.28726296958855096,-1.0519856887298746,-0.0,-0.6646153846153846,-0.573953488372093,0.0
2018-10-24,1.0,-0.2865958668197474,-1.0477898966704937,-0.0,-0.6706371986222732,-0.5828071182548794,0.0
2018-10-25,1.0,-0.24967726178430621,-1.0055127176302294,-0.0,-0.6820069083423468,-0.5518649035274416,0.0
2018-10-26,1.0,-0.22881854350458403,-0.9932191662342157,-0.0,-0.6929250994637607,-0.5446462549731881,0.0
2018-10-29,1.0,-0.2154254402591584,-0.9986214977427027,-0.0,-0.6871833752627771,-0.5450597925354103,0.0
2018-10-30,1.0,-0.21521124819077814,-0.9985526225101662,-0.0,-0.687159693983045,-0.545178854504101,0.0
2018-10-31,1.0,-0.21907207669919534,-0.9801061462078412,-0.0,-0.6847800034240713,-0.5401129943502825,0.0
2018-11-01,1.0,-0.19739859661132977,-0.9984939243539278,-0.0,-0.6851959609789491,-0.5418449426664385,0.0
2018-11-02,1.0,-0.20276434942466126,-0.9714373255259753,-0.0,-0.6931299788928985,-0.5370736025056172,0.0
2018-11-05,1.0,-0.1982294858699353,-0.9850187265917603,-0.0,-0.6946544092611509,-0.5269322437861764,0.0
2018-11-06,1.0,-0.2022127659574468,-0.9877787234042552,-0.0,-0.6916425531914893,-0.5226212765957446,0.0
2018-11-07,1.0,-0.20242515072039236,-0.9881807963486494,-0.0,-0.692462277325522,-0.52304233795429,0.0
2018-11-08,1.0,-0.17454791279364543,-0.9916849754943383,-0.0,-0.684333276998479,-0.5295250971776237,0.0
2018-11-09,1.0,-0.17568664592071437,-0.9921526180489785,-0.0,-0.6842105263157894,-0.5304086050602084,0.0
