Date,IWF,IWM,MTUM,PE,SPY,VLUE,VXX
2018-09-24,-0.6264732072704415,-1.3788172437274109,-0.04819024671311089,1.0,-1.0771567754439264,-1.107432821748468,0.0
2018-09-25,-0.6416069169126951,-1.383382539013075,-0.06263180092787854,1.0,-1.0800295234078447,-1.1043336145086462,0.0
2018-09-26,-0.6412596265428843,-1.383532018145374,-0.06055491085557549,1.0,-1.08139044202975,-1.1080282730245807,0.0
2018-09-27,-0.6410513537763234,-1.3859186150841822,-0.060537288225048815,1.0,-1.0818599250540983,-1.10851322109041,0.0
2018-09-28,-0.6464304600740349,-1.3857218402961398,-0.060867265996827076,1.0,-1.0845584346906398,-1.1106292966684295,0.0
2018-10-01,-0.647083707894876,-1.3846438580720217,-0.06118132303950082,1.0,-1.084659721855005,-1.1103590502881922,0.0
2018-10-02,-0.6545319465081724,-1.3536404160475481,-0.07450647420929739,1.0,-1.0990235618764594,-1.1250796009339843,0.0
2018-10-03,-0.6542482619540413,-1.3395956057952556,-0.07254683436820039,1.0,-1.1052380194236588,-1.135328769304251,0.0
2018-10-04,-0.6565383391664016,-1.333492417011348,-0.07365574292077633,1.0,-1.1076466221232368,-1.1314561459327606,0.0
2018-10-05,-0.6393875395987328,-1.3249208025343189,-0.053220696937697994,1.0,-1.117740232312566,-1.144508975712777,0.0
2018-10-08,-0.6379583641551305,-1.3230476593046603,-0.04422487583218852,1.0,-1.1305611328331395,-1.1479974638064037,0.0
2018-10-09,-0.6387802557869148,-1.3236444350491492,-0.045396892506077584,1.0,-1.1301130958672445,-1.146971778881725,0.0
2018-10-10,-0.6474426994906621,-1.3257109507640068,-0.05167657045840408,1.0,-1.1387415110356536,-1.1419779286926994,0.0
2018-10-11,-0.5523261784944028,-1.3106192872548013,-0.0,1.0,-1.110506316113793,-1.1615487316421897,0.0
2018-10-12,-0.5513488890013666,-1.2955408209748445,-0.0,1.0,-1.0828060940426179,-1.1318520018221392,0.0
2018-10-15,-0.5241483724451174,-1.3158718142821098,-0.0,1.0,-1.0759020943729498,-1.1307595256119103,0.0
2018-10-16,-0.519604380077711,-1.3230559620527829,-0.0,1.0,-1.0743301206035223,-1.1291820154412877,0.0
2018-10-17,-0.48479294630473546,-1.261838716068952,-0.0,1.0,-1.0656330493362394,-1.1411729740439864,0.0
2018-10-18,-0.4886126305320736,-1.2727996021879662,-0.0,1.0,-1.065788165091994,-1.1454002983590252,0.0
2018-10-19,-0.4638367105457772,-1.2551890745944878,-0.0,1.0,-1.0666075038209337,-1.144603855445447,0.0
2018-10-22,-0.46393022568246767,-1.245786932098157,-0.0,1.0,-1.0701685227160738,-1.1476791169803882,0.0
2018-10-23,-0.4631838344011828,-1.2460325283390832,-0.0,1.0,-1.0710202069985215,-1.1482503696402169,0.0
2018-10-24,-0.4653578528827038,-1.2680417495029823,-0.0,1.0,-1.0813121272365807,-1.1554174950298213,0.0
2018-10-25,-0.42218375883455933,-1.2040963507860953,-0.0,1.0,-1.0709168710034136,-1.1107264772344825,0.0
2018-10-26,-0.39493201483312734,-1.1838927450793952,-0.0,1.0,-1.078634591613578,-1.096748122088048,0.0
2018-10-29,-0.3663450624290579,-1.1939084373817632,-0.0,1.0,-1.0657869844873251,-1.1034335981838819,0.0
2018-10-30,-0.40192096334878386,-1.208152147942849,-0.0,1.0,-1.078319873847183,-1.09012280785588,0.0
2018-10-31,-0.40668404835269023,-1.1790945721735009,-0.0,1.0,-1.073240104290116,-1.0814410997866792,0.0
2018-11-01,-0.3761376564277588,-1.2058684110731892,-0.0,1.0,-1.074089874857793,-1.0840917709518392,0.0
2018-11-02,-0.37925346403996607,-1.1805542463945706,-0.0,1.0,-1.0763031388443773,-1.0768686963898577,0.0
2018-11-05,-0.3703563663862369,-1.214481519992438,-0.0,1.0,-1.0833727195387088,-1.0581340391341336,0.0
2018-11-06,-0.36579471140176284,-1.2127286513126718,-0.0,1.0,-1.0916500805610843,-1.0687138659842668,0.0
2018-11-07,-0.36513813728282546,-1.2179815816956232,-0.0,1.0,-1.092281401310168,-1.0715845438146778,0.0
2018-11-08,-0.3196570728720147,-1.2245984266804841,-0.0,1.0,-1.0808799283998303,-1.085402044373263,0.0
2018-11-09,-0.32744035738047716,-1.2376199980990399,-0.0,1.0,-1.0895827392833382,-1.0977568672179452,0.0
2018-11-12,-0.32982322390050983,-1.209939486348692,-0.0,1.0,-1.121217896793253,-1.1038738266545955,0.0
2018-11-13,-0.30223986390700314,-1.2036669501937436,-0.0,1.0,-1.120688025706455,-1.0988564407900954,0.0
2018-11-14,-0.3006313976848752,-1.2263465033961543,-0.0,1.0,-1.138763991198699,-1.1175739022290252,0.0
