Date,CRUS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5262910998336816,-0.9797859183760502,-0.05953345558445989,-0.8355153737899271,-0.8634056889419591,0.0
2018-09-25,1.0,-0.5307167235494881,-0.9775170648464164,-0.06574232081911263,-0.8332764505119453,-0.8589163822525597,0.0
2018-09-26,1.0,-0.5311107302022625,-0.9810593075077134,-0.05909324648611587,-0.8404182379156667,-0.8735001714089817,0.0
2018-09-27,1.0,-0.5310933013328761,-0.9815283075472506,-0.059229417563108046,-0.8404405777225389,-0.8735267646680667,0.0
2018-09-28,1.0,-0.5295478894364688,-0.9825155346046711,-0.059952860509963575,-0.8400685665309621,-0.873323334047568,0.0
2018-10-01,1.0,-0.5289929662034655,-0.9849459598558928,-0.06073082861554298,-0.8401097958483444,-0.8741207754331789,0.0
2018-10-02,1.0,-0.5289518900343643,-0.9980670103092784,-0.057817869415807556,-0.838573883161512,-0.8721219931271477,0.0
2018-10-03,1.0,-0.5284217757169843,-0.9891808346213292,-0.05680061823802164,-0.8414906405632836,-0.8774686587669587,0.0
2018-10-04,1.0,-0.5315168418794249,-0.9829221197167989,-0.05775584638489594,-0.8452692555245656,-0.8735035400128728,0.0
2018-10-05,1.0,-0.5175922363302125,-0.9755033987431063,-0.04104142618956008,-0.8550297122825018,-0.8860245393527424,0.0
2018-10-08,1.0,-0.5194120671923208,-0.9798165923894411,-0.04169523483030511,-0.8559307507713404,-0.8883699005827904,0.0
2018-10-09,1.0,-0.5173197290577038,-0.9810511875160765,-0.03562548229443539,-0.8596416016462317,-0.8933807768155706,0.0
2018-10-10,1.0,-0.5204392399090636,-0.9795822073521211,-0.03860507013254407,-0.8620083215373396,-0.8888173980182731,0.0
2018-10-11,1.0,-0.448101793909053,-0.9711722987067167,-0.0,-0.8431789737171465,-0.9094284522319566,0.0
2018-10-12,1.0,-0.45532476096274316,-0.9619188921859545,-0.0,-0.8198977909660403,-0.8841905703923508,0.0
2018-10-15,1.0,-0.4358478931140802,-0.9766084275436794,-0.0,-0.8149229188078109,-0.883617677286742,0.0
2018-10-16,1.0,-0.428747788156866,-0.9903296160651825,-0.0,-0.8137113699024732,-0.8823093699847743,0.0
2018-10-17,1.0,-0.4141939679700838,-0.9624014307779856,-0.0,-0.8057881473050972,-0.8822859930086985,0.0
2018-10-18,1.0,-0.41312662760416663,-0.9602864583333333,-0.0,-0.8113606770833333,-0.8842366536458334,0.0
2018-10-19,1.0,-0.39247615968967187,-0.9458542104412478,-0.0,-0.8157022789720381,-0.8867383222886698,0.0
2018-10-22,1.0,-0.3925441253685528,-0.9390524657700231,-0.0,-0.8183286885576962,-0.8890100569489883,0.0
2018-10-23,1.0,-0.3993532740501212,-0.9406224737267582,-0.0,-0.814591754244139,-0.8874696847210994,0.0
2018-10-24,1.0,-0.3974296799224054,-0.9409553831231814,-0.0,-0.8149046233430327,-0.8880940834141611,0.0
2018-10-25,1.0,-0.3632401444950526,-0.8930422490969059,-0.0,-0.8140018847180776,-0.8561724517040992,0.0
2018-10-26,1.0,-0.3491909133343707,-0.8794927648980863,-0.0,-0.8148436284425082,-0.8462735335304187,0.0
2018-10-29,1.0,-0.3267763794772508,-0.8882090997095838,-0.0,-0.8046853823814134,-0.8525459825750243,0.0
2018-10-30,1.0,-0.30324433405774603,-0.8924247128221049,-0.0,-0.8093759701955914,-0.8756985408258304,0.0
2018-10-31,1.0,-0.3031116297160638,-0.8973162193698949,-0.0,-0.8112796577207312,-0.8778685336444964,0.0
2018-11-01,1.0,-0.27527434041559656,-0.9224453264845515,-0.0,-0.8128259008483151,-0.8808467585026073,0.0
2018-11-02,1.0,-0.2746384256698016,-0.9622619141705524,-0.0,-0.8180668616138466,-0.8967043388919624,0.0
