Date,IWF,IWM,MTUM,SPY,VCV,VLUE,VXX
2018-09-24,-0.10873950449130187,-0.23532352890467403,-0.0,-0.2003586145066464,1.0,-0.17968655712832535,0.0
2018-09-25,-0.10884482758620691,-0.2353103448275862,-0.0,-0.20034482758620692,1.0,-0.1796551724137931,0.0
2018-09-26,-0.10945205007069207,-0.2358702024207731,-0.0,-0.20033449429290665,1.0,-0.17855788130625191,0.0
2018-09-27,-0.11206688501982418,-0.23161523875193935,-0.0,-0.20113773487329772,1.0,-0.1790380968798483,0.0
2018-09-28,-0.11207283009758956,-0.23178385461567638,-0.0,-0.201196592985965,1.0,-0.17912686644367046,0.0
2018-10-01,-0.112128580543915,-0.2319485401900426,-0.0,-0.20123475951506373,1.0,-0.17921258213047753,0.0
2018-10-02,-0.11304287833316086,-0.22877643243989101,-0.0,-0.2024733519610887,1.0,-0.18049949981027288,0.0
2018-10-03,-0.11260196954279704,-0.2240484279875136,-0.0,-0.2042840142800476,1.0,-0.18370901816049534,0.0
2018-10-04,-0.11487710219922381,-0.22092281155670548,-0.0,-0.2073134971970677,1.0,-0.18178525226390685,0.0
2018-10-05,-0.11693019402057585,-0.22322723192708693,-0.0,-0.20631084720016574,1.0,-0.1797106952979355,0.0
2018-10-08,-0.11661606403532983,-0.22281258625448525,-0.0,-0.20621722329561137,1.0,-0.17944383107921613,0.0
2018-10-09,-0.11867361734447285,-0.22346889456604296,-0.0,-0.20581026030518543,1.0,-0.17820893461299456,0.0
2018-10-10,-0.12150809016733509,-0.22320564237311577,-0.0,-0.20811436869036093,1.0,-0.17582284607938045,0.0
2018-10-11,-0.09691193033772084,-0.21313900516079146,-0.0,-0.19604283288785784,1.0,-0.17492897607880714,0.0
2018-10-12,-0.09831358098462968,-0.20751585167479997,-0.0,-0.18806227799355973,1.0,-0.16596952494771436,0.0
2018-10-15,-0.09349028177874905,-0.21045660739710606,-0.0,-0.18643422403231683,1.0,-0.16520976126618325,0.0
2018-10-16,-0.09554509595942855,-0.20811097484172492,-0.0,-0.18744406509993702,1.0,-0.16623023633531106,0.0
2018-10-17,-0.08694372209410725,-0.19168179513599265,-0.0,-0.18608835026086387,1.0,-0.17077997481314294,0.0
2018-10-18,-0.08657399836467702,-0.19089125102207685,-0.0,-0.18698282910874897,1.0,-0.17089125102207683,0.0
