Date,FFBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1586854738339359,-0.8309725597107805,-0.06907485331594856,-0.4292953238902389,-0.47531559295916553,0.0
2018-09-25,1.0,-0.15749836280288146,-0.8376495802821932,-0.06379115318211585,-0.4351967613264273,-0.48255640888253853,0.0
2018-09-26,1.0,-0.15757828312894392,-0.8378080723895702,-0.06405524467198477,-0.4350815573282534,-0.4820216692463389,0.0
2018-09-27,1.0,-0.15785244486771227,-0.8369691378232791,-0.06434332311538347,-0.43498705395672754,-0.4819201809469956,0.0
2018-09-28,1.0,-0.15672619047619046,-0.8378273809523809,-0.06479166666666666,-0.43491071428571426,-0.48193452380952373,0.0
2018-10-01,1.0,-0.15630026809651476,-0.8397080726839439,-0.06523681858802502,-0.43497170092344356,-0.4826333035448317,0.0
2018-10-02,1.0,-0.15668808847705873,-0.8579883425496936,-0.06031983261096996,-0.43359736960095646,-0.4805260798086982,0.0
2018-10-03,1.0,-0.15646847923513593,-0.853450851508814,-0.05981475948610696,-0.4349566776217508,-0.4830295787272184,0.0
2018-10-04,1.0,-0.15572715572715573,-0.8576217413426716,-0.059920385501780846,-0.4337194337194337,-0.4860674628116488,0.0
2018-10-05,1.0,-0.14168034621698253,-0.854051634084465,-0.04748544993284584,-0.4430980450679003,-0.49831368452469776,0.0
2018-10-08,1.0,-0.14035349169920422,-0.8526422461327532,-0.04578104974516408,-0.44398080534112255,-0.49774969449494805,0.0
2018-10-09,1.0,-0.13853769083969467,-0.8537094465648856,-0.04091125954198473,-0.4469227099236642,-0.5017891221374047,0.0
2018-10-10,1.0,-0.13954805628428332,-0.8527009301216313,-0.042272835678511804,-0.44750178869544477,-0.4991652754590985,0.0
2018-10-11,1.0,-0.09419298500946004,-0.860107699024887,-0.0,-0.4392955901615485,-0.517217290059671,0.0
2018-10-12,1.0,-0.08657757117954677,-0.8650784427658339,-0.0,-0.4373329459616502,-0.5162986635676932,0.0
2018-10-15,1.0,-0.046192077181698585,-0.9165326706621838,-0.0,-0.4360473614968572,-0.5247478438824733,0.0
2018-10-16,1.0,-0.041450928769928334,-0.9251718590024864,-0.0,-0.4350153576129882,-0.5236214714055872,0.0
2018-10-17,1.0,-0.021546370909511017,-0.8933945643069636,-0.0,-0.43554862374722003,-0.5377350316263756,0.0
2018-10-18,1.0,-0.020731247644176404,-0.8924584650178319,-0.0,-0.4444895473919221,-0.5417669401838268,0.0
2018-10-19,1.0,-0.011387283236994221,-0.8939306358381505,-0.0,-0.4434104046242775,-0.5414450867052024,0.0
2018-10-22,1.0,-0.043296263901037114,-1.0183368736723728,-0.0,-0.4831000874671998,-0.5790641009621392,0.0
2018-10-23,1.0,-0.043418504404323106,-1.0183044917848443,-0.0,-0.48294496157930905,-0.5789654526144812,0.0
2018-10-24,1.0,-0.0407501014072202,-1.0161003463446598,-0.0,-0.48291678367499763,-0.5804549283909014,0.0
2018-10-25,1.0,-0.007982032838629397,-0.9820024886946493,-0.0,-0.4894837476099427,-0.555525205620808,0.0
2018-10-26,1.0,-0.009373578037312301,-0.9797664189291673,-0.0,-0.48942818140452,-0.5549218868496891,0.0
2018-10-29,1.0,-0.0,-0.99128830273148,-0.0,-0.47388003266886475,-0.5597265495024049,0.0
2018-10-30,1.0,-0.0,-0.9895356243744123,-0.0,-0.4698656313506627,-0.5737207679941764,0.0
