Date,HGV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3104634026526936,-0.8409038807925331,-0.028819387588013754,-0.5433109546422138,-0.5514655313574587,0.0
2018-09-25,1.0,-0.309782965051472,-0.8428299783620745,-0.027014621992000526,-0.5450790112123794,-0.5537669661005835,0.0
2018-09-26,1.0,-0.30969476410609487,-0.8428248254155603,-0.026687649585259498,-0.5451952395003442,-0.5542113373332022,0.0
2018-09-27,1.0,-0.3174170226749918,-0.8323036477160696,-0.03059480775550444,-0.5489976996385145,-0.5569503779165297,0.0
2018-09-28,1.0,-0.31742745407341677,-0.8321338197114594,-0.030957310460416047,-0.5489171514016234,-0.5569029544184824,0.0
2018-10-01,1.0,-0.31729441924669693,-0.8323473345165319,-0.03128902911983173,-0.5487740748044436,-0.5569578649838954,0.0
2018-10-02,1.0,-0.3173658600736455,-0.834790899526565,-0.031003419253024724,-0.5482311941083641,-0.5563519200420832,0.0
2018-10-03,1.0,-0.3174853685802591,-0.8347142763201156,-0.0313013743670678,-0.5481686065627671,-0.5562898665088446,0.0
2018-10-04,1.0,-0.3199802826158396,-0.8297732500821557,-0.0319750246467302,-0.551232336510023,-0.5533026618468616,0.0
2018-10-05,1.0,-0.3227124452206004,-0.8382154271969423,-0.02916076312234341,-0.5521763484793568,-0.5527364987314245,0.0
2018-10-08,1.0,-0.32282945480915026,-0.8391785879095524,-0.02890764058276749,-0.5522447096051157,-0.553068758652515,0.0
2018-10-09,1.0,-0.32104464815669725,-0.8402031260304691,-0.02384092857613929,-0.5552661082899163,-0.5571456835718526,0.0
2018-10-10,1.0,-0.320879773131966,-0.8405658510848778,-0.02341225351183803,-0.555365033304755,-0.5572775835916376,0.0
2018-10-11,1.0,-0.2752579639332669,-0.8358352888231702,-0.0,-0.5392008743450449,-0.5642418592690218,0.0
2018-10-12,1.0,-0.28186554835430166,-0.8315542000254161,-0.0,-0.5203011818528402,-0.5433028339051976,0.0
2018-10-15,1.0,-0.27011603576184134,-0.8408471244689621,-0.0,-0.5169932153953459,-0.5424196309682329,0.0
2018-10-16,1.0,-0.26688225223511514,-0.8460465411197768,-0.0,-0.5160103988333016,-0.5414368144061886,0.0
2018-10-17,1.0,-0.2560195635816403,-0.8255580637070479,-0.0,-0.5109418108853775,-0.5426699272636066,0.0
2018-10-18,1.0,-0.2549745778670517,-0.8236771075262067,-0.0,-0.5156299039608311,-0.5442533425397025,0.0
2018-10-19,1.0,-0.2398553886430219,-0.8145608676681418,-0.0,-0.5177335909742566,-0.5444742255189179,0.0
2018-10-22,1.0,-0.24022311551525355,-0.8125331089713627,-0.0,-0.5183384749618273,-0.5450126203608489,0.0
2018-10-23,1.0,-0.23809226738201442,-0.8133753392183163,-0.0,-0.5209769487507409,-0.5467731370286035,0.0
2018-10-24,1.0,-0.23986646089886934,-0.8311864193253755,-0.0,-0.5278888853894366,-0.5505653365248339,0.0
2018-10-25,1.0,-0.2345934424174033,-0.8271581719014481,-0.0,-0.5264873675631622,-0.5463607297348129,0.0
2018-10-26,1.0,-0.24542170965084595,-0.8373677206767632,-0.0,-0.5301945377352512,-0.5553513719029212,0.0
2018-10-29,1.0,-0.21844353052831383,-0.856248022777602,-0.0,-0.5207845618475165,-0.5680797216070864,0.0
2018-10-30,1.0,-0.2284283268877195,-0.8578266658213403,-0.0,-0.5220313193431814,-0.5616876941609078,0.0
2018-10-31,1.0,-0.23881730982303964,-0.834531007629238,-0.0,-0.5294564563613916,-0.5628541580930071,0.0
2018-11-01,1.0,-0.22499762860846745,-0.8450374679862143,-0.0,-0.5287886932051729,-0.5629999683814463,0.0
