Date,IWF,IWM,MTUM,SIMO,SPY,VLUE,VXX
2018-09-24,-0.5081305371761803,-0.8435198684161339,-0.13928451272849612,1.0,-0.6861799558894994,-0.5610257560465028,0.0
2018-09-25,-0.511063766165807,-0.8413321372505046,-0.1437542049786948,1.0,-0.6841220004485311,-0.5574867309561188,0.0
2018-09-26,-0.5107418219926642,-0.8418294782543605,-0.1408039523916461,1.0,-0.6863911969458792,-0.5630286698106146,0.0
2018-09-27,-0.5165156168077297,-0.8315107482585575,-0.14425885701445584,1.0,-0.6883754025915663,-0.5643397498314733,0.0
2018-09-28,-0.5137717818999439,-0.8348510399100619,-0.14498782087314974,1.0,-0.6887389919430392,-0.5650740116170134,0.0
2018-10-01,-0.5146358832127731,-0.8339267643641544,-0.14497207750833926,1.0,-0.6892920055470184,-0.5651212473295604,0.0
2018-10-02,-0.5156636438582028,-0.8233905418571537,-0.14887956231731997,1.0,-0.6914861725249195,-0.5678632991081467,0.0
2018-10-03,-0.5150732127476314,-0.8162378758940942,-0.14807325019660714,1.0,-0.6935924802456653,-0.5719207579672696,0.0
2018-10-04,-0.5182662075160952,-0.8101137894894446,-0.14882467435244795,1.0,-0.69767180715676,-0.5682362629136098,0.0
2018-10-05,-0.5203898050974513,-0.8152923538230885,-0.14501499250374814,1.0,-0.6998500749625188,-0.5675787106446777,0.0
2018-10-08,-0.518796992481203,-0.8122171099390266,-0.14259529420566341,1.0,-0.7008566191598399,-0.5662290053491938,0.0
2018-10-09,-0.5224070743405276,-0.8139988009592326,-0.14853117505995203,1.0,-0.6993405275779376,-0.5627248201438849,0.0
2018-10-10,-0.5238023216243808,-0.8288652777252619,-0.142624872386282,1.0,-0.7071501493553144,-0.57874239044126,0.0
2018-10-11,-0.4737982446476442,-0.8284675553597003,-0.06969997429400317,1.0,-0.6994601740663214,-0.6008593147515698,0.0
2018-10-12,-0.4805331208576291,-0.8184419253196189,-0.06573467096447068,1.0,-0.6801274854224766,-0.5769077541559522,0.0
2018-10-15,-0.4501906489468034,-0.9264428238255654,-0.0,1.0,-0.7095842742383297,-0.6156665309295525,0.0
2018-10-16,-0.43913173206027145,-0.9589362971803669,-0.0,1.0,-0.7129643443234371,-0.618678203789348,0.0
2018-10-17,-0.4123019366197183,-0.9116050469483569,-0.0,1.0,-0.7104240023474179,-0.6335093896713616,0.0
2018-10-18,-0.4157146016068401,-0.92161126262254,-0.0,1.0,-0.7106582147858774,-0.6373922016658067,0.0
2018-10-19,-0.40140330361058324,-0.9100277737172928,-0.0,1.0,-0.7096915655605907,-0.6332772986405496,0.0
2018-10-22,-0.41232298322310657,-0.9625228860740576,-0.0,1.0,-0.7185666778761725,-0.6430893397601167,0.0
2018-10-23,-0.41898563734290845,-0.9643177737881509,-0.0,1.0,-0.7151406343506883,-0.6418312387791741,0.0
2018-10-24,-0.41710870377288006,-0.9607022786701532,-0.0,1.0,-0.7151288756070228,-0.6425849831901382,0.0
2018-10-25,-0.3921910153131577,-0.9194789171928297,-0.0,1.0,-0.705965599825822,-0.6110748240075478,0.0
2018-10-26,-0.3797363789821499,-0.9055058722120461,-0.0,1.0,-0.7049168552239342,-0.6014078942642674,0.0
2018-10-29,-0.4058654483825805,-0.9215606808636063,-0.0,1.0,-0.7420602755876502,-0.6148773119151132,0.0
2018-10-30,-0.42515746572804747,-0.9273434605409412,-0.0,1.0,-0.7470544646165247,-0.605520563171545,0.0
2018-10-31,-0.4252097097468636,-0.9306658748422538,-0.0,1.0,-0.7484596540717096,-0.607341696978695,0.0
2018-11-01,-0.3903029851302501,-0.9668691536540827,-0.0,1.0,-0.7545559572168599,-0.6150262736183059,0.0
2018-11-02,-0.3896851371177068,-0.9896174246699019,-0.0,1.0,-0.7575142008050257,-0.6250235112665989,0.0
2018-11-05,-0.3814432989690722,-1.0212227634908049,-0.0,1.0,-0.7649635587779918,-0.6086628148483818,0.0
2018-11-06,-0.39681032846022407,-1.0397569774064934,-0.0,1.0,-0.7617239415226885,-0.5989367761534081,0.0
2018-11-07,-0.3964483482910063,-1.0497995035325567,-0.0,1.0,-0.7666603016994462,-0.6060721787282796,0.0
2018-11-08,-0.36143620043176916,-1.0545392569026248,-0.0,1.0,-0.7564670681361967,-0.6150058705450139,0.0
2018-11-09,-0.36229632436528986,-1.0548692686623722,-0.0,1.0,-0.7564228874573701,-0.6157256536566881,0.0
2018-11-12,-0.3614212432106216,-1.0388880506940252,-0.0,1.0,-0.7602595051297525,-0.6113080869040434,0.0
2018-11-13,-0.3541682355599067,-1.0419459296633784,-0.0,1.0,-0.7610136305444688,-0.6082159801189849,0.0
2018-11-14,-0.3549322289156627,-1.0412650602409637,-0.0,1.0,-0.7610316265060241,-0.6077936746987951,0.0
2018-11-15,-0.3542371606887736,-1.0428227686292202,-0.0,1.0,-0.7646063613805549,-0.5980524851492593,0.0
2018-11-16,-0.3496325183740813,-1.031648417579121,-0.0,1.0,-0.7634993250337484,-0.6050322483875806,0.0
2018-11-19,-0.35270954434652163,-1.0308644290268143,-0.0,1.0,-0.7620101256328521,-0.6046502906431652,0.0
2018-11-20,-0.33515047419908894,-1.0273691285191546,-0.0,1.0,-0.7619669927563288,-0.6094018370547383,0.0
2018-11-21,-0.33441172095790567,-1.0253607020675293,-0.0,1.0,-0.75940800237989,-0.5994347761416035,0.0
2018-11-23,-0.33980543816282593,-1.1652180846822424,-0.0,1.0,-0.8154054700582092,-0.6664939000079739,0.0
