Date,IWF,IWM,MTUM,SPY,VLUE,VMC,VXX
2018-09-24,-0.4558857635092602,-0.6806149156810125,-0.08117152039227381,-0.5894377629791605,-0.506013318755591,1.0,0.0
2018-09-25,-0.4558165733408435,-0.6807262847486829,-0.0810774990888307,-0.5895430900235247,-0.5061793843809018,1.0,0.0
2018-09-26,-0.45544488711819386,-0.6814741035856573,-0.07742363877822045,-0.5924634794156706,-0.5132138114209827,1.0,0.0
2018-09-27,-0.4580983345497976,-0.6745073319620463,-0.07945723575077963,-0.5925618737973591,-0.5130382854488753,1.0,0.0
2018-09-28,-0.45737128450106157,-0.6748274946921444,-0.07988322717622082,-0.5923235138004246,-0.513004246284501,1.0,0.0
2018-10-01,-0.46108561165436046,-0.6747821459455864,-0.0792589636133839,-0.5960553449078694,-0.5148340317967139,1.0,0.0
2018-10-02,-0.4634795925161463,-0.6579332845062921,-0.08565816632265796,-0.6013715959784274,-0.5206738131699847,1.0,0.0
2018-10-03,-0.4630436952976805,-0.6501713867349995,-0.08459516123664682,-0.604279676528337,-0.5258078471829346,1.0,0.0
2018-10-04,-0.463841394451467,-0.6479276162597299,-0.08512407690772404,-0.6051826225800013,-0.524382941920032,1.0,0.0
2018-10-05,-0.45620837061338104,-0.6422440931835505,-0.07505716273983498,-0.6103655101567419,-0.529840607084866,1.0,0.0
2018-10-08,-0.45478301137867166,-0.6394218047102409,-0.07234056628737762,-0.6121989944429743,-0.529008997089177,1.0,0.0
2018-10-09,-0.45357107413410963,-0.639882232293493,-0.06887425981673229,-0.6141453571074135,-0.5316087201032121,1.0,0.0
2018-10-10,-0.4532088217762766,-0.6419961586860056,-0.06722299490032452,-0.6148089277435591,-0.5342737929664216,1.0,0.0
2018-10-11,-0.4237430528628668,-0.6349360217138427,-0.023103270001292493,-0.606921287320667,-0.5425229417086727,1.0,0.0
2018-10-12,-0.42390777874648844,-0.6369918305402176,-0.015467079983209014,-0.6096418999644806,-0.5430268978656074,1.0,0.0
2018-10-15,-0.4122727858708264,-0.6550535000644578,-0.0,-0.6099007348201624,-0.5456684285161789,1.0,0.0
2018-10-16,-0.4149969347917272,-0.6502113380440745,-0.003129738973316556,-0.6111057335527378,-0.5470912786758301,1.0,0.0
2018-10-17,-0.3993067701211562,-0.6186917671002004,-0.0,-0.6078481254173688,-0.5541387095748401,1.0,0.0
2018-10-18,-0.408664119665868,-0.6470245418636275,-0.0,-0.6140322476202811,-0.5679595933432623,1.0,0.0
2018-10-19,-0.39902840781134385,-0.6380014799086317,-0.0,-0.614162082167101,-0.5660007077823891,1.0,0.0
2018-10-22,-0.39962017574918723,-0.6401648050986577,-0.0,-0.6135127305501014,-0.5655518717610326,1.0,0.0
2018-10-23,-0.3956423499031633,-0.6428340865074241,-0.0,-0.6195932859909619,-0.5697869593285991,1.0,0.0
2018-10-24,-0.39563429089613633,-0.6384039900249376,-0.0,-0.6257408426984487,-0.5788774816206238,1.0,0.0
2018-10-25,-0.3610234729934376,-0.5955956587582029,-0.0,-0.6454126703685007,-0.5529404341241797,1.0,0.0
2018-10-26,-0.3383915974290641,-0.5870512619532842,-0.0,-0.6615770496943094,-0.5482677535663897,1.0,0.0
2018-10-29,-0.3323324262612993,-0.5876575646679804,-0.0,-0.6596290388164274,-0.5482468487066404,1.0,0.0
2018-10-30,-0.36505821515814857,-0.6010913359347737,-0.0,-0.6711081501221409,-0.5352622061482821,1.0,0.0
2018-10-31,-0.4022712297972946,-0.8830277896205573,-0.0,-0.860974380837952,-0.7295453664586644,1.0,0.0
