Date,FBMS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15967417695741848,-0.6461895935044253,-0.003707281413988461,-0.40041250032634523,-0.4008041145602172,0.0
2018-09-25,1.0,-0.1601847984965546,-0.645541866778033,-0.004619962413865107,-0.39984861140112754,-0.3999791188139486,0.0
2018-09-26,1.0,-0.1598366021629265,-0.6466521773285501,-0.00026185550813061356,-0.4034407813768363,-0.4083636649296918,0.0
2018-09-27,1.0,-0.16046797707226423,-0.6445415761509671,-0.0008898892873033737,-0.4032507132200906,-0.4081451043002591,0.0
2018-09-28,1.0,-0.16071615537640038,-0.6443042613338917,-0.0011517118626321852,-0.40323002826929116,-0.408124803685478,0.0
2018-10-01,1.0,-0.16360202502426358,-0.6437321302101093,-0.0005508485691052646,-0.40592293366209375,-0.40928048684521157,0.0
2018-10-02,1.0,-0.16396925740366705,-0.641922199197335,-0.0014689295176140385,-0.40615901162028173,-0.40959525745612885,0.0
2018-10-03,1.0,-0.1637775038682437,-0.6352574021137657,-0.0004982822375495004,-0.40885368859982696,-0.41417744092732944,0.0
2018-10-04,1.0,-0.16342116313247954,-0.6367835397858492,-0.0007085870249842536,-0.40814612639093006,-0.41531072853243756,0.0
2018-10-05,1.0,-0.15518008003557138,-0.6344519132686423,-0.0,-0.4089137655951665,-0.4170219443935867,0.0
2018-10-08,1.0,-0.15273933253251162,-0.6317961038282759,-0.0,-0.4106648561132292,-0.41617485768005436,0.0
2018-10-09,1.0,-0.15230958038488657,-0.6318771705355511,-0.0,-0.41068491004517327,-0.41627281510301073,0.0
2018-10-10,1.0,-0.152203425229741,-0.6318400167084378,-0.0,-0.4107403926482874,-0.41590956558061826,0.0
2018-10-11,1.0,-0.10842022076630892,-0.6264307747214929,-0.0,-0.39511051061768676,-0.4193030310755347,0.0
2018-10-12,1.0,-0.10544424205626392,-0.6249747014774337,-0.0,-0.3878516494636713,-0.41160696215341025,0.0
2018-10-15,1.0,-0.08720460513027672,-0.6415623106443143,-0.0,-0.3841143203393254,-0.41186124015350434,0.0
2018-10-16,1.0,-0.08453264656870171,-0.6459374842195627,-0.0,-0.3833257587234257,-0.41107407968489623,0.0
2018-10-17,1.0,-0.07088910491288417,-0.6223485131733094,-0.0,-0.3813903636680875,-0.41795657917694856,0.0
2018-10-18,1.0,-0.07116497107520446,-0.6235038898862956,-0.0,-0.3807600239377618,-0.41806303610612405,0.0
2018-10-19,1.0,-0.05844766952300758,-0.6168458071226907,-0.0,-0.3826341076824013,-0.4186685819010353,0.0
2018-10-22,1.0,-0.0625125075045027,-0.6389333600160095,-0.0,-0.3818290974584751,-0.4182009205523314,0.0
2018-10-23,1.0,-0.059578414417124095,-0.6403238338722209,-0.0,-0.3857182244279019,-0.4207835175577111,0.0
2018-10-24,1.0,-0.05883092078809811,-0.6461600321672698,-0.0,-0.38706272617611576,-0.4210394049055086,0.0
2018-10-25,1.0,-0.051477193332667925,-0.6413813753867651,-0.0,-0.38606647369997005,-0.4163339654656153,0.0
2018-10-26,1.0,-0.04222491889348424,-0.633745263627133,-0.0,-0.38926174496644295,-0.4113276703236831,0.0
2018-10-29,1.0,-0.023912346075068484,-0.6440539940280828,-0.0,-0.38193124892036623,-0.41783678404856506,0.0
2018-10-30,1.0,-0.00916819057974596,-0.6459991103642563,-0.0,-0.3842979291256858,-0.43174516878367025,0.0
