Date,IWF,IWM,MTUM,NG,SPY,VLUE,VXX
2018-09-24,-1.2807671816728823,-2.7049369561356778,-0.04421949920085243,1.0,-2.035340081690641,-1.8141537915112769,0.0
2018-09-25,-1.2921228304405874,-2.70636404094348,-0.056252781486426345,1.0,-2.035870048954161,-1.810146862483311,0.0
2018-09-26,-1.2932156548096638,-2.709548007488633,-0.05375768922171703,1.0,-2.0404742801105464,-1.8180440402959792,0.0
2018-09-27,-1.2941803642825411,-2.6874278098622835,-0.058107507774322525,1.0,-2.033762772101288,-1.8114615726343848,0.0
2018-09-28,-1.2911324786324787,-2.697916666666667,-0.0604522792022792,1.0,-2.0376602564102564,-1.815883190883191,0.0
2018-10-01,-1.2915701301015863,-2.7011227945107823,-0.06193191944394938,1.0,-2.0386740331491713,-1.8178577793619675,0.0
2018-10-02,-1.2926981300089047,-2.6815672306322353,-0.06936776491540517,1.0,-2.0405164737310773,-1.8205699020480854,0.0
2018-10-03,-1.3060600611400828,-2.6746088832943715,-0.0657255889228556,1.0,-2.0783132530120483,-1.8664808487682072,0.0
2018-10-04,-1.3059849029475197,-2.670740474478792,-0.06865564342199856,1.0,-2.0763838964773544,-1.864665708123652,0.0
2018-10-05,-1.2725555455608528,-2.668525681388864,-0.01826032202932446,1.0,-2.122065305388144,-1.9139156247188989,0.0
2018-10-08,-1.2709590274651057,-2.6676271949572268,-0.0036920306168392618,1.0,-2.1424583520936515,-1.9202161188653761,0.0
2018-10-09,-1.2724569781061357,-2.6695197765564465,-0.005045499594558068,1.0,-2.142985854581494,-1.9197224975222993,0.0
2018-10-10,-1.2805670940942748,-2.672476070074047,-0.009933176810547228,1.0,-2.1517067003792665,-1.9155679971103485,0.0
2018-10-11,-1.0113108803916604,-2.557609521397822,-0.0,1.0,-2.0045581159787287,-1.8674769983962183,0.0
2018-10-12,-1.1768142400730262,-2.8121405750798725,-0.0,1.0,-2.1531720675490646,-1.9860337745321772,0.0
2018-10-15,-1.0970776255707764,-2.898812785388128,-0.0,1.0,-2.1436529680365295,-1.9928767123287672,0.0
2018-10-16,-1.0896265560165974,-2.960165975103734,-0.0,1.0,-2.1612724757952972,-2.009774089442139,0.0
2018-10-17,-1.0368745332337566,-2.9136482449589245,-0.0,1.0,-2.241598207617625,-2.1432972367438383,0.0
2018-10-18,-1.038519212746017,-2.919493908153702,-0.0,1.0,-2.25941893158388,-2.1545454545454548,0.0
2018-10-19,-0.9685169842584921,-2.856025039123631,-0.0,1.0,-2.247537512657645,-2.13357267789745,0.0
2018-10-22,-0.9713969367041889,-2.836778003321646,-0.0,1.0,-2.2668389001660825,-2.1517807713600297,0.0
2018-10-23,-0.9719583064292961,-2.8356240199243614,-0.0,1.0,-2.265658149617194,-2.150908587768656,0.0
2018-10-24,-0.9738944630248979,-2.8442028985507246,-0.0,1.0,-2.2911557041991824,-2.1809736157562245,0.0
2018-10-25,-0.8134737575071808,-2.612847071111498,-0.0,1.0,-2.2623378884150056,-2.0153190007833577,0.0
2018-10-26,-0.7928492443789164,-2.7669553999262804,-0.0,1.0,-2.496774788057501,-2.158403980833026,0.0
2018-10-29,-0.7139217470427662,-2.778252957233849,-0.0,1.0,-2.448953594176524,-2.1581437670609644,0.0
2018-10-30,-0.673437355738159,-2.8246699289077646,-0.0,1.0,-2.49358323331179,-2.2409749792262947,0.0
2018-10-31,-0.6753855867231894,-2.71083250653919,-0.0,1.0,-2.4467394245512764,-2.186705150175882,0.0
2018-11-01,-0.6142490372272142,-2.8253255088941867,-0.0,1.0,-2.494223363286264,-2.235466715569411,0.0
2018-11-02,-0.6128687282773371,-2.68229213082613,-0.0,1.0,-2.4516531503431067,-2.1649585598431513,0.0
2018-11-05,-0.6073428749222153,-2.6874388834563074,-0.0,1.0,-2.445372922037514,-2.1495244021690816,0.0
2018-11-06,-0.625992328962626,-2.70983855142271,-0.0,1.0,-2.4435821960574438,-2.14048702167514,0.0
2018-11-07,-0.6222499331967579,-2.709272290015142,-0.0,1.0,-2.437783913779282,-2.13779282087824,0.0
2018-11-08,-0.517561709280722,-2.7339644342210034,-0.0,1.0,-2.421215606476157,-2.1743784835884274,0.0
2018-11-09,-0.5165369649805447,-2.73240183940573,-0.0,1.0,-2.4215599575521756,-2.1728864520693314,0.0
2018-11-12,-0.5056492264905267,-2.650008691117678,-0.0,1.0,-2.402659482009386,-2.132800278115766,0.0
2018-11-13,-0.414445472126461,-2.577902968132515,-0.0,1.0,-2.3486925081981,-2.0672664592617505,0.0
2018-11-14,-0.41488020176544765,-2.5771332492643966,-0.0,1.0,-2.348045397225725,-2.0667507356031947,0.0
2018-11-15,-0.4203490847169008,-2.6231587909748826,-0.0,1.0,-2.4026394210302255,-2.068114091102597,0.0
2018-11-16,-0.4067624683009299,-2.5836010143702453,-0.0,1.0,-2.3879966187658495,-2.0747252747252745,0.0
2018-11-19,-0.4087874947190537,-2.5818335445711873,-0.0,1.0,-2.3856358259400086,-2.0731727925644274,0.0
2018-11-20,-0.27971098745951334,-2.5343410015779417,-0.0,1.0,-2.377211195083465,-2.113694875840877,0.0
