Date,ETRN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-01,1.0,-0.0,-0.06624504234108694,-0.3192910994390252,-1.3070354092971737,-0.8805159538357095,0.0
2019-07-02,1.0,-0.0,-0.0831782390837509,-0.30876879026485327,-1.29974946313529,-0.8874015748031496,0.0
2019-07-03,1.0,-0.0,-0.10454512816830616,-0.293961370000718,-1.29564873985783,-0.8959933941265168,0.0
2019-07-05,1.0,-0.0,-0.10509496965997632,-0.29471114143118743,-1.2948547628451403,-0.895838569530717,0.0
2019-07-08,1.0,-0.0,-0.10183255479698168,-0.2988501616960115,-1.2967660797700324,-0.895795903701042,0.0
2019-07-09,1.0,-0.0,-0.09253141831238779,-0.2977737881508079,-1.2997486535008977,-0.9006104129263912,0.0
2019-07-10,1.0,-0.0,-0.09154271753969966,-0.2961845225264066,-1.3008550693396568,-0.9041460084788389,0.0
2019-07-11,1.0,-0.0,-0.09206508854484714,-0.2958439599123532,-1.3002263012320845,-0.903947699270807,0.0
2019-07-12,1.0,-0.0,-0.10714927572696883,-0.2965026418892203,-1.2968980266705008,-0.8938931023327702,0.0
2019-07-15,1.0,-0.0,-0.10665660811150628,-0.302295505981248,-1.304953838416496,-0.8784351762043323,0.0
2019-07-16,1.0,-0.0,-0.12114767689146812,-0.29834552860180946,-1.3087625707385646,-0.8762570738564683,0.0
2019-07-17,1.0,-0.0,-0.11935507141826578,-0.30006492569614773,-1.3105973164045592,-0.8769658058000289,0.0
2019-07-18,1.0,-0.0,-0.11805180301884073,-0.30019092906805,-1.310926186101805,-0.8733023523902158,0.0
2019-07-19,1.0,-0.0,-0.12394683323649042,-0.2963030214991284,-1.3435865775711797,-0.8677730970366067,0.0
2019-07-22,1.0,-0.0,-0.12067651435415382,-0.29013174608935505,-1.3415961964214422,-0.8769643958915545,0.0
2019-07-23,1.0,-0.0,-0.11678301337987203,-0.2962478184991274,-1.3451134380453753,-0.8776905177428738,0.0
2019-07-24,1.0,-0.0,-0.11872660537122504,-0.31122578769487946,-1.3388450775883998,-0.8653196205981756,0.0
2019-07-25,1.0,-0.0,-0.12203192611177777,-0.3096251045416531,-1.3368241154867098,-0.8677502636267772,0.0
2019-07-26,1.0,-0.0,-0.1078320915864074,-0.3112484099582046,-1.3450844993639832,-0.8702162456841722,0.0
2019-07-29,1.0,-0.0,-0.073345521023766,-0.31919561243144423,-1.35308957952468,-0.9107129798903107,0.0
2019-07-30,1.0,-0.0,-0.059080080630382996,-0.3226681326736302,-1.3591350558915156,-0.9241341396371633,0.0
2019-07-31,1.0,-0.0,-0.0,-0.3402744208530101,-1.4072063362213214,-0.9709589856096382,0.0
2019-08-01,1.0,-0.0,-0.0,-0.3318468970642884,-1.4157562244518764,-0.9684875510962468,0.0
2019-08-02,1.0,-0.0,-0.0,-0.3251235187042609,-1.4246071547977266,-0.9651175749470634,0.0
2019-08-05,1.0,-0.0,-0.0,-0.312592867756315,-1.4423105497771174,-0.9597696879643387,0.0
2019-08-06,1.0,-0.0,-0.0,-0.3220376198492278,-1.3810656517602284,-0.956415135768133,0.0
2019-08-07,1.0,-0.0,-0.019093254699594546,-0.286361960928861,-1.3868411352746037,-0.9936601548101732,0.0
2019-08-08,1.0,-0.0,-0.01920874736803221,-0.2824794060064275,-1.3921909053969193,-1.0001477595951387,0.0
2019-08-09,1.0,-0.0,-0.008591569980907623,-0.2728007049493318,-1.383169334704068,-1.007049493317668,0.0
2019-08-12,1.0,-0.0,-0.0058425810244726985,-0.26795031968839567,-1.3892114352906593,-1.011611670463732,0.0
2019-08-13,1.0,-0.0,-0.0,-0.26481775545625763,-1.408619225229883,-1.0194615753905243,0.0
