Date,BRKS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9811507936507937,-1.6712301587301588,-0.4373015873015873,-1.2299603174603175,-1.2941137566137566,0.0
2018-09-25,1.0,-0.982613869240431,-1.6688702320354336,-0.44020625371851657,-1.228002908706287,-1.2910689495603889,0.0
2018-09-26,1.0,-0.9925687889134365,-1.6888264042311039,-0.4346923746401553,-1.2519916984668944,-1.3267054964182903,0.0
2018-09-27,1.0,-1.018910126067507,-1.6878812525416835,-0.4479463196421309,-1.2758573946048528,-1.3472956486376577,0.0
2018-09-28,1.0,-1.0211611502984266,-1.6877373846988608,-0.4482501356483994,-1.2770618556701032,-1.3482772653282693,0.0
2018-10-01,1.0,-1.0209662097978014,-1.689238702673361,-0.44877188220925496,-1.2772425023748133,-1.348894015470213,0.0
2018-10-02,1.0,-1.021044056751069,-1.6949290611635328,-0.4483062928518091,-1.2763559839793632,-1.347770008824927,0.0
2018-10-03,1.0,-1.020979020979021,-1.6820558082694004,-0.4466698350193496,-1.2823681173195736,-1.357322289361124,0.0
2018-10-04,1.0,-1.021914648212226,-1.6777257615849108,-0.4469774068797069,-1.2833977881810164,-1.354637356672773,0.0
2018-10-05,1.0,-1.0037822504390113,-1.6684452249088209,-0.42496285289747404,-1.290557881939754,-1.3663379710928003,0.0
2018-10-08,1.0,-1.0043927823207408,-1.6704737446779754,-0.4245455159829696,-1.2912752584983442,-1.3674393458133405,0.0
2018-10-09,1.0,-1.0096166869836107,-1.6743193823648923,-0.43173506704591624,-1.291277258566978,-1.365298659081674,0.0
2018-10-10,1.0,-1.011104340171982,-1.6726250931004132,-0.4334078136637552,-1.2919628952535718,-1.3618389870675065,0.0
2018-10-11,1.0,-0.9261828414370786,-1.665859564164649,-0.3102545644918526,-1.2624173810614487,-1.379359989529481,0.0
2018-10-12,1.0,-0.9346561530506722,-1.6562176835573938,-0.29634177869700107,-1.2309979317476731,-1.345010341261634,0.0
2018-10-15,1.0,-0.9111941741315975,-1.6927885544886254,-0.2602307147000064,-1.2296191274086485,-1.3507121221885674,0.0
2018-10-16,1.0,-0.9098698621311686,-1.695851050122407,-0.25750547609844093,-1.229094188893184,-1.3501481767813426,0.0
2018-10-17,1.0,-0.8800405140216497,-1.6373995062353612,-0.2223839969614484,-1.2249161233145534,-1.365639045388365,0.0
2018-10-18,1.0,-0.8830133316323276,-1.6435542514511705,-0.22772214071569818,-1.245455125342859,-1.379090387191427,0.0
2018-10-19,1.0,-0.8646606995492921,-1.6322605218053705,-0.20218371103916716,-1.2589348060686854,-1.3899574684187137,0.0
2018-10-22,1.0,-0.865520534861509,-1.6438077045526902,-0.2133715377268386,-1.2566698503661256,-1.3880929640241961,0.0
2018-10-23,1.0,-0.8676938749522476,-1.643066344072329,-0.21832420730930854,-1.2525149624347383,-1.385330446962944,0.0
2018-10-24,1.0,-0.8692248949980907,-1.6395570828560517,-0.20739467990327098,-1.2563319333078784,-1.3913071146748122,0.0
2018-10-25,1.0,-0.8103056016725082,-1.5622578859988934,-0.17776547992375333,-1.2588083379450288,-1.3397897066961815,0.0
2018-10-26,1.0,-0.7884405007900815,-1.543636805639966,-0.14780600461893767,-1.2692962197641913,-1.3284307767108303,0.0
2018-10-29,1.0,-0.7668177697189483,-1.5569054094892714,-0.12481112118464793,-1.2589906316107584,-1.3365367180417043,0.0
2018-10-30,1.0,-0.7621118762836777,-1.556844267246587,-0.12172284644194759,-1.2592726833393744,-1.3409447867584876,0.0
