Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WSC
2018-09-24,-0.9327438197895823,-1.7210998515458593,-0.04214806686890854,-1.473504163170464,-1.2850319499128637,0.0,1.0
2018-09-25,-0.9328040278853602,-1.720823650916602,-0.04292538084172476,-1.4732765298218435,-1.285179447456752,0.0,1.0
2018-09-26,-0.9352545877487722,-1.7246058413026624,-0.046200568622383045,-1.4740242956836391,-1.2815973119669164,0.0,1.0
2018-09-27,-0.9408383388232254,-1.7110379125492476,-0.050313246786798424,-1.474843376606601,-1.281663760253181,0.0,1.0
2018-09-28,-0.938254860169218,-1.7130401085061036,-0.051411225214751666,-1.4743266808757993,-1.281663760253181,0.0,1.0
2018-10-01,-0.9391551479137061,-1.7119235240924944,-0.0518020927528743,-1.4746802738664255,-1.2815527709598242,0.0,1.0
2018-10-02,-0.9646919587086592,-1.6941284765599316,-0.0746268656716418,-1.5176540206456703,-1.3238871720691696,0.0,1.0
2018-10-03,-0.962846264933701,-1.6836681108047786,-0.07424182749113825,-1.5174609426283312,-1.3261126427727452,0.0,1.0
2018-10-04,-0.9678540969625401,-1.673423866692908,-0.07577248573115528,-1.5233877845568458,-1.3199501410483498,0.0,1.0
2018-10-05,-0.9423064400599075,-1.6554014455948427,-0.04590740378980269,-1.5350003255844238,-1.3330728657941004,0.0,1.0
2018-10-08,-0.9389998049034272,-1.6501268127723225,-0.0366781556870651,-1.5438642127853288,-1.3334850751121807,0.0,1.0
2018-10-09,-0.9386136038496553,-1.6504096761607492,-0.03531018337885291,-1.5444791260241904,-1.3340486409155936,0.0,1.0
2018-10-10,-0.938657482617454,-1.648515173175645,-0.03554486971213204,-1.5440249528884267,-1.3314705308986938,0.0,1.0
2018-10-11,-0.7810201078960276,-1.5784085335948994,-0.0,-1.4645659637077,-1.3064615007356548,0.0,1.0
2018-10-12,-0.7816525855353826,-1.5461082149919105,-0.0,-1.4157229312720954,-1.2484870273833062,0.0,1.0
2018-10-15,-0.7258132913309505,-1.6371842248742958,-0.0,-1.4244865814502938,-1.2705518870782093,0.0,1.0
2018-10-16,-0.7293511218920559,-1.635415403274712,-0.0,-1.4266828380836871,-1.2728320194057003,0.0,1.0
2018-10-17,-0.6741948729981815,-1.5335836217516277,-0.0,-1.394028274769754,-1.2643280342582273,0.0,1.0
2018-10-18,-0.6745100340335641,-1.5346203497242108,-0.0,-1.3940265227086024,-1.264698978993076,0.0,1.0
2018-10-19,-0.6415301177013616,-1.4988460650819295,-0.0,-1.3817216708977613,-1.2475767366720518,0.0,1.0
2018-10-22,-0.6458128363909948,-1.5097517217431564,-0.0,-1.3826031599050872,-1.2492042363562705,0.0,1.0
2018-10-23,-0.644794806399258,-1.5122884303269186,-0.0,-1.386737769533967,-1.2526083932297702,0.0,1.0
2018-10-24,-0.6405228758169935,-1.5051767019492164,-0.0,-1.3858522760136505,-1.2525305107293656,0.0,1.0
2018-10-25,-0.5602514087559601,-1.3697442566103166,-0.0,-1.337342869527525,-1.150953619419159,0.0,1.0
2018-10-26,-0.5284509731134327,-1.3304343214721324,-0.0,-1.3234872991462057,-1.1207509147796575,0.0,1.0
2018-10-29,-0.4945060722359498,-1.3363124967141582,-0.0,-1.3047684138583673,-1.1217601598233533,0.0,1.0
2018-10-30,-0.5052986766489165,-1.3403279379975748,-0.0,-1.308166816048927,-1.1185216428533769,0.0,1.0
2018-10-31,-0.5128647631000941,-1.3012237213680578,-0.0,-1.305878046229474,-1.109611965275599,0.0,1.0
2018-11-01,-0.5189999475863515,-1.3007495151737514,-0.0,-1.309135698936003,-1.1124796897112008,0.0,1.0
2018-11-02,-0.5240910741144131,-1.2501944919869301,-0.0,-1.3138841346403194,-1.09828328406203,0.0,1.0
2018-11-05,-0.5167005367099161,-1.2865926736491062,-0.0,-1.3235370746704185,-1.0838934917409202,0.0,1.0
2018-11-06,-0.5183603312672536,-1.2870982863690816,-0.0,-1.3215271628730663,-1.0815146622219907,0.0,1.0
