Date,IWF,IWM,JD,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7847812746559131,-0.8183571491189621,1.0,-0.4008065223108617,-0.769834312264399,-0.6095380029806259,0.0
2018-09-25,-0.7924605150020364,-0.876091777164321,1.0,-0.3788749604018645,-0.817079241525999,-0.6610399601755895,0.0
2018-09-26,-0.7932111337406653,-0.8769857433808553,1.0,-0.3805385833899072,-0.8167006109979633,-0.6584747680470695,0.0
2018-09-27,-0.8082073237383858,-0.8649116414647477,1.0,-0.3870468209145564,-0.8272453998906906,-0.6671069411550373,0.0
2018-09-28,-0.8094587206123565,-0.8643612174229998,1.0,-0.38723346090759975,-0.8275924913431747,-0.6675779114270093,0.0
2018-10-01,-0.8094256663918659,-0.8767518549051937,1.0,-0.3882934872217642,-0.8316845287166804,-0.673857286800403,0.0
2018-10-02,-0.8092044828219732,-0.8988609222855044,1.0,-0.38269336762814626,-0.8302406760977402,-0.6720558515524527,0.0
2018-10-03,-0.809670450889369,-0.9026520200395275,1.0,-0.3833708691455623,-0.8297559406168129,-0.6707726249023301,0.0
2018-10-04,-0.809633238349113,-0.902196893096792,1.0,-0.38381285044581304,-0.8297178049453074,-0.6706498759077121,0.0
2018-10-05,-0.8039036012095666,-0.8966828553101804,1.0,-0.3744616512416384,-0.8333638779437368,-0.6732337579034179,0.0
2018-10-08,-0.8033695005264844,-0.8953898274046604,1.0,-0.37320880831387626,-0.8336766927619832,-0.6724351050679852,0.0
2018-10-09,-0.7999449010514716,-0.9010514716010836,1.0,-0.35919922861472053,-0.844896459892557,-0.6865328986638504,0.0
2018-10-10,-0.801064904066832,-0.899614431286147,1.0,-0.3604149453777656,-0.8452676030478289,-0.6837418525658681,0.0
2018-10-11,-0.7509826692871181,-0.8939163837770234,1.0,-0.2845274254064678,-0.8336608897623727,-0.7035912095765589,0.0
2018-10-12,-0.8009108946608946,-0.920319264069264,1.0,-0.2804383116883117,-0.8244498556998556,-0.6832611832611831,0.0
2018-10-15,-0.802787676485182,-0.9207451847173982,1.0,-0.27849700031575625,-0.825702557625513,-0.6830258469033335,0.0
2018-10-16,-0.8015966083348367,-0.9247699801551507,1.0,-0.2753472848637922,-0.8256810391484756,-0.6828432256900596,0.0
2018-10-17,-0.7821861270137132,-0.8763147383837039,1.0,-0.25455997869790975,-0.8258554120623086,-0.6990192162605956,0.0
2018-10-18,-0.7897722197409558,-0.8926753014738723,1.0,-0.2486377847253238,-0.8285841893702546,-0.7065654309959805,0.0
2018-10-19,-0.7786503394116864,-0.8779005279737343,1.0,-0.23324016149784815,-0.8376148010115799,-0.7093482408270109,0.0
2018-10-22,-0.7792610990375659,-0.8743070031489777,1.0,-0.23080675921408614,-0.8395351931520824,-0.7112254401915997,0.0
2018-10-23,-0.7873514620143309,-0.878454759891406,1.0,-0.24335751479816636,-0.8324358004361565,-0.7089768124972183,0.0
2018-10-24,-0.789141357997243,-0.8753168215572057,1.0,-0.23731602116590333,-0.8340966694828582,-0.7107919427275556,0.0
2018-10-25,-0.7582801449025357,-0.8193893393134379,1.0,-0.2340003450060376,-0.8300414007245127,-0.6707779886148008,0.0
