Date,IWF,IWM,MBT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.591461427440756,-1.1012151403696633,1.0,-0.0275618045532846,-0.9965547744308393,-0.9389170818008287,0.0
2018-09-25,-0.5961619078671573,-1.0989799245423635,1.0,-0.03409567283059295,-0.9943173878615679,-0.9343239088918907,0.0
2018-09-26,-0.5962738705170004,-1.0991150442477875,1.0,-0.034373544480670704,-0.9941779226828132,-0.9337214718211458,0.0
2018-09-27,-0.600558529206423,-1.0882476146148474,1.0,-0.03760763323248778,-0.9944612520363043,-0.9334884803351174,0.0
2018-09-28,-0.6013686513663237,-1.0877519668544295,1.0,-0.03821982216842791,-0.9944136678925561,-0.933522647921419,0.0
2018-10-01,-0.6025515667923825,-1.0866042743399917,1.0,-0.038320063323555434,-0.995111049029194,-0.933556828234856,0.0
2018-10-02,-0.6054421768707483,-1.0674214891436025,1.0,-0.04594166433696767,-1.0007920976609823,-0.9398005777653526,0.0
2018-10-03,-0.6048514759288575,-1.0622031846540647,1.0,-0.04572120309153553,-1.0014433373684701,-0.9417077940217897,0.0
2018-10-04,-0.6073222925195385,-1.056010420543357,1.0,-0.046752884257536285,-1.0041868254558988,-0.9377558615556383,0.0
2018-10-05,-0.5942880947972597,-1.0472597667098684,1.0,-0.030642473615997035,-1.0110164784299203,-0.9455193482688391,0.0
2018-10-08,-0.591393877833695,-1.0420148667990212,1.0,-0.02590147282884713,-1.013758714622097,-0.9439032272958124,0.0
2018-10-09,-0.5952920501318041,-1.044212181473431,1.0,-0.03186421865606068,-1.0126254451278731,-0.9407112796559219,0.0
2018-10-10,-0.5952182759896412,-1.0443488716241214,1.0,-0.03126156122826489,-1.0129023307436182,-0.9407602663706993,0.0
2018-10-11,-0.5022317443313694,-1.0231208712729871,1.0,-0.0,-0.9833065524013569,-0.954784859846456,0.0
2018-10-12,-0.5309214043842453,-1.0314560684369989,1.0,-0.0,-0.964845838531456,-0.9282659062555694,0.0
2018-10-15,-0.5178222222222222,-1.0388,1.0,-0.0,-0.9611999999999999,-0.9266222222222222,0.0
