Date,IWF,IWM,MTUM,PIO,SPY,VLUE,VXX
2018-09-24,-0.1752078313906796,-0.28403985153350264,-0.07540535260793124,1.0,-0.340778363829741,-0.29513142757917127,0.0
2018-09-25,-0.17431850789096126,-0.286096256684492,-0.07327942263379852,1.0,-0.3425720620842572,-0.2975522803356376,0.0
2018-09-26,-0.174155959912172,-0.28596273832039826,-0.07278419096067307,1.0,-0.3427683210504576,-0.29828909324115743,0.0
2018-09-27,-0.1766201590820185,-0.28058851653844485,-0.07441213543704091,1.0,-0.3431998956839223,-0.29845264484722045,0.0
2018-09-28,-0.17443605751452002,-0.28350481825498686,-0.07480803115007287,1.0,-0.34354266820386764,-0.2989928433142633,0.0
2018-10-01,-0.17502828300409015,-0.28298233400052214,-0.07473239926899312,1.0,-0.34387781742233053,-0.29899486554694976,0.0
2018-10-02,-0.1757462361848403,-0.2769993908276042,-0.07692977112522845,1.0,-0.3452919676268384,-0.3006700896353668,0.0
2018-10-03,-0.1758344575481962,-0.2772966621698072,-0.07704860960006962,1.0,-0.34518473388746246,-0.3005352713346969,0.0
2018-10-04,-0.1786056227696057,-0.273217860562277,-0.07737836191139351,1.0,-0.34883366698581253,-0.29793715728087733,0.0
2018-10-05,-0.174921358064866,-0.27013775897602776,-0.07399934917019199,1.0,-0.35077557218787286,-0.2995986549517301,0.0
2018-10-08,-0.17396013864818022,-0.2683058925476603,-0.07207538994800693,1.0,-0.3526646447140381,-0.29935008665511265,0.0
2018-10-09,-0.17481744707590302,-0.2683365474204243,-0.07399622976750234,1.0,-0.3517800264349635,-0.2978700353188447,0.0
2018-10-10,-0.17469775100749663,-0.268340772197426,-0.07379642067859774,1.0,-0.3518438271872427,-0.29798067339775536,0.0
2018-10-11,-0.16182687790921127,-0.2633770337788786,-0.05888884143997951,1.0,-0.35006619122859467,-0.3010633300593586,0.0
2018-10-12,-0.16148553955917952,-0.25996942285641483,-0.057204739457255696,1.0,-0.34773007177135085,-0.2970442094534335,0.0
2018-10-15,-0.15561538135413577,-0.26834697078899394,-0.04941281214228177,1.0,-0.3480518929919023,-0.2983847034383347,0.0
2018-10-16,-0.15574917323836174,-0.26797676587806324,-0.049732892393792937,1.0,-0.34804545069108794,-0.29841855337912326,0.0
2018-10-17,-0.15325524955154585,-0.26212936583306956,-0.047821040413633005,1.0,-0.34762055502796246,-0.2995462699166403,0.0
2018-10-18,-0.1539419788015709,-0.2634179299860648,-0.04712638824373971,1.0,-0.34713483383303073,-0.2997761918837887,0.0
2018-10-19,-0.1510045229830651,-0.2601241190701588,-0.04451456821289577,1.0,-0.3485011044493531,-0.2995897759545598,0.0
2018-10-22,-0.1522667508151888,-0.2572630693173451,-0.041295887240980336,1.0,-0.3510676343746713,-0.30184074892184704,0.0
2018-10-23,-0.15166635087054464,-0.2579843786184972,-0.039285037579738516,1.0,-0.3531863828712183,-0.30318533021747823,0.0
2018-10-24,-0.15110428027033287,-0.2585426447986189,-0.039328799713666124,1.0,-0.3534960102743331,-0.3029243952249616,0.0
2018-10-25,-0.13855023350002066,-0.24002975575484564,-0.03785593255362235,1.0,-0.35839153614084396,-0.2915650700500062,0.0
2018-10-26,-0.13497676713680662,-0.23685184423701633,-0.03297832970105678,1.0,-0.3615485834121469,-0.2896295077922612,0.0
