Date,IWF,IWM,MTUM,OMI,SPY,VLUE,VXX
2018-09-24,-0.8473072009681973,-1.8598803200430307,-0.0,1.0,-1.4984199556242856,-1.5179183755799097,0.0
2018-09-25,-0.8476068835708525,-1.8593035762301693,-0.0,1.0,-1.4979833288518418,-1.5173433718741598,0.0
2018-09-26,-0.8466092572658773,-1.859795479009688,-0.0,1.0,-1.4995963401506995,-1.5216630785791174,0.0
2018-09-27,-0.8530420168067228,-1.8467899159663868,-0.0,1.0,-1.5008403361344538,-1.5220168067226891,0.0
2018-09-28,-0.8525339427342385,-1.846820809248555,-0.0,1.0,-1.5003360666756285,-1.521642693910472,0.0
2018-10-01,-0.8541176470588235,-1.8455798319327732,-0.0,1.0,-1.5012436974789918,-1.521747899159664,0.0
2018-10-02,-0.854847384698131,-1.8460400699206667,-0.0,1.0,-1.5008740083366947,-1.5213795885437675,0.0
2018-10-03,-0.8531802001477602,-1.833366915172275,-0.0,1.0,-1.5031231110215595,-1.526697561958493,0.0
2018-10-04,-0.8546601355431793,-1.8282225055357981,-0.0,1.0,-1.5035898812319668,-1.5235187546131652,0.0
2018-10-05,-0.8186853520186853,-1.8097430764097429,-0.0,1.0,-1.509576242909576,-1.5353353353353352,0.0
2018-10-08,-0.8162281582647117,-1.8104706433688156,-0.0,1.0,-1.526544821583986,-1.5414741916047399,0.0
2018-10-09,-0.809929553840993,-1.813820865481382,-0.0,1.0,-1.5336464273733648,-1.551761153975176,0.0
2018-10-10,-0.8089993284083277,-1.8169912693082606,-0.0,1.0,-1.534989926124916,-1.554936198791135,0.0
2018-10-11,-0.636333900300929,-1.8139474028522833,-0.0,1.0,-1.4961402590605783,-1.5955122334161977,0.0
2018-10-12,-0.6182726806765761,-1.7817145053818555,-0.0,1.0,-1.4540620194771914,-1.5529856483854434,0.0
2018-10-15,-0.562203411568552,-1.8426959086828267,-0.0,1.0,-1.447736308836732,-1.560087213030653,0.0
2018-10-16,-0.5533762057877814,-1.8678456591639871,-0.0,1.0,-1.4486816720257234,-1.5609003215434083,0.0
2018-10-17,-0.500062790405626,-1.778412658545774,-0.0,1.0,-1.4303026497551172,-1.5702624638955167,0.0
2018-10-18,-0.4994342469197888,-1.7767161176766406,-0.0,1.0,-1.4368871008297712,-1.5730450088006036,0.0
2018-10-19,-0.46542520173805096,-1.7514587212911237,-0.0,1.0,-1.4271880819366853,-1.5632526381129734,0.0
2018-10-22,-0.4656990447835256,-1.7404168217342761,-0.0,1.0,-1.4304676839101849,-1.5660588016375139,0.0
2018-10-23,-0.46446968286476764,-1.7415130639856018,-0.0,1.0,-1.4325079128653881,-1.56761621051325,0.0
2018-10-24,-0.4624665713041856,-1.7369239380558492,-0.0,1.0,-1.440325890913614,-1.5795136513464767,0.0
2018-10-25,-0.3769435412355897,-1.620100502512563,-0.0,1.0,-1.4174992610109372,-1.4973100798108188,0.0
2018-10-26,-0.3396699516006764,-1.5908216222520264,-0.0,1.0,-1.4241646743250336,-1.4765875561257216,0.0
2018-10-29,-0.32017874760605886,-1.5911438686089028,-0.0,1.0,-1.4162846033312055,-1.475886483663165,0.0
2018-10-30,-0.2968904388259227,-1.595292066259808,-0.0,1.0,-1.4208079046788724,-1.4992734670154024,0.0
2018-10-31,-0.2976156276931916,-1.5582303935650674,-0.0,1.0,-1.4069520252800918,-1.4827348463085321,0.0
2018-11-01,-1.5839621579006644,-2.857191125126704,-0.6647144948755491,1.0,-2.5551300822164658,-2.601531704020723,0.0
2018-11-02,-1.5647189760712297,-2.8158041179744018,-0.6478575403450194,1.0,-2.529549248747913,-2.5716193656093487,0.0
2018-11-05,-1.5839077861905302,-2.8918521866877613,-0.6615436772516669,1.0,-2.572042038648435,-2.591253248954684,0.0
2018-11-06,-1.5877767736104835,-2.8950519656574785,-0.6591730682331676,1.0,-2.568798011748757,-2.586082241301401,0.0
2018-11-07,-1.585283146829434,-2.898609698202781,-0.663162654007008,1.0,-2.568780377529106,-2.5874307674918056,0.0
2018-11-08,-1.542792792792793,-2.927364864864865,-0.5989864864864864,1.0,-2.5736486486486485,-2.6183558558558557,0.0
2018-11-09,-1.546645583916874,-2.9352834876891802,-0.6042466681725774,1.0,-2.582787440704766,-2.6254800090354644,0.0
2018-11-12,-1.5322436184505153,-2.893193013882669,-0.5905732198835647,1.0,-2.57422749664129,-2.6054635020152266,0.0
2018-11-13,-1.4991621047927606,-2.9131940565299965,-0.5331247905261981,1.0,-2.6016087587978993,-2.6248463858786724,0.0
2018-11-14,-1.4989941886455074,-2.9152883325882875,-0.5315154224407689,1.0,-2.6032632990612425,-2.6265087170317387,0.0
2018-11-15,-1.4932605547510305,-2.911106160187145,-0.5231146262671271,1.0,-2.600534699788348,-2.6114514871337864,0.0
2018-11-16,-1.4824259895775584,-2.8887903315223413,-0.5114757733673355,1.0,-2.5926377647189267,-2.6123738773699965,0.0
2018-11-19,-1.4875472537247052,-2.8957082499444073,-0.5183455637091394,1.0,-2.598176562152546,-2.6186346453191014,0.0
2018-11-20,-1.4343861209964415,-2.9123665480427046,-0.43961298932384346,1.0,-2.6406806049822062,-2.6939501779359434,0.0
2018-11-21,-1.4072457442164992,-2.8665429943256218,-0.41870362287210827,1.0,-2.598101265822785,-2.6216717590571803,0.0
2018-11-23,-1.405208106341251,-2.8460448899542383,-0.42176944868163,1.0,-2.601765090433646,-2.6208324253650033,0.0
2018-11-26,-1.4049253568704367,-2.8536558788275035,-0.4198539827830446,1.0,-2.5997602702408193,-2.618502778685845,0.0
2018-11-27,-1.4468419869633624,-2.9803326590244996,-0.3930096650932794,1.0,-2.702292650033715,-2.7161159811193527,0.0
2018-11-28,-1.4483417650365373,-2.9772906127037664,-0.39471613265879707,1.0,-2.704328274311411,-2.7175941540191118,0.0
2018-11-29,-1.3930796617712504,-2.9618380062305296,-0.3264352469959947,1.0,-2.708611481975968,-2.735981308411215,0.0
2018-11-30,-1.3919279519679786,-2.961307538358906,-0.32332666221925727,1.0,-2.7083611296419834,-2.733600177896375,0.0
2018-12-03,-1.3876123876123876,-2.9608169608169606,-0.3132423132423132,1.0,-2.706737706737707,-2.7314907314907315,0.0
