Date,IWF,IWM,MTUM,PHG,SPY,VLUE,VXX
2018-09-24,-0.2606813476378694,-0.4466672044311795,-0.13234384662956092,1.0,-0.4294856282433922,-0.419617649431314,0.0
2018-09-25,-0.2608485239554767,-0.4464698607302254,-0.13265580469968274,1.0,-0.42928967037694254,-0.41934182932731084,0.0
2018-09-26,-0.2635663092094627,-0.450584685024519,-0.13682168453952684,1.0,-0.429568356954249,-0.4138599989222395,0.0
2018-09-27,-0.2653885508104906,-0.44576983143949594,-0.13821422801443267,1.0,-0.4295869459852442,-0.41370025311002206,0.0
2018-09-28,-0.2629338219443846,-0.44880362147014446,-0.13871524035352445,1.0,-0.429887906876482,-0.4142056477689157,0.0
2018-10-01,-0.26629568599908154,-0.44839136659553197,-0.1378751451957103,1.0,-0.4331289337907561,-0.4155973959318187,0.0
2018-10-02,-0.2670232017934797,-0.44210355724819705,-0.14018312940604488,1.0,-0.43451368068497964,-0.4172001188450422,0.0
2018-10-03,-0.27362598241914726,-0.47356025960511544,-0.14242681490812498,1.0,-0.43637210066544346,-0.4124106580496755,0.0
2018-10-04,-0.2742902510471706,-0.4721165165494018,-0.14271634681194734,1.0,-0.4370739453007364,-0.41150381909272593,0.0
2018-10-05,-0.28014964788732394,-0.48046875,-0.14389854753521128,1.0,-0.4370873679577465,-0.40927596830985913,0.0
2018-10-08,-0.27939762015993846,-0.4792382313336448,-0.14276292286130426,1.0,-0.4377971364972932,-0.40885982027535794,0.0
2018-10-09,-0.2849813818783616,-0.482057647221073,-0.1521445317887188,1.0,-0.43541580471659086,-0.4036408771203972,0.0
2018-10-10,-0.28516669883903706,-0.48167553704878247,-0.15235915395858038,1.0,-0.435512781623142,-0.4029175743871163,0.0
2018-10-11,-0.2587148030049181,-0.4795708803977733,-0.11884559260660434,1.0,-0.4307950062152084,-0.41433821542452576,0.0
2018-10-12,-0.2648420151430024,-0.47430237846804185,-0.11828129598416139,1.0,-0.4182786205420446,-0.3997110522513846,0.0
