Date,IWF,IWM,MTUM,SPY,USFD,VLUE,VXX
2018-09-24,-0.5773002710891404,-0.9642002870355605,-0.1690320523042577,-0.7263195662573751,1.0,-0.549752830489555,0.0
2018-09-25,-0.5771132376395534,-0.964553429027113,-0.16870015948963316,-0.7266347687400319,1.0,-0.5502392344497608,0.0
2018-09-26,-0.5767972552461501,-0.964613420569696,-0.16695922763903295,-0.7277986116652039,1.0,-0.5533391845527806,0.0
2018-09-27,-0.5823987228098184,-0.9542606266214329,-0.17042506485731393,-0.7296348034324486,1.0,-0.554540011973658,0.0
2018-09-28,-0.5805627619237678,-0.9555777289962083,-0.17102374775493914,-0.7293953302733985,1.0,-0.554659748553183,0.0
2018-10-01,-0.5814538341782763,-0.9546125903157557,-0.171051055846074,-0.729950900163666,1.0,-0.5547882320067062,0.0
2018-10-02,-0.5812549960031975,-0.9641486810551559,-0.16882494004796164,-0.7288569144684253,1.0,-0.553717026378897,0.0
2018-10-03,-0.5806838153059594,-0.9576210257229588,-0.1681179102092986,-0.73058795334718,1.0,-0.5572375778878415,0.0
2018-10-04,-0.5882282330345711,-0.9497439180537771,-0.1691341229193342,-0.7410771446862997,1.0,-0.5530969910371318,0.0
2018-10-05,-0.5727592548173024,-0.9439913648356921,-0.1498760694011354,-0.7591348844646999,1.0,-0.5720396577916367,0.0
2018-10-08,-0.5707276208712302,-0.9403223232806766,-0.14640178713898197,-0.7610898356470399,1.0,-0.5706079463858305,0.0
2018-10-09,-0.5684105431309905,-0.9426118210862618,-0.1385782747603834,-0.766493610223642,1.0,-0.5775159744408945,0.0
2018-10-10,-0.5681863587325688,-0.9441003715986734,-0.13741159547688495,-0.7670116274423623,1.0,-0.5790546210093099,0.0
2018-10-11,-0.5148403158672734,-0.9521142101373167,-0.05302057805267047,-0.7640331427237717,1.0,-0.6059828062395456,0.0
2018-10-12,-0.5194685508025498,-0.9437831195760695,-0.046809000844789186,-0.7470240380923124,1.0,-0.5829045388219031,0.0
2018-10-15,-0.5042351768809169,-0.9704112529224639,-0.023226399908014263,-0.7481890307002416,1.0,-0.5866773983365913,0.0
2018-10-16,-0.5023960130343108,-0.9783783783783783,-0.0174429748897834,-0.7486294805443742,1.0,-0.5867740080506038,0.0
2018-10-17,-0.4867523461350016,-0.9413937361022123,-0.004334225304337994,-0.7439791957185391,1.0,-0.5924697546451588,0.0
