Date,INVH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23790563408321722,-0.47374576946048186,-0.0,-0.42345212024686446,-0.3534242484570974,0.0
2018-09-25,1.0,-0.23440762824867287,-0.4851183737137394,-0.0,-0.4321080836289532,-0.36427906508667324,0.0
2018-09-26,1.0,-0.23416781985155363,-0.4849666624732671,-0.0,-0.43218014844634545,-0.36469996225940365,0.0
2018-09-27,1.0,-0.23235450876881297,-0.5004695312301718,-0.0,-0.4363087231288546,-0.36887388644958247,0.0
2018-09-28,1.0,-0.23170050761421318,-0.5011675126903553,-0.0,-0.436243654822335,-0.36895939086294416,0.0
2018-10-01,1.0,-0.23133607765411393,-0.5033795802205621,-0.0,-0.436448645626874,-0.36984804594196274,0.0
2018-10-02,1.0,-0.23077118730287924,-0.5089022281005189,-0.0,-0.4351917794282226,-0.3686285481737715,0.0
2018-10-03,1.0,-0.23025880917272587,-0.5037372247928001,-0.0,-0.4367214115014999,-0.3716377688513754,0.0
2018-10-04,1.0,-0.23654571399449595,-0.4979105086127815,-0.0,-0.4454184079094894,-0.3683110794006727,0.0
2018-10-05,1.0,-0.2307516447786217,-0.49511011761119716,-0.0,-0.4459826758452511,-0.3683542052988544,0.0
2018-10-08,1.0,-0.22913443737161118,-0.4930131115112475,-0.0,-0.44652684436103574,-0.36740128325429233,0.0
2018-10-09,1.0,-0.22324516785350965,-0.4945829094608342,-0.0,-0.4510935910478128,-0.3743133265513734,0.0
2018-10-10,1.0,-0.2242023643065972,-0.49380958433964667,-0.0,-0.4516588280157621,-0.37261980424558283,0.0
2018-10-11,1.0,-0.18584597085935178,-0.48275349390425215,-0.0,-0.43708494399841413,-0.37226186936267225,0.0
2018-10-12,1.0,-0.18059044444997138,-0.48725346332728137,-0.0,-0.4428333374785486,-0.3764269903250678,0.0
2018-10-15,1.0,-0.16110614636083806,-0.505188164035349,-0.0,-0.43930592791182604,-0.37677489822261945,0.0
