Date,GBUY,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-04,1.0,-0.4298213881980556,-0.18241012887180647,-0.241465068957721,-0.28602758308840154,-0.12116210716708116,0.0
2019-11-05,1.0,-0.42971188203898864,-0.18083133565516304,-0.23648740331991494,-0.2874847347234158,-0.12700710118051473,0.0
2019-11-06,1.0,-0.4306397611075921,-0.18045878201067775,-0.2381911139263415,-0.2874174282870329,-0.12553162609718577,0.0
2019-11-07,1.0,-0.4308565998461469,-0.18299470564278925,-0.23623240870627632,-0.2875469478256935,-0.12491515453187928,0.0
2019-11-08,1.0,-0.42989385057601337,-0.18448271959803544,-0.23920965077065842,-0.28703347441323585,-0.12267161577982481,0.0
2019-11-11,1.0,-0.4303914912876216,-0.18424983027834352,-0.2346232179226069,-0.2911292147544693,-0.12258429508938674,0.0
2019-11-12,1.0,-0.4303107108103827,-0.18429925999683178,-0.23480956799203423,-0.2909773925637602,-0.12260969924641879,0.0
2019-11-13,1.0,-0.43001335234344945,-0.18437549505510673,-0.23495598252879807,-0.29096793174463076,-0.12279629755357911,0.0
2019-11-14,1.0,-0.4302557139624349,-0.18445349626612356,-0.23387644263408008,-0.29099343742928263,-0.12335369993211134,0.0
2019-11-15,1.0,-0.4280022637238257,-0.18496887379739674,-0.23621958121109227,-0.29034521788341827,-0.12416525183927563,0.0
2019-11-18,1.0,-0.4280152118797537,-0.18503259688518653,-0.23621423397319813,-0.2903386454183267,-0.12407189424121695,0.0
2019-11-19,1.0,-0.42841294996604035,-0.1841747792619425,-0.23669911704777,-0.2904233642743944,-0.12426986642517547,0.0
2019-11-20,1.0,-0.4286522831722171,-0.18183876298929164,-0.2347694188494714,-0.29123180367209256,-0.1274139141065405,0.0
2019-11-21,1.0,-0.4288205058533161,-0.18137354799266353,-0.23472137309512486,-0.2912392726943369,-0.12820687000430223,0.0
2019-11-22,1.0,-0.4291890179036238,-0.178674090672461,-0.2308458387089473,-0.29358774133677373,-0.13111971209343384,0.0
2019-11-25,1.0,-0.42735817008266336,-0.17884724266787452,-0.2313441286377534,-0.29407768089684067,-0.1331219567432907,0.0
2019-11-26,1.0,-0.42757464546237145,-0.18075755516288344,-0.231298989624394,-0.29341670064790903,-0.13236826605047347,0.0
2019-11-27,1.0,-0.42694514366056646,-0.18189445994058553,-0.2362518992221693,-0.29392022133024925,-0.12869356192031206,0.0
2019-11-29,1.0,-0.4272362242235884,-0.18273178920623398,-0.23626959460992267,-0.29407227603729497,-0.12824119235044576,0.0
2019-12-02,1.0,-0.42780991266870816,-0.18271520925484858,-0.23586253827832596,-0.2940002268345242,-0.12795735510944767,0.0
2019-12-03,1.0,-0.4291442033253296,-0.18196439088479135,-0.23261450641054682,-0.29395641734245453,-0.12750872106193087,0.0
2019-12-04,1.0,-0.4275887038377987,-0.18754525706010136,-0.2380295076031861,-0.29030141202027515,-0.11936549601737871,0.0
2019-12-05,1.0,-0.4283161822910777,-0.1871989143955671,-0.2380640054280222,-0.2894040483998643,-0.11867013456971617,0.0
2019-12-06,1.0,-0.42783785006560193,-0.18707867710265574,-0.2384970366013663,-0.28959869700945573,-0.11910147943718048,0.0
2019-12-09,1.0,-0.4273502340622809,-0.18652615391573757,-0.24000995047377824,-0.28831497772450754,-0.11924738234695492,0.0
2019-12-10,1.0,-0.42942107643600186,-0.18573043871551334,-0.23898688376300317,-0.2886024423337857,-0.11865671641791047,0.0
2019-12-11,1.0,-0.42934672003256225,-0.18607964181534495,-0.23883499536440314,-0.28846980078239826,-0.11853560364516202,0.0
2019-12-12,1.0,-0.4299190155182554,-0.18479391937746006,-0.2389720852372981,-0.28885219201013435,-0.11957652807311224,0.0
2019-12-13,1.0,-0.4309841958895747,-0.18585091229736145,-0.2410409459856655,-0.2870514820592823,-0.11605507698568812,0.0
2019-12-16,1.0,-0.4295081967213115,-0.18629734313171287,-0.24067834934991522,-0.2869417750141323,-0.11773883550028265,0.0
2019-12-17,1.0,-0.4308552795453001,-0.18545775684427435,-0.24086863975000566,-0.2871538235094314,-0.12010597586105386,0.0
2019-12-18,1.0,-0.42982336956521744,-0.18788496376811595,-0.2402626811594203,-0.2875,-0.11902173913043479,0.0
2019-12-19,1.0,-0.43022123593215733,-0.18819773102964155,-0.23994021874504654,-0.2868820905323702,-0.11920019927084985,0.0
2019-12-20,1.0,-0.4300271739130435,-0.1882019927536232,-0.24003623188405795,-0.286911231884058,-0.11929347826086956,0.0
2019-12-23,1.0,-0.4302857401621156,-0.1886745460308835,-0.23946021826744557,-0.28716659874111305,-0.11859801657383509,0.0
2019-12-24,1.0,-0.4314466832691872,-0.18886121802128142,-0.2375594294770206,-0.28797826579126107,-0.11811184061580259,0.0
2019-12-26,1.0,-0.43069329348367524,-0.18958022007879363,-0.23835076755875562,-0.28766471946746364,-0.1178961191867047,0.0
2019-12-27,1.0,-0.43132770216716865,-0.1890441359632238,-0.2380715143005956,-0.2881858737743156,-0.11789216241309813,0.0
2019-12-30,1.0,-0.4317770129517254,-0.18913594783081242,-0.23761434652658275,-0.28810796123539534,-0.11762974368263746,0.0
2019-12-31,1.0,-0.4350733244180512,-0.18672227385026857,-0.23699539880776987,-0.28960311883768897,-0.11820304177338561,0.0
2020-01-02,1.0,-0.4347727530318486,-0.18660319619177151,-0.23719823189391365,-0.28969738184291055,-0.11850844383996373,0.0
2020-01-03,1.0,-0.45790647907845017,-0.1734052725037563,-0.22396758184218912,-0.30250876474070026,-0.11879069343896553,0.0
2020-01-06,1.0,-0.4591077644061241,-0.1739882157563073,-0.22351388857292354,-0.30149919239256545,-0.11684145869827331,0.0
2020-01-07,1.0,-0.4586736434990331,-0.17401888294847004,-0.2238425662609487,-0.30137640768968266,-0.11711978159481287,0.0
2020-01-08,1.0,-0.4585429137173681,-0.1708127546259417,-0.22529986116484968,-0.2970161822609646,-0.12431435919612173,0.0
2020-01-09,1.0,-0.45700111508090024,-0.17108526955374007,-0.22574699041940696,-0.29677081673986755,-0.12507111485333272,0.0
2020-01-10,1.0,-0.45692440722705135,-0.17116461111363945,-0.22566331406726434,-0.2966367815045738,-0.12515359759705091,0.0
