Date,IWF,IWM,MTUM,SPY,VCTR,VLUE,VXX
2018-10-08,-0.0,-1.775315770479971,-0.0,-2.808300252616384,1.0,-1.6339949476723203,0.0
2018-10-09,-0.0,-1.794183769671477,-0.0,-2.8257306548698233,1.0,-1.6323156138951336,0.0
2018-10-10,-0.0,-1.7963797615585928,-0.0,-2.860279150915964,1.0,-1.612896190753126,0.0
2018-10-11,-0.0,-1.6385333333333334,-0.0,-2.3824666666666667,1.0,-1.6456666666666668,0.0
2018-10-12,-0.0,-1.5712742294248492,-0.0,-2.2703527168732127,1.0,-1.5135684779154752,0.0
2018-10-15,-0.0,-1.8265258683668724,-0.0,-2.2443381815766754,1.0,-1.5706315999203029,0.0
2018-10-16,-0.0,-1.8428704195432821,-0.0,-2.2334705257567715,1.0,-1.5620021242697824,0.0
2018-10-17,-0.0,-1.6388676358071919,-0.0,-2.152512114256567,1.0,-1.584480999744963,0.0
2018-10-18,-0.0,-1.6332292396915429,-0.0,-2.1567777706965776,1.0,-1.5831368300299535,0.0
2018-10-19,-0.0,-1.5641932428165457,-0.0,-2.171392485001579,1.0,-1.579538995895169,0.0
2018-10-22,-0.0,-1.5312618416066692,-0.0,-2.1883289124668432,1.0,-1.5959959580649234,0.0
2018-10-23,-0.0,-1.5311553985872854,-0.0,-2.1827068617558023,1.0,-1.5929616548940466,0.0
2018-10-24,-0.0,-1.5102464168971586,-0.0,-2.1811038471209456,1.0,-1.5947950716620567,0.0
2018-10-25,-0.0,-1.2908235294117645,-0.0,-2.2085882352941177,1.0,-1.3828823529411762,0.0
2018-10-26,-0.0,-1.2401741654571845,-0.0,-2.239303338171263,1.0,-1.3260957910014515,0.0
2018-10-29,-0.0,-1.2394921942014068,-0.0,-2.1598902041516554,1.0,-1.3191513695888375,0.0
2018-10-30,-0.0,-1.2314597747155356,-0.0,-2.1416318828978214,1.0,-1.3447881525530334,0.0
2018-10-31,-0.0,-1.161529391948796,-0.0,-2.132109370613666,1.0,-1.3208691258211218,0.0
2018-11-01,-0.0,-1.1674970609640039,-0.0,-2.1178973296758663,1.0,-1.3127694116329842,0.0
2018-11-02,-0.0,-1.0958344827586206,-0.0,-2.1341793103448277,1.0,-1.2872275862068965,0.0
2018-11-05,-0.0,-1.1177798579373384,-0.0,-2.1326468806783767,1.0,-1.255933043334618,0.0
2018-11-06,-0.0,-1.1232258774342612,-0.0,-2.1285619980195842,1.0,-1.2493673671471008,0.0
2018-11-07,-0.0,-1.1227182757862326,-0.0,-2.1268968550692766,1.0,-1.2485155047283925,0.0
2018-11-08,-0.0,-1.4536541314584275,-0.0,-2.380700509578791,1.0,-1.6159453009095015,0.0
2018-11-09,-0.0,-1.4909462039902548,-0.0,-2.440508329492329,1.0,-1.6531243826957265,0.0
2018-11-12,-0.0,-1.5091062513184725,-0.0,-2.7187258280008435,1.0,-1.804022220659588,0.0
2018-11-13,-0.0,-1.5782497253753205,-0.0,-2.8559502013914315,1.0,-1.8891248626876602,0.0
2018-11-14,-0.0,-1.5762277684256751,-0.0,-2.8553026421722905,1.0,-1.887506404157213,0.0
2018-11-15,-0.0,-1.580103642069922,-0.0,-2.8738778191372893,1.0,-1.8446828698635138,0.0
2018-11-16,-0.0,-1.5424121695038029,-0.0,-2.850488953277798,1.0,-1.8508511408909816,0.0
2018-11-19,-0.0,-1.5416485585977113,-0.0,-2.8506446472548173,1.0,-1.8509343763581052,0.0
2018-11-20,-0.0,-1.4658510255487587,-0.0,-2.8089960417416338,1.0,-1.921986326016553,0.0
2018-11-21,-0.0,-1.423628102062216,-0.0,-2.776861237329605,1.0,-1.790073400908773,0.0
2018-11-23,-0.0,-1.4197987983792093,-0.0,-2.7773508453262545,1.0,-1.789017744865167,0.0
2018-11-26,-0.0,-1.447064586103142,-0.0,-2.770135050031488,1.0,-1.7801413477013506,0.0
2018-11-27,-0.0,-1.4449132028494363,-0.0,-2.730271803029255,1.0,-1.7408534476796458,0.0
2018-11-28,-0.0,-1.449578088255637,-0.0,-2.727071517498963,1.0,-1.7399363674090471,0.0
2018-11-29,-0.0,-1.3872328841704098,-0.0,-2.669593031169185,1.0,-1.7487409827140332,0.0
2018-11-30,-0.0,-1.3864625850340135,-0.0,-2.670204081632653,1.0,-1.7461224489795921,0.0
2018-12-03,-0.0,-1.3841243973653832,-0.0,-2.6654444218102804,1.0,-1.740680382970055,0.0
