Date,IWF,IWM,MTUM,SGRY,SPY,VLUE,VXX
2018-09-24,-0.8212827288013451,-1.644367042997838,-0.09067979822243574,1.0,-1.2519216910881574,-1.1970333893826568,0.0
2018-09-25,-0.825108069164265,-1.6410302593659942,-0.09684197886647453,1.0,-1.2489193083573487,-1.1919428434197887,0.0
2018-09-26,-0.8316664658392577,-1.6510422942523197,-0.10495240390408485,1.0,-1.252018315459694,-1.1851427882877457,0.0
2018-09-27,-0.8331929233361416,-1.6430376699963896,-0.10687206643398725,1.0,-1.2506920207004453,-1.1837164520399568,0.0
2018-09-28,-0.8340154068367839,-1.642212325469427,-0.10766730861819933,1.0,-1.2506620125180548,-1.1837385652383245,0.0
2018-10-01,-0.8370316478719534,-1.661331393233903,-0.11058566751546016,1.0,-1.2592457863465503,-1.1946162240814842,0.0
2018-10-02,-0.8381995133819952,-1.686800486618005,-0.10577858880778589,1.0,-1.2585766423357665,-1.1933698296836983,0.0
2018-10-03,-0.8376193081646301,-1.682229922791659,-0.10578150647455772,1.0,-1.2589215149857134,-1.194783877439358,0.0
2018-10-04,-0.8379725294761153,-1.6801993436246505,-0.10696487176370488,1.0,-1.258660508083141,-1.1937522790810746,0.0
2018-10-05,-0.8237144585601935,-1.6749546279491834,-0.08693284936479129,1.0,-1.2641258318209316,-1.1998790078644888,0.0
2018-10-08,-0.8212172442941674,-1.6712957372298032,-0.08356478686149016,1.0,-1.2641589180050719,-1.197802197802198,0.0
2018-10-09,-0.8201304190315181,-1.6719599082236445,-0.08048544861731675,1.0,-1.2656080183552711,-1.1996739524212052,0.0
2018-10-10,-0.8245211191008519,-1.6706145386428182,-0.08435555018430117,1.0,-1.2690797027010696,-1.1940902773581485,0.0
2018-10-11,-0.7272092210967517,-1.653684945860985,-0.0,1.0,-1.233962044475492,-1.2064850390033763,0.0
2018-10-12,-0.7452933387068916,-1.6487420116299154,-0.0,1.0,-1.1990327595140768,-1.1642581610916,0.0
2018-10-15,-0.6744227040366648,-1.7820671014748222,-0.0,1.0,-1.217110288501087,-1.2022445502085903,0.0
2018-10-16,-0.6619701633909544,-1.8267819085957853,-0.0,1.0,-1.2232417712526642,-1.2080274686242007,0.0
2018-10-17,-0.6299600301222267,-1.7638880843422347,-0.0,1.0,-1.199733534148178,-1.1992121879163529,0.0
2018-10-18,-0.6288331111239928,-1.7614631035881976,-0.0,1.0,-1.205321430641702,-1.2011477595501712,0.0
2018-10-19,-0.5965527147371444,-1.7419706980752656,-0.0,1.0,-1.207756391841425,-1.1992530881930479,0.0
2018-10-22,-0.5973466574776017,-1.7378244888582588,-0.0,1.0,-1.2081897541925108,-1.1997473007121526,0.0
2018-10-23,-0.5918925206467373,-1.7599162498546002,-0.0,1.0,-1.239095033151099,-1.225078515761312,0.0
2018-10-24,-0.5881464264962232,-1.753922138291691,-0.0,1.0,-1.2401510749564206,-1.2283556072051134,0.0
2018-10-25,-0.5233665682615719,-1.6624519578900463,-0.0,1.0,-1.224475018102824,-1.1598061605302734,0.0
2018-10-26,-0.4838316046369738,-1.6500083199290034,-0.0,1.0,-1.2575850019413166,-1.155249875201065,0.0
2018-10-29,-0.44579908423898057,-1.666850554421581,-0.0,1.0,-1.2406355160809843,-1.163347492690462,0.0
2018-10-30,-0.4105835367206568,-1.6785555802085645,-0.0,1.0,-1.2529953405813181,-1.204848014200133,0.0
2018-10-31,-0.41330623008460615,-1.645588396879464,-0.0,1.0,-1.2432150313152401,-1.19184704977475,0.0
2018-11-01,-0.38394424934152765,-1.6687884108867426,-0.0,1.0,-1.241933713784021,-1.192603160667252,0.0
2018-11-02,-0.3857205287883754,-1.6506063585709603,-0.0,1.0,-1.2403583524527477,-1.1858953348628865,0.0
2018-11-05,-0.38097837955885566,-1.6630814588338065,-0.0,1.0,-1.240609303341341,-1.1750382179515177,0.0
2018-11-06,-0.39203148057058534,-1.6732797726403235,-0.0,1.0,-1.2350112040225174,-1.164999726731158,0.0
2018-11-07,-0.3918452348331232,-1.6810434591987726,-0.0,1.0,-1.2375184961911547,-1.1700005480352935,0.0
2018-11-08,-0.33112980769230765,-1.7020323426573425,-0.0,1.0,-1.2317526223776223,-1.1983719405594404,0.0
2018-11-09,-0.33641456582633056,-1.745826330532213,-0.0,1.0,-1.2839775910364146,-1.2360224089635854,0.0
2018-11-12,-0.3331476012704073,-1.72535799855129,-0.0,1.0,-1.2848944113222267,-1.2285061570178861,0.0
2018-11-13,-0.28374427712504824,-1.7219923878868113,-0.0,1.0,-1.2884328975674335,-1.2218544872855646,0.0
2018-11-14,-0.28281879935936377,-1.7251339261059258,-0.0,1.0,-1.2904401612635996,-1.2243331308333794,0.0
2018-11-15,-0.28061083852472574,-1.726721428965213,-0.0,1.0,-1.2943381663818292,-1.21125751143944,0.0
2018-11-16,-0.2733072988284473,-1.7094219239865796,-0.0,1.0,-1.2938782245201035,-1.223640063802871,0.0
2018-11-19,-0.290120722117621,-1.7165245320633515,-0.0,1.0,-1.2991471923801086,-1.231863993797763,0.0
2018-11-20,-0.2379592509198748,-1.7044318743478502,-0.0,1.0,-1.299082871107694,-1.2502608600142786,0.0
2018-11-21,-0.24550149497145962,-1.6949170970372385,-0.0,1.0,-1.2942103832563197,-1.2016308779559661,0.0
