Date,IWF,IWM,MOH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6367771572689606,-1.1794271302468025,1.0,-0.08511979823455233,-0.8621869933345344,-0.7401369122680599,0.0
2018-09-25,-0.6370553804592526,-1.1786132372805043,1.0,-0.0859972985141828,-0.8615038271049078,-0.7393066186402523,0.0
2018-09-26,-0.6371266131215594,-1.1802183918418916,1.0,-0.08216767439761755,-0.8653099900730981,-0.7474054688205035,0.0
2018-09-27,-0.6374458874458875,-1.1774891774891776,1.0,-0.08301767676767675,-0.864628427128427,-0.7467983405483405,0.0
2018-09-28,-0.6350802814360454,-1.1795958867039509,1.0,-0.08384448854410968,-0.8645589031210535,-0.7471134764567923,0.0
2018-10-01,-0.6352771388625806,-1.1790465881928471,1.0,-0.08415640644026517,-0.8645199116042033,-0.7470346818202318,0.0
2018-10-02,-0.635478198133201,-1.1754069531496596,1.0,-0.0859899896288948,-0.864724714794607,-0.7475763178067367,0.0
2018-10-03,-0.635232600072124,-1.173368193292463,1.0,-0.08623332131265778,-0.8647223223945185,-0.7481518211323477,0.0
2018-10-04,-0.6448784015911763,-1.165355754452581,1.0,-0.08765030286592533,-0.8783111834373022,-0.7441460989060663,0.0
2018-10-05,-0.6319316393073983,-1.157994153361817,1.0,-0.07141893411288508,-0.8849561502136272,-0.7510681358219025,0.0
2018-10-08,-0.6300058429592341,-1.1549283113847815,1.0,-0.06449728077666413,-0.8930289001752888,-0.7521236909524023,0.0
2018-10-09,-0.630332179619724,-1.1553917382118937,1.0,-0.06459297882860611,-0.8930192834988988,-0.7516968580033262,0.0
2018-10-10,-0.63147016534867,-1.153891085549964,1.0,-0.06578001437814522,-0.8934669302659957,-0.7485621854780733,0.0
2018-10-11,-0.5700922437313239,-1.1391451214758996,1.0,-0.0,-0.869083192585856,-0.7523710536572691,0.0
2018-10-12,-0.5843989222939742,-1.1325749476115126,1.0,-0.0,-0.8417653851088397,-0.7178719582602746,0.0
2018-10-15,-0.5540626999360204,-1.159948816378759,1.0,-0.0,-0.8346769033909149,-0.7166133503945404,0.0
2018-10-16,-0.5545128817607917,-1.1594011260876982,1.0,-0.0,-0.8347978160723426,-0.7168145367684695,0.0
2018-10-17,-0.5296992481203008,-1.110735171261487,1.0,-0.0,-0.8209273182957394,-0.7157059314954052,0.0
2018-10-18,-0.5294461615570963,-1.110475315345418,1.0,-0.0,-0.8211928828001003,-0.7156461448500543,0.0
2018-10-19,-0.508613549776379,-1.0949975153221798,1.0,-0.0,-0.8240019877422561,-0.7135166473413947,0.0
2018-10-22,-0.5206272719587455,-1.1470961197058078,1.0,-0.0,-0.8342209823315581,-0.7249133485501733,0.0
2018-10-23,-0.5213624646071926,-1.1468959979715168,1.0,-0.0,-0.833368550057051,-0.7243798334953303,0.0
2018-10-24,-0.5192656678624182,-1.1432369698248577,1.0,-0.0,-0.8330871491875923,-0.7246676514032496,0.0
2018-10-25,-0.47501725047692495,-1.0782968705605391,1.0,-0.0,-0.8292811624791979,-0.6763404635304623,0.0
2018-10-26,-0.45548878205128207,-1.0588942307692308,1.0,-0.0,-0.8291666666666667,-0.6628205128205129,0.0
2018-10-29,-0.4493761996161228,-1.0609804862444017,1.0,-0.0,-0.8270553422904671,-0.6612683941138835,0.0
2018-10-30,-0.45787765893522414,-1.0628129631855145,1.0,-0.0,-0.8285863077354485,-0.6566117854424549,0.0
2018-10-31,-0.46371800985534894,-1.0352090287712608,1.0,-0.0,-0.825584167858846,-0.6494198060721666,0.0
2018-11-01,-0.4468819422405585,-1.0472072357981592,1.0,-0.0,-0.8239447794350999,-0.6489606474135196,0.0
2018-11-02,-0.46137049388597745,-1.002699698269017,1.0,-0.0,-0.8548515165952041,-0.6511831030649515,0.0
2018-11-05,-0.46238481093104544,-1.0007944073721005,1.0,-0.0,-0.8552192564346998,-0.65363838576422,0.0
2018-11-06,-0.46151400755016886,-1.0,1.0,-0.0,-0.8565467911782237,-0.655712298827737,0.0
2018-11-07,-0.46040135108285324,-1.0017484601629247,1.0,-0.0,-0.855434134710908,-0.6561891515994437,0.0
2018-11-08,-0.49615590182132135,-1.0346174402828598,1.0,-0.0,-0.898861160218723,-0.681659334786005,0.0
2018-11-09,-0.4967922355650601,-1.0347919065635796,1.0,-0.0,-0.8987497943740748,-0.6821845698305643,0.0
2018-11-12,-0.4957446808510638,-1.016734860883797,1.0,-0.0,-0.9023322422258593,-0.6768821603927987,0.0
2018-11-13,-0.46613432775323255,-1.0119573588423654,1.0,-0.0,-0.9057597989542376,-0.6694904949130558,0.0
2018-11-14,-0.46921452359678334,-1.012630980424011,1.0,-0.0,-0.9088213792543254,-0.6707822272764195,0.0
2018-11-15,-0.4721935083729584,-1.0322100475501343,1.0,-0.0,-0.9247880917924333,-0.7056026462683481,0.0
2018-11-16,-0.46554003801338734,-1.0197091149491777,1.0,-0.0,-0.9272374183951739,-0.7194446739938848,0.0
2018-11-19,-0.4709020970343715,-1.0195226868511393,1.0,-0.0,-0.9259626918145345,-0.7198163543864002,0.0
2018-11-20,-0.4643565174293739,-1.0190814472162564,1.0,-0.0,-0.9267305468362795,-0.7200561704939699,0.0
2018-11-21,-0.48140512905087823,-1.022470520326544,1.0,-0.0,-0.9385256040240785,-0.6806299991753938,0.0
2018-11-23,-0.4812207544825872,-1.0372272143774068,1.0,-0.0,-0.9387138183775725,-0.6837964304940163,0.0
2018-11-26,-0.47966397737669464,-1.0565582633286201,1.0,-0.0,-0.9393246277967229,-0.6831489644847376,0.0
2018-11-27,-0.46507192902450145,-1.0667468181252848,1.0,-0.0,-0.935947929190332,-0.6779984246092616,0.0
2018-11-28,-0.46407831425253027,-1.0729633316741332,1.0,-0.0,-0.9337979094076655,-0.6772025883524141,0.0
2018-11-29,-0.4417632840345774,-1.0562087754516776,1.0,-0.0,-0.9237985988774632,-0.6750788643533123,0.0
2018-11-30,-0.4449313709277327,-1.0703654704812304,1.0,-0.0,-0.9424921448652224,-0.6765338184223582,0.0
