Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YIN
2018-09-24,-0.927142556327648,-2.0254088580051937,-0.14164385484663436,-1.5387800940548886,-1.3860461851617885,0.0,1.0
2018-09-25,-0.9272229630149483,-2.0246333076005336,-0.14239595761106041,-1.5382833883079514,-1.3855709172573514,0.0,1.0
2018-09-26,-0.9292153824482321,-2.0304268206789686,-0.13762501760811383,-1.5464149880264826,-1.3995633187772927,0.0,1.0
2018-09-27,-0.9892851790798742,-2.1991607972426195,-0.14843398771167393,-1.6531545032219392,-1.5029222238873072,0.0,1.0
2018-09-28,-0.9885369532428356,-2.221945701357466,-0.1515082956259427,-1.6648567119155355,-1.5147058823529411,0.0,1.0
2018-10-01,-0.9923739051646028,-2.2216852914527334,-0.15169133192389006,-1.6683026276049533,-1.5165357897916036,0.0,1.0
2018-10-02,-0.9935853897819034,-2.206399517017584,-0.15757301335748247,-1.669987170779564,-1.5189796996453098,0.0,1.0
2018-10-03,-1.2294559929234852,-2.6360902255639096,-0.28217602830605926,-1.9392304290137108,-1.7586908447589562,0.0,1.0
2018-10-04,-1.3354387979710978,-2.8664944013781226,-0.3379270743611829,-2.082113120872811,-1.9483204134366927,0.0,1.0
2018-10-05,-1.3458788480635553,-2.960377358490566,-0.29145978152929497,-2.231380337636544,-2.101390268123138,0.0,1.0
2018-10-08,-1.3343206951026858,-2.9411532385466033,-0.2802132701421801,-2.2277843601895735,-2.0902448657187995,0.0,1.0
2018-10-09,-1.3905410987195375,-3.077963651383726,-0.25082610491532426,-2.3696819496076,-2.23729863692689,0.0,1.0
2018-10-10,-1.4045729797452495,-3.1169346418876596,-0.24796408435999165,-2.3974733764877842,-2.273543537272917,0.0,1.0
2018-10-11,-1.2387303556658396,-3.2265301902398678,-0.0,-2.444375516956162,-2.4294871794871793,0.0,1.0
2018-10-12,-1.4375835934016943,-3.515046812304949,-0.0,-2.618925546143558,-2.5743423985733394,0.0,1.0
2018-10-15,-1.3495243424734191,-3.6316731952993844,-0.0,-2.6172355903749303,-2.5933967543368777,0.0,1.0
2018-10-16,-1.3787738039944264,-3.8267533673943337,-0.0,-2.7166744078030653,-2.689503019043195,0.0,1.0
2018-10-17,-1.3401804796960342,-3.8146521016385657,-0.0,-2.842673949180717,-2.8760389456186175,0.0,1.0
2018-10-18,-1.3768239299610896,-3.8906857976653697,-0.0,-2.936892023346304,-2.955252918287938,0.0,1.0
2018-10-19,-1.3003861935795318,-3.851677528361091,-0.0,-2.9536567704561913,-2.96282886797007,0.0,1.0
2018-10-22,-1.2990361445783132,-3.824578313253012,-0.0,-2.9579518072289157,-2.966626506024096,0.0,1.0
2018-10-23,-1.4064540431943746,-3.9856855851330986,-0.0,-3.074460070316424,-3.089904570567554,0.0,1.0
2018-10-24,-1.3924240530066259,-3.9673709213651707,-0.0,-3.0622577822227774,-3.0795099387423424,0.0,1.0
2018-10-25,-1.2115593016255268,-3.7711017459361833,-0.0,-3.107164358819988,-2.9511137868753763,0.0,1.0
2018-10-26,-1.1134710161933818,-3.6668622389110532,-0.0,-3.081788312602675,-2.872213095517484,0.0,1.0
2018-10-29,-1.019130434782609,-3.680115942028986,-0.0,-3.0246956521739135,-2.8702608695652176,0.0,1.0
2018-10-30,-0.9873711041594254,-3.679527285366701,-0.0,-3.0247943459622295,-2.894566098945661,0.0,1.0
2018-10-31,-1.0578916021441334,-3.709112567004169,-0.0,-3.151518761167362,-2.9933293627159028,0.0,1.0
2018-11-01,-1.0074380165289256,-3.71086186540732,-0.0,-3.1204250295159386,-2.967650531286895,0.0,1.0
2018-11-02,-1.0096087057189165,-3.555452651076638,-0.0,-3.104306552442695,-2.9072702014355176,0.0,1.0
2018-11-05,-1.011670399622775,-3.6867853353766353,-0.0,-3.17246257220323,-2.9173641400447954,0.0,1.0
2018-11-06,-1.0198963974570285,-3.6890746409230046,-0.0,-3.16105486225571,-2.90287261596421,0.0,1.0
2018-11-07,-1.0136150234741785,-3.681220657276995,-0.0,-3.148474178403756,-2.8938967136150238,0.0,1.0
2018-11-08,-0.8819897084048028,-3.6316752429959975,-0.0,-3.0582046883933676,-2.8632361349342483,0.0,1.0
2018-11-09,-0.8846507352941175,-3.6483226102941173,-0.0,-3.0786994485294112,-2.8772977941176467,0.0,1.0
2018-11-12,-0.8796433878157504,-3.5794947994056465,-0.0,-3.104697679734827,-2.8661561321293862,0.0,1.0
2018-11-13,-0.7575050033355569,-3.508450077829664,-0.0,-3.053591283077607,-2.7990882810762727,0.0,1.0
2018-11-14,-0.7605004468275246,-3.5263628239499556,-0.0,-3.0691465594280607,-2.814678284182306,0.0,1.0
2018-11-15,-0.8006725417439703,-3.6757884972170687,-0.0,-3.229243970315399,-2.8899582560296846,0.0,1.0
2018-11-16,-0.7852760736196319,-3.6417409422386853,-0.0,-3.2309295057298297,-2.917583053594166,0.0,1.0
2018-11-19,-0.7846723778652467,-3.6423940727020145,-0.0,-3.2316508451030335,-2.918036582542255,0.0,1.0
2018-11-20,-0.6037937166567873,-3.725074096028453,-0.0,-3.3830468286899826,-3.1434499110847662,0.0,1.0
2018-11-21,-0.6055864626796477,-3.658205841446454,-0.0,-3.3297403801576264,-2.9967547519703293,0.0,1.0
2018-11-23,-0.6096207215541166,-3.6098519888991674,-0.0,-3.344935245143386,-2.9989592969472714,0.0,1.0
2018-11-26,-0.6075480435285946,-3.631743459134059,-0.0,-3.3423246121787455,-2.9952535309099333,0.0,1.0
2018-11-27,-0.5645927470744989,-3.67581971961534,-0.0,-3.3492063492063493,-2.996524157108099,0.0,1.0
2018-11-28,-0.5852944620067908,-3.6783748975529797,-0.0,-3.403582718651212,-3.041095890410959,0.0,1.0
2018-11-29,-0.44993467157619665,-3.735004157263333,-0.0,-3.5137189689986936,-3.1793562180781567,0.0,1.0
2018-11-30,-0.47544778847325453,-3.834897039112952,-0.0,-3.6237358352625804,-3.250639697818935,0.0,1.0
2018-12-03,-0.4757233329194088,-3.9174220787284235,-0.0,-3.704209611324972,-3.320501676393891,0.0,1.0
2018-12-04,-0.4334032835452414,-3.925935069744476,-0.0,-3.6801629428465623,-3.3046537464510557,0.0,1.0
2018-12-06,-0.3517128108869076,-3.5915063350539658,-0.0,-3.64875645236978,-3.1396058188643834,0.0,1.0
2018-12-07,-0.34975369458128075,-3.591484869809993,-0.0,-3.6493079990616937,-3.1382828993666427,0.0,1.0
2018-12-10,-0.2523851786110495,-3.437652540492567,-0.0,-3.4636121588639894,-2.9400931883736408,0.0,1.0
2018-12-11,-0.2924264459111758,-3.4536301599731516,-0.0,-3.504306969459671,-2.9365700861393895,0.0,1.0
2018-12-12,-0.3003815080789946,-3.4622980251346496,-0.0,-3.5170556552962298,-2.9409784560143626,0.0,1.0
2018-12-13,-0.3026948451302695,-3.446270826344627,-0.0,-3.504640500950464,-2.9283238286928324,0.0,1.0
2018-12-14,-0.3225770308123249,-3.406050420168067,-0.0,-3.5392717086834735,-2.9366946778711487,0.0,1.0
2018-12-17,-0.2493596168838401,-3.403497048669117,-0.0,-3.492036975164272,-2.9923154026060805,0.0,1.0
2018-12-18,-0.1865761524143217,-3.332639877367787,-0.0,-3.452753750136867,-2.977334939231359,0.0,1.0
2018-12-19,-0.18151923709306148,-3.3379370821001864,-0.0,-3.4594979721582813,-2.9823522963937297,0.0,1.0
2018-12-20,-0.19712430426716143,-3.4758812615955477,-0.0,-3.7495361781076064,-3.1730055658627085,0.0,1.0
