Date,HZNP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5767220498873922,-1.1479624357285514,-0.12216886924743976,-0.7265542004844261,-0.6759444184761823,0.0
2018-09-25,1.0,-0.5854719072384686,-1.14788131980561,-0.1318953022423054,-0.7260636030352118,-0.6716258845596385,0.0
2018-09-26,1.0,-0.5877106891401749,-1.1510134414337527,-0.13569447407723492,-0.72600810753147,-0.6666951141455087,0.0
2018-09-27,1.0,-0.5889324693042293,-1.1458901773533425,-0.13706514324693042,-0.725443383356071,-0.6660129604365621,0.0
2018-09-28,1.0,-0.5893237827236293,-1.1453057047838322,-0.13750319774878486,-0.7254626076575424,-0.6661123902106251,0.0
2018-10-01,1.0,-0.5893237827236293,-1.145007248230579,-0.13780165430203803,-0.7254199710070778,-0.6661123902106251,0.0
2018-10-02,1.0,-0.5918086387885045,-1.1895542935811392,-0.12773188779900188,-0.7269402856651179,-0.6661504044054379,0.0
2018-10-03,1.0,-0.591254998065265,-1.183713831205125,-0.1272625650285911,-0.7282772260200353,-0.6689453544864354,0.0
2018-10-04,1.0,-0.5920928233777396,-1.1807477438762355,-0.1279759346798453,-0.7291792006875806,-0.6673828964331757,0.0
2018-10-05,1.0,-0.5758381205521735,-1.1751264683186144,-0.10850553030952585,-0.743505101603361,-0.6841292977793021,0.0
2018-10-08,1.0,-0.5735375925371219,-1.1712953057469297,-0.1035987847147931,-0.7474004022422868,-0.6833411784843167,0.0
2018-10-09,1.0,-0.5878489326765189,-1.1836487771152018,-0.12155388471177946,-0.7491141647221502,-0.6789819376026273,0.0
2018-10-10,1.0,-0.5986421203812509,-1.1884493188841014,-0.1283457370413892,-0.7611524568046306,-0.6755886321103712,0.0
2018-10-11,1.0,-0.5443594403820956,-1.1921890189779787,-0.04919903630753624,-0.7471575299040535,-0.6938163066908999,0.0
2018-10-12,1.0,-0.5598813651363884,-1.1891474163498892,-0.04336020719328293,-0.7219182087806508,-0.66297673252851,0.0
2018-10-15,1.0,-0.5465382851902796,-1.211787753740986,-0.022966945938060104,-0.7215205702138302,-0.6654161977408195,0.0
2018-10-16,1.0,-0.5440477183615583,-1.2241177942771335,-0.014265454242095603,-0.7227413030783348,-0.6660131809460249,0.0
2018-10-17,1.0,-0.5290688126129085,-1.1889062243389719,-0.0034077845294793892,-0.7156758088356051,-0.66874692067663,0.0
2018-10-18,1.0,-0.527837083264904,-1.1870175726720313,-0.004352110362949581,-0.7176465757924125,-0.668911151256364,0.0
2018-10-19,1.0,-0.5106157545132238,-1.1757202820000814,-0.0,-0.7208117690207425,-0.6680386323811076,0.0
2018-10-22,1.0,-0.5103470751181359,-1.1669382434414208,-0.0,-0.724661886915431,-0.6716636793221443,0.0
