Date,AJRD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.636732472416011,-1.3605957152045915,-0.15659789223690068,-0.9222205729553213,-0.8716540497748749,0.0
2018-09-25,1.0,-0.6362238317293382,-1.3662565730727254,-0.15318980057545392,-0.9272745312034923,-0.8779144756424248,0.0
2018-09-26,1.0,-0.647615234472749,-1.3845152895250488,-0.16425604324107904,-0.9355387618237326,-0.872829187728342,0.0
2018-09-27,1.0,-0.6475015051173992,-1.3925346177001805,-0.16355609070840857,-0.937989163154726,-0.8754264499297613,0.0
2018-09-28,1.0,-0.65081119091868,-1.3919332964990707,-0.16389572555125823,-0.9395248380129589,-0.8767391631925261,0.0
2018-10-01,1.0,-0.6513637048570998,-1.3909789542418003,-0.1640966397106836,-0.9397257521723844,-0.8766387061128132,0.0
2018-10-02,1.0,-0.6516051122069035,-1.4050015095099124,-0.16136660964073665,-0.9384623125691859,-0.8752138472375969,0.0
2018-10-03,1.0,-0.6509932109630375,-1.3950716620568266,-0.16022127231581593,-0.9416142821222027,-0.881015841086246,0.0
2018-10-04,1.0,-0.655371776180182,-1.3871600221205571,-0.16127897038861796,-0.9471117590870243,-0.8764767985521089,0.0
2018-10-05,1.0,-0.6382531176441129,-1.3808283668052288,-0.1413331997796364,-0.9581809986477688,-0.8896679521209997,0.0
2018-10-08,1.0,-0.6353869984510068,-1.3763054014890321,-0.13676110528156699,-0.9603757557587569,-0.8879728176685154,0.0
2018-10-09,1.0,-0.6340195882470517,-1.3770237857285628,-0.13302018788726766,-0.9623226064361383,-0.8906156306216271,0.0
2018-10-10,1.0,-0.6337732453509298,-1.378524295140972,-0.131873625274945,-0.9628074385122976,-0.8920215956808638,0.0
2018-10-11,1.0,-0.5678934624697337,-1.3801937046004842,-0.03907990314769976,-0.9461016949152542,-0.9093462469733656,0.0
2018-10-12,1.0,-0.5744375985098151,-1.373023833404977,-0.029326073458470648,-0.920618999856713,-0.8788269570616611,0.0
2018-10-15,1.0,-0.5537016732611908,-1.4079229632454593,-0.0,-0.9212470801353864,-0.8842065118939791,0.0
2018-10-16,1.0,-0.5419473658702079,-1.4709446033053843,-0.0,-0.9357340183201667,-0.897978965734503,0.0
2018-10-17,1.0,-0.510107976977596,-1.4173048565856443,-0.0,-0.9250820529895828,-0.9042001617276317,0.0
2018-10-18,1.0,-0.5105400904116107,-1.4188912681418036,-0.0,-0.9245776826076612,-0.9044967880085653,0.0
2018-10-19,1.0,-0.48664212215614083,-1.4052204285849146,-0.0,-0.9258944586047391,-0.902341168696309,0.0
2018-10-22,1.0,-0.48659871649679126,-1.3947716119290299,-0.0,-0.930587013967535,-0.9067572668931673,0.0
2018-10-23,1.0,-0.4903746343304709,-1.3949702746060209,-0.0,-0.927762574313485,-0.9051618382561103,0.0
2018-10-24,1.0,-0.48758071357873406,-1.3909129471650092,-0.0,-0.9279351463449121,-0.906725738794363,0.0
2018-10-25,1.0,-0.4419059755154053,-1.329677331270195,-0.0,-0.9194921039457515,-0.8599645018886815,0.0
2018-10-26,1.0,-0.412863913337847,-1.314330850823742,-0.0,-0.9352742044685173,-0.8511848341232228,0.0
2018-10-29,1.0,-0.3790184601530842,-1.3361999099504727,-0.0,-0.9232778027915354,-0.8639801891040073,0.0
2018-10-30,1.0,-0.3937929165160824,-1.3400795084929527,-0.0,-0.9267256956993133,-0.8569750632453922,0.0
2018-10-31,1.0,-0.39826975660047514,-1.312385136043749,-0.0,-0.9228114213994352,-0.8490295396476758,0.0
2018-11-01,1.0,-0.5635550643086817,-1.3845960610932477,-0.0,-1.082797427652733,-0.9931672025723473,0.0
2018-11-02,1.0,-0.5693689199301571,-1.3440259416313296,-0.0,-1.0911449239211775,-0.9842853579446247,0.0
2018-11-05,1.0,-0.5613429400580406,-1.3766136295406783,-0.0,-1.097918542980086,-0.9676273391373962,0.0
2018-11-06,1.0,-0.5676257192894671,-1.3817863397548162,-0.0,-1.093570177633225,-0.9608206154615961,0.0
2018-11-07,1.0,-0.5692562481180368,-1.3857271906052393,-0.0,-1.0989661748469337,-0.9646190906353508,0.0
2018-11-08,1.0,-0.5254911713504103,-1.389903009201691,-0.0,-1.08520268589903,-0.9732902263118627,0.0
2018-11-09,1.0,-0.5276421954377927,-1.391572865823289,-0.0,-1.0859647375236579,-0.9753959557724873,0.0
2018-11-12,1.0,-0.5271833573308177,-1.3652748125713718,-0.0,-1.0997467851645897,-0.9727918176853184,0.0
2018-11-13,1.0,-0.4977388910735352,-1.3586315375540698,-0.0,-1.0965395202516712,-0.9625442390876916,0.0
2018-11-14,1.0,-0.4975664913229438,-1.3590285630008359,-0.0,-1.096701243793324,-0.9628828474509611,0.0
2018-11-15,1.0,-0.49602356406480125,-1.3587628865979384,-0.0,-1.0970054000981837,-0.9574374079528719,0.0
2018-11-16,1.0,-0.4903822622485439,-1.3451617639860998,-0.0,-1.0948069110665166,-0.9641231461994029,0.0
2018-11-19,1.0,-0.4979405707561047,-1.3457879768559378,-0.0,-1.0941943708933999,-0.965480043149946,0.0
