Date,ABC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3592697489283527,-0.9102495407225965,-0.0,-0.7400107164727495,-0.817781690140845,0.0
2018-09-25,1.0,-0.36081567067105363,-0.9092891575483969,-0.0,-0.7393067564465529,-0.8164358405386793,0.0
2018-09-26,1.0,-0.3615043232075905,-0.9099395516106817,-0.0,-0.7392684979723009,-0.8150967939398577,0.0
2018-09-27,1.0,-0.3692614006202856,-0.8997970670444537,-0.0,-0.7425431711145997,-0.8173220507715281,0.0
2018-09-28,1.0,-0.3710925528654612,-0.899134232301563,-0.0,-0.7430278884462151,-0.8175758504443763,0.0
2018-10-01,1.0,-0.37085330776605946,-0.9021284755512944,-0.0,-0.7433940556088208,-0.8186768935762224,0.0
2018-10-02,1.0,-0.37504795519066986,-0.8880150387477941,-0.0,-0.7490600782628712,-0.8242921813857131,0.0
2018-10-03,1.0,-0.37583969905185977,-0.89075275421289,-0.0,-0.7487620436835438,-0.8232697401251391,0.0
2018-10-04,1.0,-0.38064714236364333,-0.8839672974321576,-0.0,-0.7546539745902584,-0.8190611445898746,0.0
2018-10-05,1.0,-0.35874971306144315,-0.8732879332772209,-0.0,-0.7624913918432933,-0.8313183870227255,0.0
2018-10-08,1.0,-0.35508629906827555,-0.8689476095921796,-0.0,-0.7645486482358332,-0.8299602871544218,0.0
2018-10-09,1.0,-0.3503362372000611,-0.8691731621580314,-0.0,-0.7670411126394621,-0.834326761424423,0.0
2018-10-10,1.0,-0.35109430503036554,-0.8683014399755549,-0.0,-0.7675795424162561,-0.8325885183911997,0.0
2018-10-11,1.0,-0.25710873945816853,-0.8652511381446376,-0.0,-0.7475557877453541,-0.8617060974699604,0.0
2018-10-12,1.0,-0.25187594721472667,-0.858315159132074,-0.0,-0.7355191660813958,-0.8507374413188925,0.0
2018-10-15,1.0,-0.23722062403186547,-0.8681492955668658,-0.0,-0.7320572398023162,-0.8507044331341743,0.0
2018-10-16,1.0,-0.22954998891598313,-0.8841720239414763,-0.0,-0.7312495381659647,-0.8496637848222862,0.0
