Date,CCBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25858901341172147,-0.8433461938881744,-0.11595933615040727,-0.45008879906914084,-0.39405352440443386,0.0
2018-09-25,1.0,-0.2579775005364313,-0.8451705851699721,-0.11418324494988197,-0.4517671581399626,-0.3962541765012414,0.0
2018-09-26,1.0,-0.25753062916449165,-0.8456412933337426,-0.11094052261491694,-0.4541714004974361,-0.4023090858844843,0.0
2018-09-27,1.0,-0.2590660857826594,-0.8408296005399768,-0.11222924464625392,-0.45394857949315826,-0.40197582377124624,0.0
2018-09-28,1.0,-0.25686834269576697,-0.8432636522700064,-0.11280965098075328,-0.45421616477883164,-0.4024925560978604,0.0
2018-10-01,1.0,-0.2568534151957022,-0.8432540291634689,-0.11300076745970838,-0.4541519570222563,-0.4025786646201075,0.0
2018-10-02,1.0,-0.25690582270702106,-0.8494699646643109,-0.11138423721001689,-0.4532800737440467,-0.40162851436472574,0.0
2018-10-03,1.0,-0.2567065113849369,-0.8404879697630826,-0.10994683956611252,-0.45736410287926743,-0.40832129797498695,0.0
2018-10-04,1.0,-0.2556397928994083,-0.8471092209072979,-0.10983727810650887,-0.4560835798816569,-0.41315335305719925,0.0
2018-10-05,1.0,-0.2417704011065007,-0.8429998463193485,-0.09678807438143537,-0.4665744582757031,-0.42548025203626866,0.0
2018-10-08,1.0,-0.24012027491408935,-0.8405436917034856,-0.09394943544428082,-0.4688573883161512,-0.42479749631811486,0.0
2018-10-09,1.0,-0.23746117654294413,-0.8437528829299795,-0.08453519480918849,-0.4757833881730681,-0.4335926689012577,0.0
2018-10-10,1.0,-0.2412125319614306,-0.8432888697205877,-0.08773605249376173,-0.4790979945164967,-0.4293151782138567,0.0
2018-10-11,1.0,-0.193629076005063,-0.8598035079259839,-0.020824543427159305,-0.4792960038575131,-0.4601289855945995,0.0
2018-10-12,1.0,-0.1940494290910175,-0.8577050353277882,-0.017619175386816923,-0.4665951167158573,-0.4452791938705542,0.0
2018-10-15,1.0,-0.16146255136626772,-0.9112150934341161,-0.0,-0.4701400761870482,-0.45670236059869823,0.0
2018-10-16,1.0,-0.15840307147784877,-0.9161042622754132,-0.0,-0.4692102342601758,-0.45580251357269264,0.0
2018-10-17,1.0,-0.1410506411392779,-0.8857176623530107,-0.0,-0.4652543875199433,-0.4625361933463334,0.0
2018-10-18,1.0,-0.1405866887241145,-0.8851141768337716,-0.0,-0.4658651147676583,-0.4625564975923902,0.0
2018-10-19,1.0,-0.1263744319014807,-0.8786688168890191,-0.0,-0.46620730098226065,-0.4608415188388799,0.0
2018-10-22,1.0,-0.12923566503624256,-0.8922741469738935,-0.0,-0.46496552536979197,-0.4600447875537745,0.0
2018-10-23,1.0,-0.12679256417822368,-0.8934198878725288,-0.0,-0.46827972853349076,-0.4622602537621717,0.0
2018-10-24,1.0,-0.12483047349489948,-0.8933014918332449,-0.0,-0.4679816026888378,-0.4621439943392889,0.0
2018-10-25,1.0,-0.08592162554426706,-0.8631930333817127,-0.0,-0.5081277213352686,-0.44551523947750366,0.0
2018-10-26,1.0,-0.08359598646733944,-0.8579938119885492,-0.0,-0.5073591070757308,-0.44264523031547287,0.0
2018-10-29,1.0,-0.06321789446411608,-0.8689005959063821,-0.0,-0.4987189452169157,-0.44793735786049454,0.0
2018-10-30,1.0,-0.03575986078886311,-0.8774651972157772,-0.0,-0.5080046403712297,-0.4790313225058005,0.0
2018-10-31,1.0,-0.03903436752801544,-0.8616368507475585,-0.0,-0.5055742805289084,-0.4745196324143693,0.0
2018-11-01,1.0,-0.009693567522208396,-0.8919528921554444,-0.0,-0.5109812205214271,-0.48097456523626264,0.0
2018-11-02,1.0,-0.01315145759590204,-0.8729747618636508,-0.0,-0.5148637370859593,-0.4767619212063657,0.0
2018-11-05,1.0,-0.01009839461418954,-0.8815524483572128,-0.0,-0.5155935324241901,-0.46976235686748374,0.0
2018-11-06,1.0,-0.011161613255854094,-0.8816811460790518,-0.0,-0.5149300960819285,-0.46896035901271504,0.0
2018-11-07,1.0,-0.010752069917203311,-0.8815547378104877,-0.0,-0.5140294388224471,-0.46854875804967805,0.0
2018-11-08,1.0,-0.0,-0.8800125491985625,-0.0,-0.503622155039644,-0.46845587815869033,0.0
2018-11-09,1.0,-0.0,-0.8821611417784515,-0.0,-0.5081085719188857,-0.46989674799073305,0.0
2018-11-12,1.0,-0.0,-0.872261005841288,-0.0,-0.5101866362729733,-0.4669611055705941,0.0
2018-11-13,1.0,-0.0,-0.8675118141430148,-0.0,-0.5044002376977277,-0.45782280200345227,0.0
2018-11-14,1.0,-0.0,-0.8671156512634766,-0.0,-0.5048812926228813,-0.45770961260929854,0.0
2018-11-15,1.0,-0.0,-0.8673302041508795,-0.0,-0.5046937736809366,-0.45552225301136684,0.0
2018-11-16,1.0,-0.0,-0.8630140853021707,-0.0,-0.5031473170180936,-0.45651621644508433,0.0
2018-11-19,1.0,-0.0,-0.862884561106407,-0.0,-0.5029071408410951,-0.4566751340671747,0.0
2018-11-20,1.0,-0.0,-0.8493769645262684,-0.0,-0.4924225415356982,-0.4646665918275707,0.0
2018-11-21,1.0,-0.0,-0.8466852367688023,-0.0,-0.48961002785515323,-0.44922005571030643,0.0
2018-11-23,1.0,-0.0,-0.8403405770889563,-0.0,-0.49227858315479006,-0.4498733965886641,0.0
2018-11-26,1.0,-0.0,-0.8486655151278766,-0.0,-0.4899983284114337,-0.4472892405415947,0.0
