Date,IWF,IWM,MMP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.24524469574287047,-0.676008014711937,1.0,-0.0,-0.41314193176515795,-0.41036971975955866,0.0
2018-09-25,-0.24444566500974926,-0.6767363304314393,1.0,-0.0,-0.4137533298547222,-0.41133661055117676,0.0
2018-09-26,-0.24406053448323214,-0.6765634870499052,1.0,-0.0,-0.41385371748743444,-0.41209591035183607,0.0
2018-09-27,-0.2449007604249595,-0.6744996843001071,1.0,-0.0,-0.4138139292283197,-0.41200208636450986,0.0
2018-09-28,-0.2445097177994949,-0.6748105852640827,1.0,-0.0,-0.4138025694520699,-0.41204567914790824,0.0
2018-10-01,-0.24458476321207961,-0.6748387096774193,1.0,-0.0,-0.41380919698009605,-0.4121070693205216,0.0
2018-10-02,-0.251763085399449,-0.6549862258953169,1.0,-0.0,-0.42495867768595047,-0.42311294765840224,0.0
2018-10-03,-0.2512322053033015,-0.6496957347798552,1.0,-0.0,-0.4264944791695349,-0.4261089847729713,0.0
2018-10-04,-0.25187204052417134,-0.6485794516022464,1.0,-0.0,-0.4270454795727343,-0.4255313291487722,0.0
2018-10-05,-0.24539489938781672,-0.6468004502154996,1.0,-0.0,-0.4269360639086392,-0.4260850468059406,0.0
2018-10-08,-0.24275729751952857,-0.6438262299575168,1.0,-0.0,-0.4291078525421406,-0.4251610250787995,0.0
2018-10-09,-0.24366108385186808,-0.6441983498259367,1.0,-0.0,-0.4288259642005427,-0.42446753104355683,0.0
2018-10-10,-0.24470446386978328,-0.6434932726824323,1.0,-0.0,-0.4293700161674842,-0.42268380237305786,0.0
2018-10-11,-0.20372401615880573,-0.6357312929719896,1.0,-0.0,-0.41204954653682546,-0.42376735600203325,0.0
2018-10-12,-0.20188579017264274,-0.6338114209827358,1.0,-0.0,-0.4045418326693227,-0.41577689243027893,0.0
2018-10-15,-0.17500531123858085,-0.6620458891013384,1.0,-0.0,-0.4006001699596346,-0.41796792011897177,0.0
2018-10-16,-0.17191193264812896,-0.6671181579157041,1.0,-0.0,-0.3997291052505777,-0.4170716808753619,0.0
2018-10-17,-0.1623190690099036,-0.6492762760396144,1.0,-0.0,-0.39609110252975016,-0.419260777050989,0.0
2018-10-18,-0.16278091733473518,-0.6508871073728479,1.0,-0.0,-0.3953213300039427,-0.419476935208306,0.0
